Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget
1,0,0.8,2.5,0,1.3,2.5,0.001263574,0.999919,2.296978,0.003210098,0.9940974,2.300353,-0.01133955,0.7918128,2.518953,11.59332,12.38619,300,Hit,1683768146
2,-0.2,1,2.5,-0.2,1.5,2.5,-0.0002116263,0.9977732,2.298418,-0.003325984,0.9983948,2.300497,-0.201321,0.9908904,2.532512,16.04514,16.7145,600,Hit,1683768146
3,0,1,2.5,0,0.5,2.5,-0.001072794,1.000158,2.29945,-0.001675844,1.001416,2.30247,0.008178502,1.013875,2.512894,25.60335,26.25406,900,Hit,1683768146
4,-0.2,1.2,2.5,-0.2,1.2,2.55,0.000243634,0.9995526,2.297732,-0.0008530319,0.9975197,2.299123,-0.0007794648,0.9972962,2.299412,29.58727,29.6087,900,Neutral,1683768146
5,-0.2,1.2,2.5,-0.2,0.7,2.5,0.0007555783,1.000479,2.295928,0.0002084672,1.000703,2.298073,-0.2094181,1.210477,2.516693,46.3512,47.16357,1200,Hit,1683768146
6,-0.2,0.8,2.5,0.3,0.8,2.5,-0.000193134,0.9972636,2.299045,0.0007988065,0.9981847,2.298642,0.001002327,0.9984486,2.298676,50.69984,50.72164,1200,Neutral,1683768146
7,0.2,1.2,2.5,0.2,1.2,2.55,0.003468454,0.9993293,2.300875,0.001610115,0.9981244,2.300852,0.2146641,1.190735,2.498564,54.03011,54.57736,1500,Hit,1683768146
8,0,1.2,2.5,0,1.7,2.5,0.0003853887,0.9956364,2.302647,0.0002796352,0.9989291,2.303104,0.006064743,1.194239,2.511643,58.12012,58.65005,1800,Hit,1683768146
9,0.2,0.8,2.5,0.2,0.3,2.5,0.001557454,0.9974607,2.297657,0.002581522,0.9979424,2.297594,0.002545401,0.9981941,2.297388,63.7566,63.77302,1800,Neutral,1683768146
10,0.2,0.8,2.5,-0.3,0.8,2.5,0.000618726,1.000144,2.297822,-0.0005054474,0.9993072,2.298922,0.006180972,0.9916785,2.304865,66.60331,66.75011,1800,Neutral,1683768146
