Trial,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
1,15.94488,-0.001354665,0.9954336,2.299673,0,0,0,0
1,15.97327,-0.0007853061,0.9954381,2.299855,0.02005426,0.0001595565,0.006390658,0.0210485
1,15.9902,-2.066791E-05,0.996068,2.299513,0.04516869,0.03720955,-0.02016808,0.06189921
1,16.00748,0.0002194047,0.9964827,2.299242,0.01389164,0.02399803,-0.01567218,0.03185122
2,20.13826,0.0002690107,0.9991164,2.30088,0,0,0,0
2,20.16349,-0.0001767427,0.999007,2.300795,-0.01766556,-0.004332237,-0.003363744,0.01849744
2,20.18568,-0.0006011426,0.9988701,2.301032,-0.01912815,-0.006173446,0.01069204,0.02276658
2,20.20715,-0.001021624,0.9986101,2.301311,-0.01958604,-0.01211061,0.01300461,0.02644617
2,20.2288,-0.0009099096,0.9985982,2.301283,0.005159857,-0.000550605,-0.00131044,0.00535206
2,20.25232,-0.0005448908,0.9988121,2.301159,0.01551529,0.00909281,-0.005279859,0.01874247
2,20.27342,-0.0005280524,0.9986763,2.301239,0.0007981227,-0.006435835,0.003797086,0.007514974
2,20.29637,-0.0003063381,0.998264,2.301413,0.009660042,-0.01796317,0.007593511,0.02176358
2,20.31816,9.001791E-05,0.9983695,2.301552,0.01819131,0.004839345,0.006379509,0.01987565
2,20.34,-0.0002789199,0.9984869,2.301255,-0.01689175,0.005378835,-0.01359036,0.02233744
2,20.36185,-0.0007441193,0.9980178,2.30108,-0.02129244,-0.02147318,-0.008020728,0.03128574
2,20.38447,-0.001213908,0.997434,2.301303,-0.02077269,-0.02581251,0.009846388,0.03456503
2,20.40674,-0.001294106,0.9972798,2.30165,-0.003600458,-0.006925297,0.01558459,0.01742993
2,20.42902,-0.0011774,0.99802,2.302037,0.00523824,0.03322457,0.01735735,0.03784956
2,20.45087,-0.001203552,1.000036,2.302868,-0.001196801,0.09223892,0.03805759,0.09978893
2,20.47275,-0.001945347,1.005369,2.305849,-0.0339024,0.2437437,0.1362062,0.2812694
2,20.49234,-0.001712203,1.012694,2.31085,0.01190054,0.3738989,0.2552981,0.4529008
2,20.51236,-0.0005563498,1.021681,2.316561,0.05774301,0.4489852,0.2852848,0.5350788
2,20.53365,0.001709163,1.039914,2.326888,0.1064376,0.8566027,0.4852068,0.9902135
2,20.55584,0.002283007,1.057366,2.338688,0.02585126,0.786222,0.5315734,0.9494122
2,20.57756,6.130338E-05,1.072696,2.352666,-0.1022813,0.7057503,0.6434991,0.9605395
2,20.59855,-0.002583027,1.086221,2.367876,-0.1259979,0.6444439,0.7247267,0.9779633
2,20.62065,-0.005149424,1.101809,2.384031,-0.1161581,0.7055006,0.7312158,1.022693
2,20.6421,-0.007316798,1.119918,2.395455,-0.1010303,0.8441622,0.5325012,1.003182
2,20.66378,-0.00855276,1.137965,2.404888,-0.05699486,0.8322085,0.4349816,0.9407594
2,20.68486,-0.009821594,1.154915,2.413705,-0.0602025,0.804246,0.4183505,0.9085445
2,20.70617,-0.0110302,1.171991,2.425073,-0.05671585,0.801283,0.5334764,0.9642967
2,20.72806,-0.01343557,1.183595,2.435699,-0.1098606,0.5300248,0.4853243,0.7270043
2,20.74954,-0.0146111,1.19113,2.447446,-0.05474805,0.3509127,0.5470808,0.6522534
2,20.76893,-0.01455066,1.196618,2.458657,0.003115964,0.2829136,0.5779714,0.6435066
2,20.78748,-0.01373059,1.199418,2.469409,0.04421056,0.1509942,0.5796713,0.6006436
2,20.80889,-0.01205108,1.202885,2.479922,0.07843962,0.1619151,0.491001,0.5229256
2,20.83079,-0.01103738,1.207836,2.487478,0.04629151,0.2260709,0.3450292,0.4150857
2,20.85262,-0.008662045,1.210949,2.491537,0.1087991,0.1425829,0.1859207,0.2583285
2,20.87458,-0.006367475,1.212151,2.49683,0.1044967,0.05474497,0.2410538,0.2683719
2,20.89613,-0.00499922,1.213016,2.502326,0.06349886,0.04016482,0.2550632,0.2658995
2,20.91751,-0.004614025,1.214888,2.505352,0.01801408,0.08751566,0.1415258,0.167371
2,20.93829,-0.005232155,1.214985,2.506207,-0.02975756,0.004671453,0.04113634,0.05098562
2,20.95911,-0.004184455,1.213921,2.509289,0.05030952,-0.05108945,0.1480306,0.1644817
2,20.98053,-0.001092941,1.210487,2.514155,0.1443574,-0.1603247,0.2272,0.3133096
2,21.00111,0.002665639,1.210455,2.516982,0.1825705,-0.00157502,0.1373162,0.2284518
2,21.01968,0.004772425,1.213695,2.515704,0.1134498,0.1744725,-0.06882866,0.2192006
2,21.03758,0.006222337,1.218157,2.513095,0.08099121,0.2492647,-0.1457246,0.2998801
2,21.05565,0.006416947,1.220911,2.510918,0.01077218,0.1524404,-0.1204769,0.1945991
2,21.07706,0.005171627,1.221763,2.510199,-0.05815963,0.03977336,-0.03361584,0.0780672
2,21.09769,0.005028188,1.22142,2.51069,-0.006952979,-0.01659585,0.02383053,0.02986068
3,24.81067,-0.000762254,0.9996637,2.297413,0,0,0,0
3,24.83485,-0.0001835376,1.000051,2.29737,0.02393358,0.01603008,-0.001794541,0.02886174
3,24.85427,0.0001482815,1.000369,2.29743,0.01709156,0.0163578,0.003106999,0.02386111
3,24.8748,7.525086E-06,1.000354,2.297397,-0.006854462,-0.0007024263,-0.00163706,0.007082161
3,24.89527,-0.0002217889,1.000172,2.297506,-0.01120244,-0.008910122,0.005322779,0.01527144
3,24.91605,-0.0003432482,0.9999937,2.297693,-0.005845997,-0.008580728,0.009042612,0.01376857
3,24.93697,-0.0005709231,0.9998676,2.297729,-0.01088478,-0.006032617,0.001698365,0.01256007
3,24.95419,-0.0006802678,0.9998226,2.297661,-0.006348209,-0.002612645,-0.00393108,0.007910692
