Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget, UsedSeedPenalty
1,0,1.2,2.5,0.5,1.2,2.5,-0.001354665,0.9954336,2.299673,-2.066791E-05,0.996068,2.299513,0.0002194047,0.9964827,2.299242,15.9902,16.00748,0,Neutral,-1297660113,2063897579
2,0,1.2,2.5,0,0.7,2.5,0.0002690107,0.9991164,2.30088,-0.001203552,1.000036,2.302868,0.005028188,1.22142,2.51069,20.45087,21.09769,300,Hit,-1244537002,1744574229
3,0.2,1,2.5,0.2,0.5,2.5,-0.000762254,0.9996637,2.297413,0.002265722,0.9997353,2.29846,0.2096848,1.028384,2.508026,25.13365,25.45356,600,Hit,-923202869,1187661297
4,0,0.8,2.5,0,0.3,2.5,-0.001845688,0.9989399,2.296971,-0.001213342,0.9968608,2.299197,0.02314761,0.8159918,2.494611,29.10729,29.86606,900,Hit,-901770040,520107008
5,0.2,0.8,2.5,0.7,0.8,2.5,-0.001631185,0.997296,2.299788,0.002213493,0.9952738,2.302796,0.1741863,0.8313546,2.493606,33.24091,33.92429,1200,Hit,-839891969,667315411
6,-0.2,1.2,2.5,-0.2,1.7,2.5,0.0009323657,0.9959149,2.303011,0.000611037,0.9979407,2.303206,-0.1809467,1.170063,2.487366,37.16541,38.04835,1500,Hit,-816612664,1880634502
7,0.2,1,2.5,-0.3,1,2.5,0.001696497,1.00052,2.299046,-0.0009475052,1.00006,2.298664,-0.00156045,0.999643,2.298602,41.81091,41.83321,1500,Neutral,-1027519642,2015136940
8,0,1.2,2.5,-0.5,1.2,2.5,0.001009703,1.000476,2.2978,-0.00177528,0.9986708,2.299599,0.01995355,1.199834,2.507042,45.31729,45.86143,1800,Hit,-989988881,725544825
9,-0.2,1,2.5,-0.2,0.5,2.5,0.0007350743,0.9972038,2.300013,-0.0004053116,0.9987489,2.302236,-0.1948475,1.016075,2.504368,49.36872,50.10599,2100,Hit,-971247429,203918106
10,0.2,1.2,2.5,0.2,1.2,2.55,-0.0007793158,0.9968993,2.301297,0.002735659,0.9989474,2.302588,0.2076873,1.209578,2.497006,54.8446,55.3707,2400,Hit,-638230002,1464183685
