Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,StartCircleX,StartCircleY,StartCircleZ,StartCircleScaleX,StartCircleScaleY,StartCircleScaleZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget, UsedSeedPenalty
1,0.2,1.2,2.5,0.7,1.2,2.5,0,1,2.3,0.05,0.05,0.05,-0.0003519505,0.9989982,2.296479,0.002111539,1.000851,2.29824,0.1886771,1.184737,2.503959,13.38832,13.8457,300,Hit,-703189912,614209776
2,0,1.2,2.5,0,1.2,2.55,0,1,2.3,0.05,0.05,0.05,0.0005413592,1.002772,2.297811,-0.0004958808,1.007228,2.29976,0.004707307,1.205256,2.49715,17.43257,18.14024,600,Hit,-703189912,627964167
3,0,0.8,2.5,0,0.3,2.5,0,1,2.3,0.05,0.05,0.05,-0.002446458,0.9973433,2.298262,-0.002072975,0.9976529,2.298006,-0.0018152,0.9979215,2.298197,21.69373,21.71271,600,Neutral,-703189912,415229115
4,-0.2,0.8,2.5,-0.2,0.8,2.55,0,1,2.3,0.05,0.05,0.05,-0.001266405,0.9993713,2.298065,-0.0001585037,0.9990483,2.299835,-0.2018528,0.8331585,2.504401,25.06209,25.9548,400,Hit Both,-703189912,660657318
5,-0.2,1,2.5,0.3,1,2.5,0,1,2.3,0.05,0.05,0.05,0.00195542,1.001307,2.297603,0.001267895,0.9999567,2.298512,-0.2186617,1.004148,2.508365,29.42887,30.13129,700,Hit,-703189912,546671778
6,0,1,2.5,0,1,2.55,0,1,2.3,0.05,0.05,0.05,-0.0005984455,0.9993012,2.296947,-0.0001756549,0.9992106,2.297253,0.0002344847,0.9996178,2.297119,33.09472,33.11417,700,Neutral,-703189912,1766577020
7,-0.2,0.8,2.5,-0.2,1.3,2.5,0,1,2.3,0.05,0.05,0.05,0.0004834384,1.000526,2.299253,0.0009302646,0.998742,2.30193,-0.2103001,0.8055003,2.503851,36.22021,36.91238,500,Hit Both,-703189912,1560539530
8,0,1,2.5,0,1.5,2.5,0,1,2.3,0.05,0.05,0.05,-0.002045885,0.9985687,2.297415,-0.0009791553,0.9981486,2.300231,-0.002892166,0.9879289,2.51454,40.46572,40.83052,800,Hit,-703189912,769286410
9,0,1,2.5,0,1,2.45,0,1,2.3,0.05,0.05,0.05,-0.001118451,0.9966846,2.299254,0.001210347,0.9978476,2.300236,0.004274726,1.001009,2.523886,44.13591,44.60484,1100,Hit,-703189912,1805921746
10,-0.2,0.8,2.5,-0.2,0.3,2.5,0,1,2.3,0.05,0.05,0.05,0.003135249,0.9998243,2.29961,-0.0009238273,0.9982563,2.300252,-0.1926277,0.8195043,2.487551,47.47158,49.34747,1400,Hit,-703189912,1504633968
