Trial 	TargetX 	TargetY 	TargetZ 	PenaltyX	PenaltyY	PenaltyZ	StartX  	StartY  	StartZ  	ScaleX  	ScaleY  	ScaleZ  	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX      	EndY      	EndZ      	StartTime   	EndTime     	Score   	Result      	TargetSeed  
1     	-0.200  	0.800   	2.500   	-0.200  	0.300   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	0.999     	2.299     	-0.001    	0.998     	2.299     	-0.197    	0.828     	2.513     	5.198       	6.044       	300     	Hit         	1730038464  
2     	0.200   	1.000   	2.500   	0.200   	0.500   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.002    	0.998     	2.302     	0.000     	0.998     	2.302     	0.000     	0.998     	2.302     	9.540       	9.558       	300     	Neutral     	1730038465  
3     	0.000   	0.800   	2.500   	-0.500  	0.800   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	1.000     	2.303     	0.001     	0.996     	2.304     	0.017     	0.795     	2.515     	12.777      	13.381      	600     	Hit         	1730038466  
4     	0.000   	1.200   	2.500   	0.000   	1.200   	2.450   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.001    	1.001     	2.297     	-0.002    	1.004     	2.298     	0.000     	1.224     	2.522     	16.503      	17.121      	900     	Hit         	1730038467  
5     	-0.200  	1.200   	2.500   	-0.200  	0.700   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.001     	0.998     	2.300     	-0.001    	0.998     	2.301     	-0.193    	1.227     	2.491     	21.402      	21.995      	1200    	Hit         	1730038468  
6     	0.000   	1.000   	2.500   	0.000   	1.000   	2.550   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.002     	0.998     	2.298     	0.002     	0.997     	2.303     	0.003     	1.018     	2.482     	25.372      	26.232      	1500    	Hit         	1730038469  
7     	-0.200  	1.000   	2.500   	0.300   	1.000   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.002     	1.001     	2.299     	-0.001    	0.999     	2.302     	-0.215    	0.995     	2.515     	29.622      	30.410      	1800    	Hit         	1730038470  
8     	-0.200  	1.200   	2.500   	-0.200  	1.200   	2.450   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	0.999     	2.297     	-0.002    	0.999     	2.297     	-0.207    	1.211     	2.505     	33.451      	34.297      	2100    	Hit         	1730038471  
9     	0.200   	1.000   	2.500   	0.200   	1.500   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.002    	0.998     	2.299     	0.000     	0.996     	2.300     	0.212     	0.971     	2.527     	37.830      	38.263      	2400    	Hit         	1730038472  
10    	0.200   	1.200   	2.500   	0.200   	0.700   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000     	1.000     	2.298     	0.002     	1.001     	2.299     	0.201     	1.220     	2.490     	41.305      	41.840      	2700    	Hit         	1730038473  
