Trial       	Time        	PosX        	PosY        	PosZ        	VelX        	VelY        	VelZ        	Speed
1           	7.624       	-0.001      	0.999       	2.299       	0.000       	0.000       	0.000       	0.000
1           	7.653       	-0.001      	0.998       	2.299       	-0.003      	-0.010      	0.004       	0.011
1           	7.675       	-0.001      	0.998       	2.299       	-0.001      	-0.003      	-0.002      	0.004
1           	7.696       	-0.001      	0.998       	2.299       	0.011       	-0.004      	0.008       	0.014
1           	7.718       	-0.001      	0.998       	2.299       	0.013       	0.003       	0.003       	0.014
1           	7.741       	-0.001      	0.998       	2.299       	0.010       	0.011       	-0.006      	0.016
1           	7.763       	0.000       	0.999       	2.299       	0.021       	0.025       	-0.014      	0.035
1           	7.786       	0.000       	1.000       	2.299       	0.032       	0.027       	-0.004      	0.042
1           	7.806       	0.001       	1.000       	2.299       	0.018       	0.016       	0.010       	0.026
1           	7.825       	0.001       	1.000       	2.299       	-0.003      	0.005       	0.006       	0.008
1           	7.846       	0.000       	1.000       	2.299       	-0.038      	-0.011      	-0.005      	0.040
1           	7.868       	-0.001      	0.999       	2.299       	-0.036      	-0.017      	-0.001      	0.040
1           	7.891       	-0.001      	0.999       	2.299       	-0.011      	-0.001      	0.002       	0.011
1           	7.913       	-0.001      	1.000       	2.298       	0.016       	0.021       	-0.019      	0.032
1           	7.935       	0.001       	1.001       	2.298       	0.060       	0.071       	-0.029      	0.098
1           	7.957       	0.004       	1.006       	2.298       	0.165       	0.195       	0.013       	0.256
1           	7.980       	0.014       	1.016       	2.302       	0.435       	0.437       	0.183       	0.643
1           	8.002       	0.026       	1.029       	2.309       	0.532       	0.615       	0.312       	0.871
1           	8.024       	0.041       	1.048       	2.319       	0.685       	0.846       	0.454       	1.179
1           	8.045       	0.056       	1.067       	2.329       	0.686       	0.904       	0.457       	1.223
1           	8.066       	0.071       	1.088       	2.340       	0.734       	1.014       	0.551       	1.368
1           	8.088       	0.086       	1.112       	2.356       	0.691       	1.064       	0.716       	1.457
1           	8.112       	0.101       	1.132       	2.374       	0.648       	0.865       	0.737       	1.308
1           	8.134       	0.118       	1.153       	2.393       	0.729       	0.937       	0.845       	1.457
1           	8.158       	0.137       	1.175       	2.406       	0.824       	0.910       	0.566       	1.352
1           	8.181       	0.157       	1.195       	2.416       	0.874       	0.905       	0.437       	1.332
1           	8.203       	0.173       	1.212       	2.423       	0.712       	0.745       	0.313       	1.077
1           	8.226       	0.189       	1.226       	2.433       	0.688       	0.640       	0.429       	1.033
1           	8.248       	0.202       	1.234       	2.443       	0.605       	0.357       	0.464       	0.842
1           	8.271       	0.213       	1.239       	2.457       	0.483       	0.185       	0.605       	0.796
1           	8.291       	0.219       	1.236       	2.472       	0.277       	-0.146      	0.739       	0.802
1           	8.311       	0.220       	1.227       	2.486       	0.060       	-0.456      	0.688       	0.828
1           	8.334       	0.222       	1.218       	2.496       	0.086       	-0.393      	0.472       	0.620
1           	8.357       	0.221       	1.208       	2.499       	-0.062      	-0.441      	0.109       	0.459
1           	8.379       	0.218       	1.205       	2.494       	-0.142      	-0.142      	-0.239      	0.312
1           	8.403       	0.214       	1.207       	2.487       	-0.136      	0.096       	-0.271      	0.318
1           	8.426       	0.208       	1.213       	2.480       	-0.277      	0.274       	-0.333      	0.512
1           	8.448       	0.204       	1.218       	2.477       	-0.189      	0.210       	-0.128      	0.310
1           	8.471       	0.202       	1.219       	2.478       	-0.078      	0.058       	0.034       	0.103
1           	8.495       	0.203       	1.218       	2.480       	0.065       	-0.033      	0.109       	0.131
1           	8.517       	0.208       	1.217       	2.485       	0.224       	-0.078      	0.210       	0.317
1           	8.538       	0.211       	1.217       	2.486       	0.138       	-0.001      	0.063       	0.152
1           	8.559       	0.213       	1.219       	2.484       	0.094       	0.111       	-0.095      	0.173
