Trial       	TargetX     	TargetY     	TargetZ     	PenaltyX    	PenaltyY    	PenaltyZ    	StartX      	StartY      	StartZ      	ScaleX      	ScaleY      	ScaleZ      	CtrlStartX  	CtrlStartY  	CtrlStartZ  	MoveStartX  	MoveStartY  	MoveStartZ  	EndX        	EndY        	EndZ        	StartTime   	EndTime     	Score       	Result      	TargetSeed  	TargetFirstDot	TargetLastDot	PenaltySeed 	PenaltyFirstDot	PenaltyLastDot
1           	0.000       	0.800       	2.500       	0.500       	0.800       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	0.999       	2.299       	-0.001      	1.000       	2.298       	-0.037      	0.814       	2.493       	15.424      	16.079      	300         	Hit         	65336326    	(-0.018,0.842,2.489)	(-0.007,0.802,2.472)	65318270    	(0.981,0.643,2.462)	(0.419,0.661,2.534)
2           	0.000       	1.200       	2.500       	0.000       	1.200       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.302       	0.003       	1.002       	2.301       	0.007       	1.188       	2.498       	19.735      	20.353      	600         	Hit         	65336327    	(0.009,1.209,2.532)	(0.020,1.211,2.498)	65318271    	(0.030,1.276,2.581)	(0.129,1.440,2.549)
3           	0.000       	1.200       	2.500       	0.000       	1.200       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.004       	1.000       	2.299       	0.002       	1.003       	2.298       	-0.008      	1.201       	2.470       	24.115      	24.825      	900         	Hit         	65336328    	(0.004,1.179,2.456)	(0.011,1.178,2.467)	65318272    	(-0.136,1.232,2.543)	(-0.016,0.825,2.556)
4           	0.200       	1.000       	2.500       	0.700       	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.999       	2.297       	0.002       	0.999       	2.298       	0.157       	0.982       	2.486       	28.363      	28.942      	1200        	Hit         	65336329    	(0.185,0.982,2.507)	(0.169,1.003,2.535)	65318273    	(1.154,1.475,2.522)	(0.208,1.151,2.517)
5           	0.000       	1.000       	2.500       	0.000       	0.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.997       	2.302       	0.001       	0.996       	2.305       	-0.005      	1.009       	2.488       	32.118      	32.606      	1500        	Hit         	65336330    	(-0.037,0.981,2.473)	(0.044,0.993,2.489)	65318274    	(0.421,0.724,2.475)	(-0.406,0.735,2.543)
6           	0.200       	0.800       	2.500       	-0.300      	0.800       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.996       	2.301       	0.002       	0.996       	2.301       	0.193       	0.806       	2.473       	35.400      	36.147      	1300        	Hit Both    	65336331    	(0.229,0.799,2.488)	(0.224,0.777,2.488)	65318275    	(-0.104,0.310,2.486)	(-0.542,0.666,2.533)
7           	0.000       	1.000       	2.500       	0.500       	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.002       	0.999       	2.297       	0.000       	1.000       	2.296       	-0.028      	0.998       	2.464       	39.425      	39.982      	1600        	Hit         	65336332    	(-0.021,0.986,2.533)	(-0.019,0.980,2.500)	65318276    	(0.712,0.993,2.454)	(0.641,0.731,2.529)
8           	-0.200      	1.200       	2.500       	0.300       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	0.999       	2.298       	-0.002      	1.001       	2.299       	-0.202      	1.159       	2.482       	42.891      	43.845      	1900        	Hit         	65336333    	(-0.166,1.164,2.498)	(-0.216,1.183,2.487)	65318277    	(0.449,1.504,2.467)	(0.009,1.290,2.476)
9           	0.000       	1.200       	2.500       	0.000       	1.700       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.996       	2.302       	0.000       	0.999       	2.300       	0.001       	1.000       	2.299       	47.453      	47.493      	1900        	Neutral     	65336334    	(0.026,1.224,2.505)	(-0.005,1.216,2.478)	65318278    	(0.356,1.325,2.546)	(-0.250,1.408,2.466)
10          	0.000       	1.000       	2.500       	0.000       	1.000       	2.450       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.003      	0.996       	2.302       	-0.001      	0.997       	2.304       	-0.016      	0.994       	2.500       	50.548      	51.022      	1700        	Hit Both    	65336335    	(0.010,1.020,2.477)	(-0.015,1.011,2.506)	65318279    	(0.230,1.253,2.459)	(0.307,0.829,2.451)
