Trial	TargetX	TargetY	TargetZ	PenaltyX	PenaltyY	PenaltyZ	StartX	StartY	StartZ	ScaleX	ScaleY	ScaleZ	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX	EndY	EndZ	StartTime	EndTime	Score	Result	TargetSeed	TargetFirstDot	TargetLastDot	PenaltySeed	PenaltyFirstDot	PenaltyLastDot
1	-0.2	1	2.5	-0.2	1	2.45	0	1	2.3	0.05	0.05	0.05	0.002919674	0.9987431	2.297876	-4.470348E-08	0.9971187	2.298478	-0.2059776	1.017205	2.492246	9.29486	10.049	-200	Hit Both	2004858072	(-0.2143607,0.9793946,2.504443)    	(-0.2313094,0.9735601,2.47852)     	2004858072	(-0.04687247,1.367255,2.413603)    	(-0.08198537,1.238894,2.42267)
2	0.2	1.2	2.5	0.2	1.2	2.55	0	1	2.3	0.05	0.05	0.05	-0.0005736202	1.000533	2.300108	-0.0001675189	1.002232	2.299352	0.2131206	1.198049	2.487184	13.51457	14.13419	100	Hit	2004858073	(0.1644479,1.171954,2.488939)      	(0.2234602,1.176177,2.52774)       	2004858073	(0.3063023,0.8897058,2.53816)      	(-0.1329895,1.341959,2.559156)
3	0.2	1.2	2.5	0.2	0.7	2.5	0	1	2.3	0.05	0.05	0.05	0.001549438	0.9989583	2.300121	0.00513652	1.002164	2.299233	0.2170498	1.21366	2.496021	17.56934	18.18543	400	Hit	2004858074	(0.2042945,1.206419,2.529984)      	(0.2038067,1.183068,2.485502)      	2004858074	(-0.1438448,0.9625229,2.549142)    	(0.2480148,1.063409,2.523527)
4	0.2	1	2.5	0.2	1	2.45	0	1	2.3	0.05	0.05	0.05	0.0004222542	1.000345	2.300769	0.003390223	1.000889	2.300621	0.1948695	1.011477	2.495319	21.60797	22.36293	200	Hit Both	2004858075	(0.2457686,0.9957328,2.48367)      	(0.2133673,1.013682,2.508996)      	2004858075	(0.685204,0.5713303,2.489372)      	(0.3607904,0.9452974,2.416994)
5	0	0.8	2.5	0	1.3	2.5	0	1	2.3	0.05	0.05	0.05	-0.00191249	0.9995154	2.301433	-0.0004344732	0.9933195	2.303507	-0.0001752377	0.7882516	2.492935	25.35376	25.94782	500	Hit	2004858076	(-0.02425954,0.8282806,2.469691)   	(0.006835999,0.790696,2.472083)    	2004858076	(-0.1371568,0.9135575,2.463517)    	(0.4604981,0.9557055,2.532897)
6	0.2	1.2	2.5	0.7	1.2	2.5	0	1	2.3	0.05	0.05	0.05	-0.00311996	1.000348	2.297534	-0.0005875528	1.002325	2.300029	0.160882	1.189235	2.484653	30.23574	31.01295	800	Hit	2004858077	(0.233655,1.195698,2.517567)       	(0.167858,1.183694,2.474697)       	2004858077	(1.179767,1.253817,2.454234)       	(1.012186,1.509393,2.478751)
7	-0.2	0.8	2.5	-0.2	0.8	2.45	0	1	2.3	0.05	0.05	0.05	-0.0004057884	0.9979486	2.299683	-0.0006704777	0.9955705	2.30109	-0.1759949	0.8011122	2.500262	34.50547	35.28207	1100	Hit	2004858078	(-0.1916292,0.8193663,2.467589)    	(-0.1646515,0.7677314,2.507087)    	2004858078	(-0.5149323,0.8372966,2.430777)    	(-0.1138128,0.575487,2.461428)
8	0.2	1	2.5	-0.3	1	2.5	0	1	2.3	0.05	0.05	0.05	-0.002557173	1.000462	2.29859	-0.002110198	0.9996998	2.298292	0.2243752	0.9891735	2.489544	38.39474	39.00444	1400	Hit	2004858079	(0.2160978,1.017366,2.540798)      	(0.2118299,1.008073,2.545841)      	2004858079	(-0.6689716,0.6602854,2.465708)    	(-0.6748686,1.44996,2.484499)
9	0.2	0.8	2.5	0.2	0.3	2.5	0	1	2.3	0.05	0.05	0.05	0.00121823	0.999536	2.299035	0.001939908	0.9987593	2.29925	0.002323076	0.9982871	2.299661	42.0867	42.10602	1400	Neutral	2004858080	(0.203839,0.8032342,2.499829)      	(0.1985246,0.8042302,2.531626)     	2004858080	(-0.1885752,0.7989864,2.547452)    	(0.5828915,0.140142,2.508513)
10	0.2	1.2	2.5	0.7	1.2	2.5	0	1	2.3	0.05	0.05	0.05	-0.0003871918	0.9995285	2.30026	0.001525342	1.000277	2.300174	0.1783925	1.177925	2.494526	44.89699	45.59392	1700	Hit	2004858081	(0.2091562,1.172012,2.524475)      	(0.1796729,1.217313,2.537857)      	2004858081	(1.000321,1.250873,2.492534)       	(0.4692082,1.663587,2.533017)
