Participant: IP
Session Start: 7/30/2025 3:02:31 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              10             -0.200000003   1              2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.00157798827  0.997364223    2.29573441     0              0              0              0              0              0              11.2280998     11.2280998     0              Invalid Start  319261309      -0.226065919   1.00256884     2.51656008     -0.166817486   0.985443473    2.46908402     318900345      -0.147668377   1.150087       2.54138517     0.21642451     0.561755896    2.45178366
2              24             0.200000003    1.20000005     2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    -7.96169043E-050.999148726    2.29728675     0.0217732489   1.02525294     2.30788422     0.183495581    1.20577633     2.46003056     14.8677244     15.4962826     300            Hit            319261309      0.184966028    1.23395896     2.4712131      0.219174102    1.20102632     2.47405529     -1             0              0              0              0              0              0
3              8              0.200000003    0.800000012    2.5            0.200000003    0.800000012    2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.00155059993  0.998565972    2.29838133     0.0183410197   0.974951625    2.31942654     0.195931986    0.813063025    2.47350597     19.1030273     19.6700668     100            Hit Both       319261310      0.212855011    0.78924793     2.50612068     0.200913787    0.78832078     2.47348952     318900346      -0.193551585   0.524540365    2.51627183     0.317461371    0.839091301    2.50435734
4              17             0.200000003    1              2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.00212302804  0.997165918    2.29976416     0              0              0              0              0              0              23.5478134     23.5478134     100            Invalid Start  319261312      0.191179454    1.01248336     2.46376133     0.180205941    1.01693177     2.48985267     318900346      -0.193551585   0.724540353    2.51627183     0.317461371    1.03909135     2.50435734
5              21             0              1.20000005     2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.000567898154 0.999680221    2.29598022     3.49879265E-05 1.03388727     2.31438231     -0.00135093927 1.18246913     2.47493339     29.6140308     30.0544281     400            Hit            319261312      0.0306584667   1.18176126     2.49578691     0.0327761136   1.20151091     2.52218533     -1             0              0              0              0              0              0
6              3              0              0.800000012    2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    -0.0010535717  0.994357407    2.30185699     0              0              0              0              0              0              33.5003891     33.5003891     400            Invalid Start  319261314      0.018843824    0.795478463    2.52600431     0.00120144465  0.772666514    2.53176022     -1             0              0              0              0              0              0
7              19             -0.200000003   1.20000005     2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    -0.00108981133 0.995946229    2.29706407     0              0              0              0              0              0              42.2338753     42.2338753     400            Too Slow       319261315      -0.196196154   1.17720723     2.49005437     -0.193500608   1.16817486     2.49041557     318900345      -0.147668377   1.35008705     2.54138517     0.21642451     0.761755943    2.45178366
8              17             0.200000003    1              2.5            0.200000003    1              2.5            0              0              0              0.150000006    0.150000006    0.150000006    -0.0001808404920.998411536    2.29995871     0.0327239633   1.01030087     2.31535077     0.202200904    0.989937603    2.50185323     45.9655533     46.2514229     200            Hit Both       319261315      0.231098413    1.01599884     2.51528955     0.211403206    0.96303004     2.50689888     318900346      -0.193551585   0.724540353    2.51627183     0.317461371    1.03909135     2.50435734
9              4              0              0.800000012    2.5            0              0.800000012    2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.0026756525   0.99944222     2.29949474     0.0258597583   0.991010189    2.3249805      0.0264315307   0.800733507    2.45547771     51.3893051     52.0725441     -300           Missed         319261316      -0.00208703475 0.801262021    2.49675465     0.0253957342   0.815456212    2.53978229     318900345      0.0523316264   0.950087011    2.54138517     0.416424513    0.361755908    2.45178366
10             18             -0.200000003   1.20000005     2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.0386130512   0.987373829    2.29755116     0              0              0              0              0              0              53.9939156     53.9939156     -300           Too Early      319261318      -0.186496064   1.2172302      2.50275397     -0.244059816   1.2006799      2.50413251     -1             0              0              0              0              0              0
11             7              0.200000003    0.800000012    2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.00456371903  1.01663744     2.2648077      0              0              0              0              0              0              55.2411308     55.2411308     -300           Too Early      319261319      0.189830363    0.815432549    2.54374433     0.242255852    0.792915583    2.47925186     318900345      0.252331614    0.950087011    2.54138517     0.616424501    0.361755908    2.45178366
12             0              -0.200000003   0.800000012    2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    0.0344413221   1.01322174     2.27199864     0              0              0              0              0              0              56.3965569     56.3965569     -300           Too Early      319261320      -0.176224113   0.831923306    2.48725343     -0.216870412   0.841706753    2.51160574     -1             0              0              0              0              0              0
13             22             0              1.20000005     2.5            0              0              0              0              0              0              0.150000006    0.150000006    0.150000006    -0.0225948691  0.947195649    2.28622603     0              0              0              0              0              0              59.3014069     59.3014069     -300           Too Early      319261321      0.032693591    1.22131956     2.53034544     0.00763172423  1.1868403      2.47957063     318900345      0.0523316264   1.35008705     2.54138517     0.416424513    0.761755943    2.45178366
14             5              0              0.800000012    2.5            0              0.800000012    2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.000348642468 0.999557793    2.30036211     0.00329568982  0.975746989    2.32982779     0.00924113393  0.81327635     2.48946595     64.9435883     65.4219513     -500           Hit Both       319261321      0.0376582295   0.790250182    2.47155571     -0.040626131   0.803134501    2.52619338     318900346      -0.393551588   0.524540365    2.51627183     0.117461383    0.839091301    2.50435734
15             11             -0.200000003   1              2.5            -0.200000003   1              2.5            0              0              0              0.150000006    0.150000006    0.150000006    0.000181272626 1.00005472     2.2995894      -0.0350382328  0.999946356    2.3265903      -0.191892594   0.97849369     2.48883343     69.178894      69.8487244     -700           Hit Both       319261322      -0.216080889   0.958733201    2.50925851     -0.240840569   1.02172685     2.50657892     318900346      -0.593551576   0.724540353    2.51627183     -0.0825386196  1.03909135     2.50435734
