Participant: IP
Session Start: 8/7/2025 12:18:52 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0001373142  0.999432087    2.3006072      0              0              0              0              0              0              19.2148933     19.2148933     0              Invalid Start  -1704654554    -0.213047266   0.813244998    2.43264318     -0.203790694   0.808010697    2.43005371     -1             0              0              0              0              0              0
2              2              0.200000003    0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00244045258 0.999785125    2.29828072     0.0228835493   0.983060539    2.30339575     0.191936582    0.805853546    2.38990164     22.6126366     23.2666397     300            Hit            -1704654554    0.221265391    0.840429246    2.38363767     0.178968787    0.827087402    2.42837501     -1             0              0              0              0              0              0
3              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00184617937  0.997150421    2.300143       -0.0282104313  1.00608766     2.31322718     -0.181625843   1.00023377     2.50041676     27.4560261     28.0922718     600            Hit            -1704654553    -0.200769201   0.959252596    2.5482595      -0.178521737   1.0021795      2.54178452     -1             0              0              0              0              0              0
4              5              0.200000003    1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00187669694 0.998949707    2.30125809     0.0270372182   1.00990295     2.32266855     0.217586055    0.999109268    2.5157373      31.7353821     32.1778793     900            Hit            -1704654552    0.177998692    0.965875447    2.53708363     0.240616217    1.00921667     2.52392268     -1             0              0              0              0              0              0
5              5              0.200000003    1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -6.80088997E-050.998970032    2.30101109     0.0274574012   1.00600445     2.31342793     0.199380293    0.997951567    2.49957418     35.8677483     36.3715897     1200           Hit            -1704654551    0.227804422    0.998108506    2.48310351     0.214555502    0.992624998    2.478719       -1             0              0              0              0              0              0
6              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0003939419981.00008702     2.29931879     -0.0286209881  1.01000309     2.30845022     -0.198863655   0.999611139    2.49476099     39.9631805     40.5037613     1500           Hit            -1704654550    -0.201434463   0.994338691    2.54966116     -0.15284048    1.00200701     2.51794028     -1             0              0              0              0              0              0
7              2              0.200000003    0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00183272362  0.999794006    2.30029535     0.0210453421   0.971586287    2.30881405     0.185924426    0.799835801    2.39663696     43.9890862     44.550602      1800           Hit            -1704654549    0.203777745    0.834690452    2.39375591     0.20828867     0.756483793    2.39869022     -1             0              0              0              0              0              0
8              4              0              1              2.5999999      0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00166919827  0.999006331    2.3004446      0.00190529227  1.00629067     2.33496928     -0.0015874505  0.998161614    2.56781268     47.6981621     48.1891556     2100           Hit            -1704654548    -0.0199977122  0.990898967    2.62037754     -0.0107898191  1.00707555     2.59775496     -1             0              0              0              0              0              0
9              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000525638461 0.999670506    2.30104494     -0.0313204825  0.974702001    2.31393433     -0.20907402    0.829404533    2.38738179     51.757534      52.2739525     2400           Hit            -1704654547    -0.210084975   0.766036391    2.41953349     -0.203101814   0.829829216    2.38618112     -1             0              0              0              0              0              0
10             6              -0.200000003   1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00127168    1.0010525      2.29823136     -0.0249455571  1.02583325     2.30338669     -0.204813063   1.19214642     2.39578199     55.463356      56.0382118     2700           Hit            -1704654546    -0.232070878   1.19953394     2.37191677     -0.191075176   1.20588493     2.36910462     -1             0              0              0              0              0              0
