Participant: IP
Session Start: 9/10/2025 11:31:04 AM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0008807331320.996467769    2.29991007     0              0              0              0              0              0              5.31766033     5.31766033     0              Invalid Start  -1883123128    -0.213101909   0.791891634    2.38506913     -0.185414851   0.814065337    2.39237452     -1             0              0              0              0              0              0
2              8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.0013320446   0.998347282    2.30081153     0.0255086124   1.02260077     2.31110954     0.212629765    1.2007941      2.40627813     8.79172421     9.43169498     300            Hit            -1883123128    0.203028157    1.2211591      2.41152024     0.203928709    1.18985069     2.39438176     -1             0              0              0              0              0              0
3              4              0              1              2.5999999      0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000493258238 0.991379321    2.34948826     0              0              0              0              0              0              12.8261909     12.8261909     300            Too Early      -1883123126    -0.0008895893120.99016434     2.57821083     -0.0170162991  0.995896876    2.60106087     -1             0              0              0              0              0              0
4              1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00229474902  0.997030616    2.30165005     0.0058349371   0.974456787    2.32576895     0.00543487072  0.82105583     2.50870633     17.1883411     17.8878517     600            Hit            -1883123126    0.013935186    0.804685116    2.54074407     -0.0122382985  0.792257071    2.51659703     -1             0              0              0              0              0              0
5              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00194762647 0.99883163     2.29720163     0              0              0              0              0              0              21.4391766     21.4391766     600            Invalid Start  -1883123124    -0.229520142   0.996293843    2.52354741     -0.223007634   1.00847101     2.53087664     -1             0              0              0              0              0              0
6              6              -0.200000003   1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0022879988  0.998973429    2.29817176     -0.0358893871  1.02322686     2.30561018     -0.206392407   1.19133914     2.40088487     24.9330311     25.4168797     900            Hit            -1883123124    -0.219637901   1.19641745     2.41803217     -0.19247514    1.22670674     2.3993721      -1             0              0              0              0              0              0
7              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000896841288 0.99658829     2.30248308     -0.0306700766  1.00386536     2.32633448     -0.197130084   0.978314638    2.53389835     29.3478775     29.8793392     1200           Hit            -1883123123    -0.175309017   0.988301516    2.5315845      -0.207713068   1.02543664     2.51722312     -1             0              0              0              0              0              0
8              1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000191345811 0.997505307    2.29904652     0.00758823752  0.975170493    2.32232523     0.00224801898  0.796727121    2.51097107     33.186306      33.6786423     1500           Hit            -1883123122    -0.0025726899  0.787058175    2.51568937     0.00347322063  0.80734539     2.5378406      -1             0              0              0              0              0              0
9              1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0003583431240.998233199    2.30077648     0.00221732259  0.977835953    2.33012295     -0.00221541524 0.801568389    2.52962112     37.0341339     37.3287811     1800           Hit            -1883123121    0.00500250561  0.783153117    2.52662301     0.00565951876  0.776123643    2.51840067     -1             0              0              0              0              0              0
10             1              0              0.800000012    2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00085106492  0.998275578    2.29925776     0              0              0              0              0              0              40.4933014     40.4933014     1800           Invalid Start  -1883123119    -0.00676212832 0.822319269    2.51825309     -0.0226979088  0.80499804     2.54001117     -1             0              0              0              0              0              0
