Participant: IP
Session Start: 10/17/2025 6:43:03 AM
Trial	ConditionID	TargetX	TargetY	TargetZ	PenaltyX	PenaltyY	PenaltyZ	StartX	StartY	StartZ	ScaleX	ScaleY	ScaleZ	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX	EndY	EndZ	StartTime	EndTime	Score	Result	TargetSeed	TargetFirstX	TargetFirstY	TargetFirstZ	TargetLastX	TargetLastY	TargetLastZ	PenaltySeed	PenaltyFirstX	PenaltyFirstY	PenaltyFirstZ	PenaltyLastX	PenaltyLastY	PenaltyLastZ
1	0	-0.100000001	0.899999976	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00011844933	0.998846054	2.29672647	-0.0125775039	0.981106639	2.31932735	-0.0941340923	0.911408663	2.41366911	3.84017396	4.20702219	300	Hit	1661339159	-0.0913623795	0.899703741	2.41422319	-0.121429168	0.92075026	2.44115829	-1	0	0	0	0	0	0
2	7	0.100000001	0.899999976	2.44142151	-0.400000006	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000664696097	0.999227345	2.29649091	0.0207620263	0.978822112	2.30862904	0.122042954	0.89564836	2.41650605	7.59173441	7.91942739	600	Hit	1661339160	0.0893394426	0.877345443	2.44972205	0.0832164437	0.915376008	2.43962979	1661353758	-0.536945224	0.802687705	2.42775393	-0.538878918	0.79100281	2.43662
3	3	0	0.899999976	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.0005838871	0.997600138	2.30007982	0.000500679016	0.975502968	2.33022547	-0.00455066562	0.909361184	2.4528966	11.1306229	11.477766	900	Hit	1661339161	0.00496091042	0.894425035	2.46753192	0.00924183615	0.882203281	2.49301338	-1	0	0	0	0	0	0
4	24	0.100000001	1.10000002	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00220553577	0.998238385	2.30303049	0.0219648033	1.01924133	2.31840634	0.102679521	1.09478688	2.43434119	14.9697113	15.5225859	1200	Hit	1661339162	0.076436758	1.08836114	2.42776251	0.0990406498	1.11890829	2.45664334	-1	0	0	0	0	0	0
5	0	-0.100000001	0.899999976	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-6.01261854E-05	0.999534428	2.3007021	-0.0132283568	0.98316282	2.32660866	-0.0994238853	0.906879187	2.43202853	18.6573544	19.8804646	1500	Hit	1661339163	-0.111694969	0.904783845	2.46307182	-0.0902164951	0.908604681	2.43313599	-1	0	0	0	0	0	0
6	19	-0.100000001	1.10000002	2.44142151	-0.600000024	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000617042184	0.997366905	2.29875636	-0.0148701072	1.01634181	2.31636858	-0.0882439911	1.09552717	2.43933868	22.8228569	23.4028625	1800	Hit	1661339164	-0.0847684443	1.11224043	2.43918562	-0.0809396505	1.10382748	2.44893241	1661353758	-0.736945212	1.00268769	2.42775393	-0.738878906	0.991002858	2.43662
7	12	0	1	2.50000024	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00125899911	0.99960506	2.3027246	-0.0020185709	0.996056914	2.3342967	-0.00370678306	0.987323105	2.48976517	26.767128	27.1781216	2100	Hit	1661339165	-0.0126974331	0.977487564	2.50562334	-0.00173353427	1.00820959	2.51535487	-1	0	0	0	0	0	0
8	16	0.100000001	1	2.47320533	-0.400000006	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00318038464	0.998088956	2.30246902	0.0330079049	0.99704659	2.3243804	0.105836004	0.995794058	2.45187855	30.3004856	30.8884869	2400	Hit	1661339166	0.105703704	1.01135802	2.46258998	0.111529678	0.983519256	2.4705379	1661353758	-0.536945224	0.902687728	2.45953774	-0.538878918	0.891002834	2.46840382
9	12	0	1	2.50000024	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000535830855	0.999174893	2.30140352	-0.000587195158	0.997516394	2.34235764	-0.00699689984	0.996481776	2.48136044	33.9073868	34.1838608	2700	Hit	1661339167	-0.0250387061	0.998190284	2.51125479	0.0116265193	1.01518226	2.49965668	-1	0	0	0	0	0	0
10	9	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00409781933	0.996570349	2.30454397	0	0	0	0	0	0	37.2906036	37.2906036	2700	Invalid Start	1661339169	-0.102721125	0.989546776	2.48381162	-0.0865112096	1.01037419	2.46082425	-1	0	0	0	0	0	0
11	14	0	1	2.50000024	0.5	1	2.50000024	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000165209174	0.997492909	2.30003214	-0.00130158663	1.00010741	2.33491087	-0.00779795647	0.996686459	2.47836685	51.9415321	52.3198395	3000	Hit	1661339169	-0.0183658451	1.01323164	2.49714518	0.0223499145	1.01801574	2.50164533	1661353759	0.758089542	0.589433908	2.46707201	0.482985795	1.2368573	2.54121089
12	11	-0.100000001	1	2.47320533	0.400000006	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000393345952	1.00172496	2.29615736	-0.0256550014	1.00469804	2.31568766	-0.104243249	0.990468442	2.47664928	55.5881233	56.0834618	3300	Hit	1661339170	-0.0976337269	1.00930595	2.49602056	-0.111740641	1.02299237	2.46068859	1661353759	0.658089519	0.589433908	2.4402771	0.382985801	1.2368573	2.51441598
13	26	0.100000001	1.10000002	2.44142151	0.600000024	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00147633255	0.999137759	2.29834247	0.0151001662	1.02039587	2.31982827	0.0903505683	1.0852319	2.444489	59.2105446	59.6544685	3600	Hit	1661339171	0.0992997065	1.10939705	2.4294467	0.105638824	1.08841217	2.468472	1661353759	0.858089566	0.689433932	2.40849328	0.582985818	1.33685732	2.48263216
14	7	0.100000001	0.899999976	2.44142151	-0.400000006	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000313416123	1.00169826	2.30129051	0.0209474862	0.979974091	2.32148695	0.106850266	0.895049691	2.42651057	62.5300064	62.9205742	3900	Hit	1661339172	0.0743652433	0.88776654	2.44906044	0.120735794	0.898037672	2.44550276	1661353758	-0.536945224	0.802687705	2.42775393	-0.538878918	0.79100281	2.43662
15	26	0.100000001	1.10000002	2.44142151	0.600000024	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000924527645	0.999491096	2.3001039	0.0180654824	1.02189052	2.32952905	0.0834330022	1.09616327	2.43363023	66.0173645	66.4412384	4200	Hit	1661339173	0.102053218	1.08967566	2.43409443	0.0886066854	1.0847044	2.4442625	1661353759	0.858089566	0.689433932	2.40849328	0.582985818	1.33685732	2.48263216
16	22	0	1.10000002	2.47320533	-0.5	1.10000002	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00112248957	0.999192774	2.29977798	0.00145924091	1.02234948	2.32211471	0.0123378038	1.09402251	2.46194172	69.5027542	70.0068741	4500	Hit	1661339174	0.0187618304	1.09518421	2.46763659	0.00401244499	1.11901331	2.4543066	1661353758	-0.636945188	1.00268769	2.45953774	-0.638878882	0.991002858	2.46840382
17	24	0.100000001	1.10000002	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00136019289	0.998503506	2.29944921	0.0186074078	1.01241827	2.32373762	0.0798946321	1.05236828	2.41732645	73.0101013	73.2756424	4500	Neutral	1661339175	0.0933509022	1.08450985	2.46179891	0.116424114	1.10921061	2.45863914	-1	0	0	0	0	0	0
18	9	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000634044409	0.998118222	2.29762506	-0.0247133076	0.995584607	2.32585382	-0.0736142993	0.989021063	2.42801571	76.2029877	76.5819092	4500	Neutral	1661339176	-0.105959766	1.00767136	2.44839263	-0.100311302	0.988460004	2.47966313	-1	0	0	0	0	0	0
19	70	0	1.10000002	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00180447102	1.03829324	2.33360171	0	0	0	0	0	0	79.4953156	79.4953156	4500	Too Early	1661339178	0.00214121211	1.08227754	2.47737455	0.0104720425	1.10637331	2.45116377	-1	0	0	0	0	0	0
20	9	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.0016617626	0.998457909	2.30424309	0	0	0	0	0	0	83.6455154	83.6455154	4500	Invalid Start	1661339179	-0.0965219587	1.00296795	2.46838856	-0.123171896	0.995935619	2.4890821	-1	0	0	0	0	0	0
21	2	-0.100000001	0.899999976	2.44142151	0.400000006	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00126722455	0.997197151	2.30591774	-0.0230024159	0.976970017	2.32825518	-0.108424515	0.907785177	2.42170238	98.175499	98.6264877	4800	Hit	1661339179	-0.0898832083	0.9182868	2.43152332	-0.0933702439	0.919981837	2.45473123	1661353759	0.658089519	0.489433885	2.40849328	0.382985801	1.13685727	2.48263216
22	20	-0.100000001	1.10000002	2.44142151	0.400000006	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00181533396	0.999096572	2.30023527	-0.0244420469	1.01850832	2.30945396	-0.100621969	1.09765351	2.44422126	101.705559	102.223053	5100	Hit	1661339180	-0.0982694551	1.11488461	2.45835185	-0.111868292	1.091447	2.43349099	1661353759	0.658089519	0.689433932	2.40849328	0.382985801	1.33685732	2.48263216
23	3	0	0.899999976	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000955253839	0.998102009	2.3019619	0.00333639979	0.981038332	2.32788205	-0.00829988718	0.901586413	2.46225882	106.255196	106.603477	5400	Hit	1661339181	0.00543056661	0.885773182	2.47000551	-0.00982097071	0.874958396	2.47567868	-1	0	0	0	0	0	0
