Participant: IP
Session Start: 10/17/2025 1:22:38 PM
Trial	ConditionID	TargetX	TargetY	TargetZ	PenaltyX	PenaltyY	PenaltyZ	StartX	StartY	StartZ	ScaleX	ScaleY	ScaleZ	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX	EndY	EndZ	StartTime	EndTime	Score	Result	TargetSeed	TargetFirstX	TargetFirstY	TargetFirstZ	TargetLastX	TargetLastY	TargetLastZ	PenaltySeed	PenaltyFirstX	PenaltyFirstY	PenaltyFirstZ	PenaltyLastX	PenaltyLastY	PenaltyLastZ
1	16	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000319957733	0.998462975	2.29772162	0	0	0	0	0	0	13.2226257	13.2226257	0	Invalid Start	920254558	0.120786875	0.991564751	2.47249484	0.125692442	0.998598278	2.4679637	919998550	-0.486331433	0.623254538	2.47430372	-0.189734265	0.651997209	2.49127078
2	6	0.100000001	0.899999976	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000657260418	0.996600389	2.30110097	0.018406868	0.982738316	2.32454419	0.0946445763	0.913329124	2.42510223	16.984272	17.5106068	300	Hit	920254558	0.0903752372	0.877399564	2.44482136	0.12006139	0.918768227	2.43895912	-1	0	0	0	0	0	0
3	19	-0.100000001	1.10000002	2.44142151	-0.600000024	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000141531229	0.998767972	2.30144143	-0.0208753347	1.01890004	2.3173399	-0.0855433345	1.09127307	2.43931103	21.1015205	21.573349	600	Hit	920254559	-0.117714509	1.11055803	2.42362189	-0.100105047	1.07595241	2.4309442	919998550	-0.686331451	0.723254561	2.4425199	-0.389734268	0.751997232	2.45948696
4	25	0.100000001	1.10000002	2.44142151	-0.400000006	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.0002386868	0.997616053	2.30252409	0.0261268467	1.02431035	2.3188448	0.124712884	1.10208488	2.43673301	25.0730476	25.382967	900	Hit	920254560	0.119777709	1.10728049	2.43086767	0.124003634	1.10430157	2.44202399	919998550	-0.486331433	0.723254561	2.4425199	-0.189734265	0.751997232	2.45948696
5	21	0	1.10000002	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00210911036	0.997497797	2.29836321	0.000533908606	1.02516055	2.32686353	-0.000794649124	1.08979857	2.4672935	29.090765	29.5852928	1200	Hit	920254561	-0.010736539	1.08502781	2.48822451	0.0074862102	1.10726535	2.49603224	-1	0	0	0	0	0	0
6	17	0.100000001	1	2.47320533	0.600000024	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-4.51207161E-05	0.997462988	2.29983473	0.0173158199	1.00631368	2.32307506	0.0890861452	0.999550462	2.47241068	33.2391243	33.7895699	1500	Hit	920254562	0.107738607	1.02798164	2.46837735	0.105938777	0.993229628	2.44696546	919998551	0.881055951	0.584524751	2.46480012	0.686934769	0.516864657	2.45411253
7	16	0.100000001	1	2.47320533	-0.400000006	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000924795866	1.00129044	2.29825258	0.0246877521	1.00741267	2.32048941	0.118050575	0.991548359	2.47913885	37.1337891	37.5168152	1800	Hit	920254563	0.115740344	0.985858083	2.47405696	0.0998801067	1.01567793	2.45587397	919998550	-0.486331433	0.623254538	2.47430372	-0.189734265	0.651997209	2.49127078
8	20	-0.100000001	1.10000002	2.44142151	0.400000006	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000975653529	1.00026584	2.29893756	-0.0221774876	1.02089095	2.3159678	-0.11126402	1.10156083	2.44135213	40.6307526	41.0783157	2100	Hit	920254564	-0.0916473866	1.08420074	2.4210856	-0.127570301	1.09814346	2.45292139	919998551	0.681055903	0.684524775	2.4330163	0.486934751	0.616864681	2.42232871
9	23	0	1.10000002	2.47320533	0.5	1.10000002	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00182196498	0.997545958	2.30014706	-0.00486400723	1.02675903	2.32045507	-0.0118320584	1.10507178	2.46538401	44.1780853	44.642746	2400	Hit	920254565	0.0199957751	1.08474958	2.48185945	-0.00928344298	1.08302569	2.46320057	919998551	0.781055927	0.684524775	2.46480012	0.586934745	0.616864681	2.45411253
10	12	0	1	2.50000024	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000952288508	0.998800516	2.29898596	-0.00252118707	1.00587118	2.32941055	0.00646325946	1.00350869	2.48913002	48.2303886	48.7059746	2700	Hit	920254566	-0.0128820073	0.981280804	2.51414275	0.0284323748	0.99450624	2.50214171	-1	0	0	0	0	0	0
11	16	0.100000001	1	2.47320533	-0.400000006	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00126096606	0.998971701	2.29952049	0.027793318	1.01131153	2.32210636	0.108829588	0.994484901	2.47102904	63.6728668	64.1870651	3000	Hit	920254567	0.100281544	0.973298907	2.46601939	0.106289998	1.02368593	2.48095751	919998550	-0.486331433	0.623254538	2.47430372	-0.189734265	0.651997209	2.49127078
12	10	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00132010877	0.999111176	2.29873943	0	0	0	0	0	0	67.0001602	67.0001602	3000	Invalid Start	920254569	-0.108219475	1.00322223	2.48579478	-0.0847113505	1.02321029	2.4677906	919998550	-0.686331451	0.623254538	2.47430372	-0.389734268	0.651997209	2.49127078
13	1	-0.100000001	0.899999976	2.44142151	-0.600000024	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000291600823	0.99878186	2.29911304	-0.0156794488	0.978551447	2.32917285	-0.0889692903	0.894906342	2.44724607	70.289566	70.5696716	3300	Hit	920254569	-0.0983362794	0.897272706	2.42398882	-0.0910543948	0.902020454	2.44040298	919998550	-0.686331451	0.523254514	2.4425199	-0.389734268	0.551997185	2.45948696
14	23	0	1.10000002	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000205054879	0.999751031	2.29983377	0	0	0	0	0	0	73.3603897	73.3603897	3300	Invalid Start	920254571	0.0101960618	1.07629502	2.47905898	-0.00250716042	1.10595536	2.47238326	919998551	0.781055927	0.684524775	2.46480012	0.586934745	0.616864681	2.45411253
15	8	0.100000001	0.899999976	2.44142151	0.600000024	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000906512141	0.998678505	2.2985208	0.0205050707	0.981503367	2.32645726	0.0982812047	0.898816526	2.43388605	76.811676	77.2463226	3600	Hit	920254571	0.120524198	0.910163641	2.42582417	0.109080516	0.905740499	2.44158888	919998551	0.881055951	0.484524727	2.4330163	0.686934769	0.416864634	2.42232871
16	8	0.100000001	0.899999976	2.44142151	0.600000024	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000538185239	0.997134507	2.30081654	0.0106500089	0.979875445	2.32714486	0.0918715298	0.888454795	2.44655466	80.980217	81.2380905	3900	Hit	920254572	0.125364929	0.898341179	2.42722535	0.104429953	0.911664844	2.45909142	919998551	0.881055951	0.484524727	2.4330163	0.686934769	0.416864634	2.42232871
17	25	0.100000001	1.10000002	2.44142151	-0.400000006	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000424459577	0.997608066	2.30257845	0.029567346	1.02780104	2.32244873	0.104697675	1.09720862	2.43293095	84.481842	84.8543015	4200	Hit	920254573	0.117127597	1.09145749	2.46089792	0.129255936	1.10125077	2.44433975	919998550	-0.486331433	0.723254561	2.4425199	-0.189734265	0.751997232	2.45948696
18	22	0	1.10000002	2.47320533	-0.5	1.10000002	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00252705812	0.996867418	2.30336237	0.00902581215	1.01767528	2.32439399	0.0130675435	1.0923059	2.45395851	88.3894958	88.7364655	4500	Hit	920254574	-0.0050927382	1.12555885	2.47102904	0.0101344911	1.08760655	2.48408318	919998550	-0.586331427	0.723254561	2.47430372	-0.289734244	0.751997232	2.49127078
19	14	0	1	2.50000024	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000448912382	0.995995104	2.30551386	0	0	0	0	0	0	91.9902954	91.9902954	4500	Invalid Start	920254576	-0.00918175559	1.02705288	2.50333071	-0.0129197733	1.01931226	2.50800467	919998551	0.781055927	0.584524751	2.49159503	0.586934745	0.516864657	2.48090744
20	19	-0.100000001	1.10000002	2.44142151	-0.600000024	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00161337852	1.00017333	2.29935479	-0.0248081982	1.01955414	2.31122732	-0.0928670764	1.10329878	2.4482758	95.4139404	95.8720856	4800	Hit	920254576	-0.0915606022	1.0973016	2.430094	-0.114400961	1.07841253	2.43357015	919998550	-0.686331451	0.723254561	2.4425199	-0.389734268	0.751997232	2.45948696
