Participant: IP
Session Start: 12/12/2025 5:01:38 PM
Trial	ConditionID	TargetIndex	PenaltyIndex	TargetX	TargetY	TargetZ	PenaltyX	PenaltyY	PenaltyZ	StartX	StartY	StartZ	ScaleX	ScaleY	ScaleZ	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX	EndY	EndZ	StartTime	EndTime	Score	Result	TargetSeed	TargetFirstX	TargetFirstY	TargetFirstZ	TargetLastX	TargetLastY	TargetLastZ	PenaltySeed	PenaltyFirstX	PenaltyFirstY	PenaltyFirstZ	PenaltyLastX	PenaltyLastY	PenaltyLastZ
1	17	5	2	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.0982581675	0.997986853	2.46977592	0	0	0	0	0	0	21.1614094	21.1614094	0	Too Slow	361481672	0.100728765	0.991333783	2.47654462	0.104631767	0.996200502	2.4707036	361238262	0.507612705	1.14583826	2.46734834	0.2897861	1.00757158	2.46534252
2	11	3	2	-0.100000001	1	2.47320533	0.150000006	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00187721848	0.997234523	2.30305409	-0.0237585008	0.998888254	2.33630753	-0.102731884	0.996267617	2.47390103	24.2019482	24.732151	300	Hit Target	361481672	-0.105005741	1.00029612	2.47829223	-0.107836023	1.0003643	2.4675343	361238262	0.307612687	1.14583826	2.46734834	0.0897861123	1.00757158	2.46534252
3	15	5	0	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.0982458889	0.999539673	2.47308517	0	0	0	0	0	0	27.9380798	27.9380798	300	Too Slow	361481674	0.108036086	0.99902755	2.46866846	0.100427337	0.993228793	2.47422791	-1	0	0	0	0	0	0
4	25	8	1	0.100000001	1.10000002	2.44142151	-0.150000006	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00061827898	1.00040019	2.30012512	0.0173681974	1.02102375	2.31973648	0.102855295	1.1007148	2.45046782	30.6591511	31.1560116	600	Hit Target	361481674	0.10165675	1.10447848	2.4496243	0.0969622284	1.09681082	2.44781828	361238261	-0.0351205245	0.932143092	2.44495177	0.0795858204	1.40332091	2.43227077
5	22	7	1	0	1.10000002	2.47320533	-0.25	1.10000002	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00202149153	0.997393668	2.30249166	0.0111265481	1.02106261	2.32842278	0.00262370706	1.09599841	2.47496033	34.0798035	34.5078125	900	Hit Target	361481675	0.00343183568	1.09604323	2.46520448	-0.00584662659	1.10712957	2.47255778	361238261	-0.135120511	0.932143092	2.47673559	-0.0204141736	1.40332091	2.46405458
6	9	3	0	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.098898828	1.00039923	2.47027969	0	0	0	0	0	0	38.1946564	38.1946564	900	Too Slow	361481677	-0.107100874	0.996843696	2.47336245	-0.101465873	0.999045789	2.47763228	-1	0	0	0	0	0	0
7	2	0	2	-0.100000001	0.899999976	2.44142151	0.150000006	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000269412994	0.996325135	2.30109191	-0.0193063319	0.984125853	2.32274723	-0.104792863	0.89497	2.44083905	40.9763184	41.5183449	1200	Hit Target	361481677	-0.0934803709	0.898581028	2.43514967	-0.104201891	0.900754273	2.44011617	361238262	0.307612687	1.04583824	2.43556452	0.0897861123	0.907571554	2.4335587
8	13	4	1	0	1	2.50000024	-0.25	1	2.50000024	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00148139894	0.995179892	2.30511546	0.00385162234	1.00471342	2.34060836	-0.000684738159	0.998674095	2.49960876	44.558754	44.9694405	1000	Hit Both	361481678	-0.0069727865	0.996890187	2.49735332	-0.00179165707	1.00826085	2.50407195	361238261	-0.135120511	0.832143068	2.5035305	-0.0204141736	1.30332088	2.49084949
9	15	5	0	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00776171684	0.988809466	2.30571556	0	0	0	0	0	0	46.6491547	46.6491547	1000	Too Early	361481680	0.107595578	0.996701062	2.47820854	0.0960658714	1.00570953	2.48025799	-1	0	0	0	0	0	0
10	15	5	0	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.100485444	0.998393714	2.47438455	0	0	0	0	0	0	50.2075081	50.2075081	1000	Too Slow	361481681	0.105466686	1.00290895	2.47203994	0.102519237	1.00149822	2.47337389	-1	0	0	0	0	0	0
