Participant: ME
Session Start: 7/30/2025 3:52:08 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              20             -0.200000003   1.20000005     2.5            0.300000012    1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00236858428  0.998186827    2.29966092     -0.0233340263  1.00930476     2.3117075      -0.214969158   1.19204247     2.48724675     3.97026658     4.60440826     300            Hit            42344596       -0.20352754    1.22746313     2.48083544     -0.166334212   1.22159863     2.51688814     42344598       0.335092068    1.47611606     2.50993705     0.279963613    1.66487038     2.46134663
2              24             0.200000003    1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0169597268   1.01674426     2.34374785     0              0              0              0              0              0              6.93229437     6.93229437     300            Too Early      42344598       0.206006423    1.16372514     2.50258708     0.200207725    1.19787157     2.46987677     -1             0              0              0              0              0              0
3              24             0.200000003    1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000499874353 0.997871697    2.29954934     0.0250648558   1.0209161      2.3103838      0.181513518    1.18415833     2.48092484     11.804389      12.4712915     600            Hit            42344598       0.202577963    1.17875528     2.52582502     0.230859876    1.22783637     2.52505875     -1             0              0              0              0              0              0
4              3              0              0.800000012    2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000411391258 0.998849988    2.30114865     0.00465333462  0.974443793    2.32767797     0.0192675292   0.885948777    2.34215689     16.2564068     17.3428822     600            Neutral        42344599       -0.0343457796  0.78016299     2.49645686     0.0154409623   0.815138161    2.52561712     -1             0              0              0              0              0              0
5              26             0.200000003    1.20000005     2.5            0.699999988    1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0007734149690.999144614    2.29791737     0.0185720325   1.02726543     2.30973053     0.189173356    1.19621098     2.4954381      20.8553944     21.4641495     900            Hit            42344600       0.219237894    1.17491543     2.52470517     0.184265316    1.17885125     2.52294683     42344598       0.735092044    1.47611606     2.50993705     0.679963589    1.66487038     2.46134663
6              8              0.200000003    0.800000012    2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0379122496  0.973726928    2.32434487     0              0              0              0              0              0              24.0753422     24.0753422     900            Too Early      42344602       0.223277688    0.816339374    2.47003555     0.199061677    0.791146219    2.53065276     42344598       0.735092044    1.07611609     2.50993705     0.679963589    1.26487041     2.46134663
7              2              -0.200000003   0.800000012    2.5            0.300000012    0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000355705619 0.997977078    2.30156875     -0.0313302577  0.973370135    2.3162179      -0.22549206    0.801959574    2.47644424     28.2338886     28.8905239     1200           Hit            42344602       -0.186014622   0.840129256    2.51948619     -0.172433525   0.813687563    2.47297955     42344598       0.335092068    1.07611609     2.50993705     0.279963613    1.26487041     2.46134663
8              9              -0.200000003   1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0408222377  1.00723195     2.32735443     0              0              0              0              0              0              32.2763214     32.2763214     1200           Too Early      42344604       -0.177255675   1.0020752      2.45742774     -0.172067389   0.986611664    2.46076894     -1             0              0              0              0              0              0
9              11             -0.200000003   1              2.5            0.300000012    1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00102575123  0.997089267    2.30082273     -0.0312815011  0.997563303    2.31795382     -0.209344447   1.00864542     2.49657726     36.1924324     36.7019844     1500           Hit            42344604       -0.215349674   1.04193795     2.48916602     -0.223127484   0.961002767    2.48555088     42344598       0.335092068    1.27611601     2.50993705     0.279963613    1.46487033     2.46134663
10             19             -0.200000003   1.20000005     2.5            -0.699999988   1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00208835304  0.998087823    2.29896879     -0.0252995491  1.01654685     2.31768322     -0.171721101   1.19111681     2.49783325     40.5893669     41.4892044     1800           Hit            42344605       -0.189119563   1.19540095     2.54369593     -0.184082732   1.1744566      2.48768592     42344597       -0.984560192   0.970331609    2.5194521      -0.654638171   0.933349848    2.51201153
11             5              0              0.800000012    2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   1.9967556E-06  0.965658367    2.31553602     0              0              0              0              0              0              44.9787407     44.9787407     1800           Too Early      42344607       -0.0370692983  0.779720783    2.48139429     -0.013621429   0.827227533    2.53706241     42344598       0.535092056    1.07611609     2.50993705     0.479963601    1.26487041     2.46134663
12             25             0.200000003    1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0104239881   0.981233656    2.26780725     0              0              0              0              0              0              45.6828918     45.6828918     1800           Too Early      42344608       0.170900896    1.19608772     2.50912738     0.19062677     1.22975063     2.49424505     42344597       -0.584560215   0.970331609    2.5194521      -0.254638195   0.933349848    2.51201153
13             9              -0.200000003   1              2.5            -0.300000012   1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000621944666 0.992968082    2.29097676     -0.0288767517  0.984375477    2.29770494     -0.200932622   0.994630218    2.47728491     51.2894897     52.1738167     1600           Hit Both       42344608       -0.237653762   0.986149311    2.47435236     -0.248386249   0.994561553    2.49971104     -1             0              0              0              0              0              0
14             17             0.200000003    1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.132028714    0.840757608    2.02425694     0              0              0              0              0              0              64.0653763     64.0653763     1600           Too Slow       42344610       0.238199413    0.979953706    2.50587201     0.201633796    0.959677756    2.52514529     42344598       0.735092044    1.27611601     2.50993705     0.679963589    1.46487033     2.46134663
15             9              -0.200000003   1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0006705373530.998930454    2.29775667     -0.0319805145  0.995965481    2.31424141     -0.194875151   0.986878633    2.483181       67.9718857     68.6387863     1900           Hit            42344610       -0.211503908   1.02195644     2.53154659     -0.192039728   0.964579821    2.48326898     -1             0              0              0              0              0              0
16             23             0              1.20000005     2.5            0.5            1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0009306818250.999077439    2.29785919     -0.00657513738 1.03123295     2.30835009     -0.0190238357  1.19161832     2.49154925     71.9107437     72.6387863     2200           Hit            42344611       0.01173524     1.1769321      2.49894452     -0.0020494652  1.18918598     2.46295619     42344598       0.535092056    1.47611606     2.50993705     0.479963601    1.66487038     2.46134663
17             14             0              1              2.5            0.5            1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0005466192960.998792291    2.30072379     -0.0108944774  0.994403064    2.32870555     -0.0294167399  0.984612763    2.4725194      76.3350601     76.8179703     2500           Hit            42344612       0.0322108567   1.01558137     2.52902794     0.0200539008   1.00233042     2.46503925     42344598       0.535092056    1.27611601     2.50993705     0.479963601    1.46487033     2.46134663
18             14             0              1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00189867616  0.971173227    2.3005352      0              0              0              0              0              0              80.2332001     80.2332001     2500           Invalid Start  42344614       0.00796201453  1.02683914     2.47247744     -0.0123834275  0.99300164     2.52692628     42344598       0.535092056    1.27611601     2.50993705     0.479963601    1.46487033     2.46134663
19             26             0.200000003    1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00617149472  1.02391112     2.33370042     0              0              0              0              0              0              82.8709717     82.8709717     2500           Too Early      42344615       0.208972976    1.2236675      2.51343393     0.19648616     1.20858657     2.53924251     42344598       0.735092044    1.47611606     2.50993705     0.679963589    1.66487038     2.46134663
20             16             0.200000003    1              2.5            -0.300000012   1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0020519644   0.999000907    2.29969978     0.0321532935   0.989206731    2.31158924     0.201878279    0.972961187    2.46080828     87.7006989     88.4767303     2800           Hit            42344615       0.186261773    0.991074264    2.47349381     0.190569222    1.01827395     2.49354744     42344597       -0.584560215   0.770331562    2.5194521      -0.254638195   0.7333498      2.51201153
21             7              0.200000003    0.800000012    2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0215139389   0.966579914    2.31063652     0              0              0              0              0              0              92.3137741     92.3137741     2800           Too Early      42344617       0.235311732    0.785477459    2.4931612      0.198512614    0.779259443    2.47870588     42344597       -0.584560215   0.570331573    2.5194521      -0.254638195   0.533349812    2.51201153
22             4              0              0.800000012    2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00357583165  0.958984733    2.3083849      0              0              0              0              0              0              97.406311      97.406311      2800           Too Early      42344618       -0.00016138496 0.802298903    2.53585434     0.0144554889   0.786044061    2.51019311     42344597       -0.784560204   0.570331573    2.5194521      -0.454638183   0.533349812    2.51201153
