Participant: RC
Session Start: 1/29/2026 10:15:07 AM
Trial	ConditionID	TargetIndex	PenaltyIndex	TargetX	TargetY	TargetZ	PenaltyX	PenaltyY	PenaltyZ	StartX	StartY	StartZ	ScaleX	ScaleY	ScaleZ	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX	EndY	EndZ	StartTime	EndTime	Score	Result	TargetSeed	TargetFirstX	TargetFirstY	TargetFirstZ	TargetLastX	TargetLastY	TargetLastZ	PenaltySeed	PenaltyFirstX	PenaltyFirstY	PenaltyFirstZ	PenaltyLastX	PenaltyLastY	PenaltyLastZ
1	3	1	0	0	0.899999976	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000180542469	0.98944515	2.31185579	0	0	0	0	0	0	18.7112255	18.7112255	0	Too Early	1312478208	-0.00321117486	0.908594847	2.47427797	0.00414733868	0.902595818	2.47424221	-1	0	0	0	0	0	0
2	13	4	1	0	1	2.50000024	-0.25	1	2.50000024	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00131511688	1.0007875	2.30613041	0.00212073326	1.00931001	2.3492353	0.00214016438	1.00218368	2.48934793	21.5750237	21.7904034	0	Missed	1312478209	-0.00421850104	0.995095313	2.49340343	0.00444376003	0.994970977	2.5002358	1312478208	-0.220971853	0.864834785	2.49423456	-0.430984795	0.874904811	2.50396299
3	10	3	1	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.0685353875	0.99969852	2.42690396	0	0	0	0	0	0	24.5015297	24.5015297	0	Too Slow	1312478210	-0.0940499604	0.993644953	2.47684288	-0.0972585902	0.999040842	2.47236037	1312478208	-0.320971847	0.864834785	2.46743965	-0.530984759	0.874904811	2.47716808
4	22	7	1	0	1.10000002	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00170356035	1.01268864	2.31692839	0	0	0	0	0	0	27.0281677	27.0281677	0	Too Early	1312478211	0.0062305606	1.10443437	2.47004795	0.00416821521	1.1027559	2.4729619	1312478208	-0.220971853	0.964834809	2.46743965	-0.430984795	0.974904835	2.47716808
5	23	7	2	0	1.10000002	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00204443932	1.00901735	2.32108879	0	0	0	0	0	0	29.8581047	29.8581047	0	Too Early	1312478212	0.000937062548	1.10130763	2.47528934	0.0054321331	1.09884131	2.47664237	1312478209	0.0715057254	1.19586384	2.4674294	0.106153429	1.36114204	2.46832728
6	10	3	1	-0.100000001	1	2.47320533	-0.349999994	1	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00193205476	0.996982157	2.2979672	-0.0261079371	1.00013971	2.330966	-0.101825655	1.00447881	2.46969891	32.8359756	33.028553	-200	Hit Both	1312478213	-0.101341769	0.994603038	2.47266626	-0.102591559	0.999491811	2.48193574	1312478208	-0.320971847	0.864834785	2.46743965	-0.530984759	0.874904811	2.47716808
7	7	2	1	0.100000001	0.899999976	2.44142151	-0.150000006	0.899999976	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00347395241	0.997220695	2.29578972	0.0264928788	0.988124788	2.31457138	0.112194106	0.899114668	2.43285203	35.5234566	35.7359657	-200	Missed	1312478214	0.0980465561	0.903272569	2.43231201	0.099124372	0.905273438	2.44284272	1312478208	-0.120971859	0.764834762	2.43565583	-0.330984801	0.774904788	2.44538426
8	25	8	1	0.100000001	1.10000002	2.44142151	-0.150000006	1.10000002	2.44142151	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000175282359	0.995361686	2.30053258	0.0206962526	1.01264763	2.3194468	0.116411954	1.09758759	2.46005273	38.7722244	39.009407	-200	Missed	1312478215	0.0933670253	1.09696329	2.44369984	0.098004289	1.10064936	2.43564749	1312478208	-0.120971859	0.964834809	2.43565583	-0.330984801	0.974904835	2.44538426
9	6	2	0	0.100000001	0.899999976	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00110852718	1.00022554	2.29943562	0.021560207	0.990691185	2.32053995	0.119098097	0.882604659	2.44245434	41.7588882	41.9935951	-200	Missed	1312478216	0.0972724259	0.905445278	2.43764544	0.101349846	0.893351495	2.44552231	-1	0	0	0	0	0	0
10	22	7	1	0	1.10000002	2.47320533	-0.25	1.10000002	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00227332115	1.00268853	2.29784918	-0.00303888321	1.03762817	2.32735348	0.00459116697	1.10236204	2.4639492	44.781002	45.0175362	-200	Missed	1312478217	-0.00244605751	1.0947969	2.477314	-0.00289262389	1.094262	2.47302055	1312478208	-0.220971853	0.964834809	2.46743965	-0.430984795	0.974904835	2.47716808
11	15	5	0	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00374476612	0.999364078	2.3007524	0	0	0	0	0	0	60.8152466	60.8152466	-200	Invalid Start	1312478218	0.0906139016	1.00071681	2.47078991	0.101054899	1.00798202	2.47373796	-1	0	0	0	0	0	0
12	14	4	2	0	1	2.50000024	0.25	1	2.50000024	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000264391303	0.995869875	2.29779458	-0.00467631221	1.00558233	2.33752418	-0.00366300344	0.996451616	2.51667261	63.6064186	63.8627815	-200	Missed	1312478219	0.000797483954	0.999569297	2.50529051	-0.00411007088	0.993100405	2.49425149	1312478209	0.0715057254	1.09586382	2.49422431	0.106153429	1.26114202	2.49512219
13	23	7	2	0	1.10000002	2.47320533	0.25	1.10000002	2.47320533	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00211770833	1.0040673	2.29457164	-0.00548502803	1.02742898	2.31506014	-0.000344067812	1.10468876	2.46954536	66.6900406	66.9683228	100	Hit Target	1312478220	0.00424439693	1.09634674	2.47372007	0.00209165504	1.10040414	2.47652864	1312478209	0.0715057254	1.19586384	2.4674294	0.106153429	1.36114204	2.46832728
14	9	3	0	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000548288226	0.99882561	2.30188322	-0.0245185494	1.00261712	2.31847334	-0.105912805	0.99516803	2.48356295	70.1053696	70.4046631	100	Missed	1312478221	-0.0986277759	1.00310993	2.46951866	-0.102727719	1.0055387	2.47288823	-1	0	0	0	0	0	0
