Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,StartCircleX,StartCircleY,StartCircleZ,StartCircleScaleX,StartCircleScaleY,StartCircleScaleZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget, UsedSeedPenalty
1,0.2,0.8,2.5,0.2,0.3,2.5,0,1,2.3,0.05,0.05,0.05,0.002539396,1.001729,2.298687,0.001184136,0.9998975,2.298332,0.0007463992,0.9995571,2.297928,36.67135,36.69314,0,Neutral,-1321548903,1008879072
2,-0.2,1.2,2.5,-0.2,1.7,2.5,0,1,2.3,0.05,0.05,0.05,-0.0001842976,0.9993612,2.297563,0.001550958,1.000449,2.294969,0.001018539,1.000649,2.294758,39.15656,39.17837,0,Neutral,-1263855133,1922553066
3,0.2,0.8,2.5,0.2,0.3,2.5,0,1,2.3,0.05,0.05,0.05,-0.0008948892,0.9992732,2.296576,0.002414182,0.9982769,2.297054,0.2026115,0.8268121,2.488372,73.92983,75.71106,300,Hit,-1255562961,1540893579
4,0,1.2,2.5,0.5,1.2,2.5,0,1,2.3,0.05,0.05,0.05,-0.0001042634,0.9980231,2.297688,-0.001091838,0.9989674,2.298584,-0.01070559,1.188246,2.481607,81.28728,82.27718,600,Hit,-591858169,1311445675
5,-0.2,0.8,2.5,-0.2,0.3,2.5,0,1,2.3,0.05,0.05,0.05,0.001277968,0.9990678,2.297667,9.018183E-05,0.9966579,2.298306,-0.0004185289,0.9962522,2.298095,85.80392,85.82169,600,Neutral,-545488975,588619806
6,0,1.2,2.5,0,0.7,2.5,0,1,2.3,0.05,0.05,0.05,0.0004667193,0.9954179,2.298354,0.001409322,0.9986943,2.29856,0.01845354,1.209721,2.505934,90.87994,91.29036,900,Hit,-756896586,1062341011
7,0.2,1.2,2.5,0.2,1.7,2.5,0,1,2.3,0.05,0.05,0.05,-0.0004565269,0.9979206,2.297115,0.002573192,0.9984504,2.297337,0.1821666,1.162978,2.505667,94.84483,95.45261,1200,Hit,-707162240,1894429964
8,-0.2,0.8,2.5,0.3,0.8,2.5,0,1,2.3,0.05,0.05,0.05,0.001104906,1.000996,2.297096,-0.001093,0.9975708,2.297775,-0.2242067,0.8171799,2.457227,98.84296,99.45483,1200,Neutral,-677375130,54735002
9,0,1.2,2.5,0,1.2,2.45,0,1,2.3,0.05,0.05,0.05,-0.00101459,0.9998187,2.29419,-0.0006805807,1.001152,2.293001,-0.02247229,1.199161,2.45998,103.2008,103.8619,1000,Hit Both,-353328874,61286232
10,-0.2,1,2.5,-0.2,1,2.55,0,1,2.3,0.05,0.05,0.05,0.0008029044,0.9960635,2.303933,-0.002435565,0.9949003,2.304142,-0.195333,0.9761897,2.510595,108.8198,109.4837,800,Hit Both,-302594928,1525289405
