Trial,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
1,11.31643,0.001263574,0.999919,2.296978,0,0,0,0
1,11.34378,0.0006915778,0.9998457,2.297184,-0.02091699,-0.002680967,0.007524144,0.02239019
1,11.36578,0.0003141314,0.9995242,2.297377,-0.01715369,-0.01460874,0.008787458,0.02418437
1,11.38699,0.0003673881,0.9992798,2.297672,0.002511483,-0.01152724,0.01389678,0.01822924
1,11.40814,0.001006693,0.9992326,2.297734,0.03022116,-0.002228743,0.002964143,0.03044786
1,11.4302,0.001037642,0.9990129,2.297971,0.00140296,-0.009961892,0.01073193,0.01470993
1,11.4514,0.001299441,0.9988133,2.298225,0.01234823,-0.009412458,0.01199892,0.01962262
1,11.47298,0.001677021,0.9988115,2.298319,0.0174967,-8.286057E-05,0.004330846,0.01802492
1,11.49083,0.001879394,0.9988097,2.298443,0.01133918,-0.0001035313,0.006973334,0.01331222
1,11.50879,0.001935795,0.9988573,2.297828,0.003140274,0.002648284,-0.03424849,0.03449396
1,11.52995,0.001812577,0.9987265,2.297689,-0.005822235,-0.006179215,-0.006567881,0.01073397
1,11.55142,0.001571402,0.9983991,2.297652,-0.01123548,-0.01525277,-0.001754915,0.01902532
1,11.57237,0.001732558,0.997506,2.29786,0.007692303,-0.04262738,0.009969054,0.04444825
1,11.59332,0.003210098,0.9940974,2.300353,0.07054041,-0.1627361,0.1190158,0.2135972
1,11.61435,0.004983529,0.9864988,2.308936,0.08430101,-0.3612024,0.4079893,0.5513883
1,11.6362,0.005827546,0.9736891,2.322937,0.0386359,-0.5863767,0.6409081,0.8695364
1,11.65665,0.004765958,0.9563539,2.341575,-0.05189645,-0.8474443,0.911114,1.245385
1,11.67772,0.003492981,0.9366225,2.36184,-0.06043518,-0.936758,0.9621071,1.344179
1,11.69878,-0.0001381338,0.9073284,2.388709,-0.1723587,-1.390509,1.275398,1.894693
1,11.71954,-0.006575704,0.8785226,2.412195,-0.3102055,-1.388054,1.131697,1.817598
1,11.73787,-0.01034868,0.8594809,2.427628,-0.2057653,-1.038474,0.8416678,1.352469
1,11.75616,-0.01156896,0.845624,2.440896,-0.06672823,-0.7577287,0.7255396,1.051196
1,11.77682,-0.01180494,0.8325534,2.455248,-0.01142033,-0.6325661,0.6946005,0.9395425
1,11.79712,-0.009622395,0.823478,2.46704,0.1075441,-0.4471876,0.5810208,0.7410315
1,11.81824,-0.00917995,0.8163173,2.474942,0.02094862,-0.3390442,0.374157,0.5053546
1,11.83894,-0.01028818,0.8152602,2.479913,-0.05353557,-0.0510651,0.2401139,0.2512537
1,11.86008,-0.01028574,0.8173292,2.484285,0.0001155888,0.09786144,0.2068194,0.2288037
1,11.8805,-0.009747863,0.8212753,2.49011,0.02633918,0.1932386,0.2852243,0.3455254
1,11.90165,-0.008541673,0.8221374,2.495741,0.05705127,0.04077447,0.2663379,0.2754148
1,11.92213,-0.007074207,0.8191299,2.501619,0.07162251,-0.1467854,0.286909,0.3301401
1,11.94248,-0.006459117,0.8131475,2.507271,0.03023893,-0.2941025,0.2778483,0.405722
1,11.96303,-0.005197018,0.8049216,2.510614,0.06139149,-0.4001312,0.162605,0.4362503
1,11.98105,-0.005261868,0.7981535,2.512978,-0.00359943,-0.3756574,0.1311939,0.3979238
1,11.99913,-0.005343944,0.7902956,2.514899,-0.004539504,-0.4346089,0.106258,0.447433
