Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result.UsedSeedTarget
1,0,1.2,2.5,0,1.2,2.55,-0.0004134327,0.9985019,2.299417,0.001041159,0.9989096,2.299561,0.001157701,0.9993297,2.299371,7.526224,7.548895,0,Neutral,521320450
2,-0.2,1,2.5,-0.2,0.5,2.5,-0.0002331287,0.9995836,2.299641,-0.0047189,0.9992256,2.300207,-0.005522147,0.9991951,2.300105,11.13066,11.1515,0,Neutral,317869872
3,0,1.2,2.5,0,1.2,2.55,-0.001467183,0.9984514,2.29964,-0.000422895,0.9990966,2.300541,0.009707958,1.206638,2.528261,14.46052,14.95023,-200,Hit Both,348265263
4,0.2,0.8,2.5,0.2,1.3,2.5,-0.0003844053,0.996592,2.299037,0.0007371008,0.9943151,2.300674,0.2044282,0.8275399,2.490513,18.38337,19.10499,-400,Hit Both,381065547
5,-0.2,1,2.5,-0.7,1,2.5,0.002172068,0.9986707,2.299536,0.0006594807,0.9979936,2.301506,-0.1925922,1.011524,2.497987,22.18544,22.82948,-100,Hit,701739826
6,0,1.2,2.5,-0.5,1.2,2.5,0.0002729148,0.9983039,2.29936,-0.001490712,1.000528,2.299299,0.04101649,1.195075,2.520229,26.0033,26.72999,200,Hit,734058035
7,-0.2,1.2,2.5,-0.2,1.2,2.55,0.0005539507,0.9986055,2.296448,-0.004136637,1.002216,2.296579,-0.1928951,1.198659,2.501362,29.8686,30.55264,0,Hit Both,766608472
8,-0.2,1.2,2.5,0.3,1.2,2.5,0.0003311038,0.998641,2.299284,-0.001570597,1.000281,2.299711,-0.2131901,1.197919,2.48284,33.83175,34.55605,300,Hit,795757331
9,0,0.8,2.5,-0.5,0.8,2.5,0.002214774,0.9983172,2.298555,0.001591101,0.9964306,2.300679,0.01945326,0.810034,2.49285,38.08271,38.73086,600,Hit,585172865
10,0.2,1,2.5,-0.3,1,2.5,0.00133568,0.9995393,2.299049,0.005135417,1.000406,2.3023,0.2247172,1.009169,2.504333,41.63194,42.35451,900,Hit,609194268
