Trial 	Time    	PosX    	PosY    	PosZ    	VelX    	VelY    	VelZ    	Speed   
1     	11.026  	0.001   	0.999   	2.297   	0.000   	0.000   	0.000   	0.000   
1     	11.048  	0.001   	1.000   	2.297   	0.000   	0.012   	-0.007  	0.014   
1     	11.067  	0.002   	1.000   	2.297   	0.031   	0.009   	-0.002  	0.032   
1     	11.086  	0.002   	1.000   	2.297   	0.008   	-0.001  	0.004   	0.009   
1     	11.106  	0.002   	0.999   	2.297   	-0.001  	-0.020  	0.013   	0.024   
1     	11.125  	0.001   	0.999   	2.298   	-0.025  	-0.020  	0.020   	0.038   
1     	11.145  	0.001   	0.999   	2.298   	-0.018  	-0.016  	-0.002  	0.025   
1     	11.165  	0.001   	0.998   	2.298   	-0.016  	-0.023  	0.009   	0.029   
1     	11.184  	0.001   	0.998   	2.298   	0.008   	-0.013  	0.008   	0.018   
1     	11.204  	0.001   	0.998   	2.298   	0.009   	-0.004  	0.006   	0.012   
1     	11.221  	0.001   	0.998   	2.298   	0.017   	0.002   	-0.003  	0.018   
1     	11.239  	0.001   	0.998   	2.298   	0.001   	0.007   	-0.008  	0.010   
1     	11.259  	0.001   	0.998   	2.298   	0.013   	0.006   	-0.018  	0.023   
1     	11.279  	0.001   	0.998   	2.297   	-0.013  	-0.009  	-0.022  	0.027   
1     	11.298  	-0.001  	0.996   	2.297   	-0.091  	-0.087  	-0.007  	0.126   
1     	11.318  	-0.005  	0.993   	2.299   	-0.220  	-0.151  	0.077   	0.278   
1     	11.337  	-0.011  	0.989   	2.301   	-0.339  	-0.214  	0.114   	0.417   
1     	11.357  	-0.023  	0.982   	2.305   	-0.555  	-0.344  	0.219   	0.688   
1     	11.377  	-0.036  	0.974   	2.310   	-0.640  	-0.419  	0.257   	0.807   
1     	11.398  	-0.057  	0.960   	2.320   	-1.022  	-0.689  	0.469   	1.319   
1     	11.417  	-0.076  	0.945   	2.330   	-0.978  	-0.770  	0.529   	1.353   
1     	11.437  	-0.095  	0.927   	2.341   	-0.970  	-0.903  	0.542   	1.431   
1     	11.455  	-0.109  	0.912   	2.349   	-0.824  	-0.824  	0.472   	1.257   
1     	11.472  	-0.122  	0.899   	2.357   	-0.728  	-0.808  	0.443   	1.174   
1     	11.491  	-0.135  	0.884   	2.366   	-0.691  	-0.762  	0.450   	1.123   
1     	11.510  	-0.144  	0.871   	2.376   	-0.473  	-0.668  	0.558   	0.990   
1     	11.529  	-0.151  	0.858   	2.388   	-0.361  	-0.658  	0.597   	0.959   
1     	11.549  	-0.157  	0.847   	2.399   	-0.306  	-0.559  	0.572   	0.856   
1     	11.569  	-0.164  	0.836   	2.409   	-0.366  	-0.576  	0.506   	0.850   
1     	11.589  	-0.171  	0.827   	2.418   	-0.355  	-0.460  	0.434   	0.726   
1     	11.609  	-0.178  	0.820   	2.426   	-0.319  	-0.342  	0.392   	0.610   
1     	11.628  	-0.183  	0.817   	2.433   	-0.269  	-0.163  	0.383   	0.496   
1     	11.649  	-0.186  	0.818   	2.441   	-0.127  	0.053   	0.398   	0.421   
1     	11.666  	-0.187  	0.819   	2.449   	-0.074  	0.034   	0.447   	0.454   
1     	11.683  	-0.188  	0.819   	2.456   	-0.098  	0.010   	0.455   	0.466   
1     	11.702  	-0.189  	0.819   	2.464   	-0.040  	0.024   	0.389   	0.392   
1     	11.722  	-0.191  	0.820   	2.471   	-0.075  	0.025   	0.359   	0.368   
1     	11.741  	-0.192  	0.822   	2.477   	-0.051  	0.105   	0.304   	0.325   
1     	11.761  	-0.193  	0.825   	2.482   	-0.072  	0.164   	0.271   	0.325   
1     	11.781  	-0.194  	0.828   	2.485   	-0.035  	0.162   	0.146   	0.221   
1     	11.801  	-0.195  	0.828   	2.489   	-0.072  	0.011   	0.200   	0.213   
1     	11.822  	-0.197  	0.827   	2.493   	-0.066  	-0.074  	0.160   	0.188   
1     	11.842  	-0.199  	0.824   	2.495   	-0.108  	-0.139  	0.135   	0.222   
1     	11.861  	-0.200  	0.820   	2.497   	-0.066  	-0.221  	0.070   	0.241   
1     	11.879  	-0.202  	0.818   	2.497   	-0.081  	-0.117  	0.030   	0.146   
1     	11.897  	-0.202  	0.817   	2.497   	-0.015  	-0.066  	-0.003  	0.068   
1     	11.916  	-0.203  	0.817   	2.496   	-0.042  	0.016   	-0.040  	0.060   
1     	11.936  	-0.204  	0.818   	2.496   	-0.047  	0.041   	-0.034  	0.071   
1     	11.956  	-0.205  	0.818   	2.494   	-0.085  	0.013   	-0.084  	0.120   
1     	11.976  	-0.207  	0.817   	2.493   	-0.085  	-0.036  	-0.058  	0.109   
1     	11.996  	-0.210  	0.816   	2.491   	-0.132  	-0.075  	-0.090  	0.176   
1     	12.016  	-0.211  	0.814   	2.490   	-0.091  	-0.081  	-0.077  	0.144   
1     	12.036  	-0.213  	0.813   	2.489   	-0.076  	-0.048  	-0.040  	0.099   
1     	12.055  	-0.213  	0.814   	2.489   	-0.016  	0.035   	0.013   	0.041   
2     	15.390  	0.000   	1.000   	2.302   	0.000   	0.000   	0.000   	0.000   
2     	15.415  	-0.002  	1.000   	2.302   	-0.052  	-0.008  	-0.008  	0.053   
2     	15.437  	-0.002  	1.000   	2.302   	-0.014  	-0.007  	0.007   	0.017   
3     	18.159  	0.001   	1.001   	2.302   	0.000   	0.000   	0.000   	0.000   
3     	18.184  	0.001   	1.000   	2.302   	-0.007  	-0.019  	0.020   	0.029   
3     	18.206  	0.001   	1.000   	2.302   	0.015   	-0.013  	-0.003  	0.020   
3     	18.226  	0.002   	1.000   	2.303   	0.032   	-0.005  	0.015   	0.035   
3     	18.246  	0.002   	0.999   	2.303   	0.006   	-0.014  	0.021   	0.026   
3     	18.268  	0.001   	0.999   	2.303   	-0.018  	-0.018  	0.008   	0.027   
3     	18.290  	0.000   	0.999   	2.302   	-0.046  	-0.002  	-0.029  	0.054   
3     	18.312  	0.000   	0.999   	2.302   	-0.034  	-0.011  	-0.009  	0.037   
4     	20.869  	0.000   	0.997   	2.300   	0.000   	0.000   	0.000   	0.000   
4     	20.892  	0.000   	0.998   	2.300   	0.003   	0.023   	-0.018  	0.029   
4     	20.911  	0.000   	0.998   	2.300   	0.007   	0.005   	0.000   	0.008   
4     	20.932  	0.000   	0.998   	2.300   	0.004   	0.001   	-0.004  	0.006   
4     	20.952  	0.000   	0.998   	2.300   	0.005   	0.008   	0.008   	0.012   
4     	20.972  	0.000   	0.998   	2.300   	0.006   	0.003   	0.003   	0.007   
4     	20.992  	0.001   	0.998   	2.300   	0.021   	-0.001  	0.005   	0.021   
4     	21.012  	0.001   	0.998   	2.300   	0.007   	0.004   	-0.002  	0.008   
4     	21.031  	0.001   	0.998   	2.300   	0.021   	0.005   	0.002   	0.022   
4     	21.048  	0.001   	0.999   	2.300   	0.015   	0.006   	-0.014  	0.021   
4     	21.068  	0.002   	0.998   	2.300   	0.004   	-0.003  	0.000   	0.005   
4     	21.088  	0.002   	0.998   	2.300   	0.001   	-0.012  	-0.005  	0.013   
4     	21.108  	0.002   	0.998   	2.300   	0.009   	-0.013  	0.013   	0.021   
4     	21.127  	0.002   	0.998   	2.300   	-0.004  	-0.013  	0.011   	0.018   
4     	21.148  	0.001   	0.997   	2.301   	-0.020  	-0.019  	0.039   	0.048   
4     	21.168  	0.000   	0.996   	2.303   	-0.078  	-0.051  	0.102   	0.138   
4     	21.188  	-0.003  	0.995   	2.306   	-0.138  	-0.056  	0.165   	0.222   
4     	21.209  	-0.012  	0.994   	2.313   	-0.433  	-0.067  	0.321   	0.543   
4     	21.229  	-0.023  	0.993   	2.320   	-0.561  	-0.056  	0.333   	0.655   
4     	21.247  	-0.037  	0.992   	2.327   	-0.735  	-0.060  	0.418   	0.848   
4     	21.264  	-0.054  	0.990   	2.340   	-1.002  	-0.092  	0.738   	1.248   
4     	21.285  	-0.071  	0.988   	2.356   	-0.834  	-0.117  	0.772   	1.143   
4     	21.304  	-0.091  	0.984   	2.375   	-1.015  	-0.202  	0.999   	1.438   
4     	21.325  	-0.110  	0.981   	2.392   	-0.914  	-0.140  	0.812   	1.230   
4     	21.345  	-0.126  	0.980   	2.408   	-0.812  	-0.020  	0.822   	1.156   
4     	21.365  	-0.139  	0.983   	2.425   	-0.623  	0.114   	0.801   	1.021   
4     	21.385  	-0.149  	0.986   	2.440   	-0.523  	0.160   	0.770   	0.944   
4     	21.405  	-0.160  	0.988   	2.453   	-0.543  	0.087   	0.658   	0.858   
4     	21.425  	-0.172  	0.990   	2.465   	-0.618  	0.137   	0.602   	0.873   
4     	21.445  	-0.181  	0.996   	2.474   	-0.411  	0.269   	0.436   	0.657   
4     	21.463  	-0.185  	0.999   	2.482   	-0.247  	0.183   	0.441   	0.537   
4     	21.481  	-0.188  	1.001   	2.486   	-0.199  	0.132   	0.220   	0.325   
4     	21.501  	-0.195  	1.006   	2.491   	-0.334  	0.205   	0.266   	0.474   
4     	21.521  	-0.200  	1.012   	2.495   	-0.234  	0.338   	0.202   	0.458   
4     	21.541  	-0.201  	1.017   	2.499   	-0.046  	0.262   	0.199   	0.332   
4     	21.561  	-0.199  	1.021   	2.502   	0.101   	0.179   	0.155   	0.257   
4     	21.580  	-0.195  	1.023   	2.506   	0.166   	0.119   	0.175   	0.269   
4     	21.600  	-0.194  	1.025   	2.509   	0.064   	0.072   	0.156   	0.183   
4     	21.620  	-0.194  	1.023   	2.510   	-0.015  	-0.070  	0.054   	0.090   
4     	21.640  	-0.195  	1.022   	2.511   	-0.037  	-0.053  	0.034   	0.073   
4     	21.660  	-0.195  	1.021   	2.509   	0.025   	-0.049  	-0.065  	0.085   
4     	21.678  	-0.194  	1.021   	2.509   	0.046   	-0.010  	-0.044  	0.064   
4     	21.695  	-0.193  	1.021   	2.507   	0.028   	-0.030  	-0.084  	0.093   
4     	21.716  	-0.193  	1.020   	2.506   	0.006   	-0.038  	-0.078  	0.087   
4     	21.735  	-0.193  	1.019   	2.504   	0.026   	-0.023  	-0.060  	0.070   
4     	21.756  	-0.191  	1.020   	2.504   	0.091   	0.018   	-0.039  	0.101   
4     	21.775  	-0.190  	1.020   	2.503   	0.042   	0.026   	-0.005  	0.050   
5     	24.785  	0.000   	0.999   	2.299   	0.000   	0.000   	0.000   	0.000   
5     	24.805  	0.000   	1.000   	2.298   	0.032   	0.024   	-0.027  	0.048   
5     	24.821  	0.001   	1.000   	2.298   	0.043   	0.023   	-0.020  	0.053   
5     	24.841  	0.001   	1.000   	2.297   	0.022   	0.020   	-0.028  	0.041   
6     	27.771  	-0.001  	0.999   	2.300   	0.000   	0.000   	0.000   	0.000   
6     	27.795  	-0.001  	0.999   	2.300   	-0.012  	-0.003  	0.017   	0.021   
6     	27.816  	-0.001  	0.999   	2.300   	-0.002  	0.000   	0.005   	0.005   
6     	27.835  	-0.001  	0.999   	2.300   	0.018   	0.001   	0.009   	0.020   
6     	27.854  	-0.001  	0.999   	2.300   	0.004   	-0.003  	0.002   	0.005   
6     	27.876  	-0.001  	0.998   	2.300   	-0.001  	-0.011  	0.007   	0.013   
6     	27.899  	-0.001  	0.998   	2.300   	-0.003  	-0.015  	0.000   	0.015   
6     	27.920  	0.000   	0.998   	2.300   	0.009   	-0.014  	0.001   	0.017   
6     	27.942  	-0.001  	0.997   	2.301   	-0.013  	-0.015  	0.007   	0.021   
6     	27.964  	-0.001  	0.997   	2.301   	0.011   	-0.014  	0.009   	0.020   
6     	27.986  	0.000   	0.997   	2.301   	0.002   	-0.019  	0.006   	0.020   
6     	28.008  	0.000   	0.996   	2.301   	0.016   	-0.019  	0.004   	0.025   
6     	28.029  	0.003   	0.996   	2.303   	0.129   	-0.014  	0.080   	0.152   
6     	28.051  	0.007   	0.996   	2.308   	0.192   	-0.009  	0.228   	0.298   
6     	28.069  	0.013   	0.995   	2.316   	0.344   	-0.036  	0.424   	0.547   
6     	28.088  	0.023   	0.995   	2.327   	0.509   	-0.015  	0.615   	0.799   
6     	28.110  	0.039   	0.995   	2.345   	0.742   	0.025   	0.813   	1.101   
6     	28.132  	0.058   	0.996   	2.365   	0.868   	0.007   	0.948   	1.285   
6     	28.154  	0.081   	0.996   	2.387   	1.039   	0.015   	0.969   	1.420   
6     	28.176  	0.102   	0.997   	2.406   	0.955   	0.032   	0.838   	1.271   
6     	28.197  	0.123   	0.997   	2.423   	0.969   	0.038   	0.821   	1.271   
6     	28.219  	0.139   	0.998   	2.439   	0.721   	0.042   	0.725   	1.023   
6     	28.241  	0.153   	1.001   	2.451   	0.696   	0.098   	0.552   	0.894   
6     	28.263  	0.162   	1.002   	2.462   	0.397   	0.083   	0.521   	0.660   
6     	28.282  	0.168   	1.003   	2.473   	0.290   	0.025   	0.537   	0.610   
6     	28.301  	0.170   	1.001   	2.483   	0.113   	-0.076  	0.558   	0.574   
6     	28.323  	0.173   	0.998   	2.493   	0.137   	-0.146  	0.425   	0.469   
6     	28.344  	0.175   	0.996   	2.498   	0.097   	-0.092  	0.260   	0.292   
6     	28.366  	0.177   	0.994   	2.503   	0.073   	-0.081  	0.223   	0.249   
6     	28.388  	0.174   	0.991   	2.504   	-0.097  	-0.159  	0.021   	0.188   
6     	28.409  	0.174   	0.988   	2.504   	-0.021  	-0.144  	0.013   	0.146   
6     	28.431  	0.173   	0.986   	2.502   	-0.037  	-0.077  	-0.069  	0.110   
6     	28.454  	0.171   	0.987   	2.500   	-0.088  	0.022   	-0.080  	0.121   
6     	28.476  	0.168   	0.987   	2.499   	-0.143  	0.036   	-0.080  	0.168   
6     	28.498  	0.165   	0.987   	2.498   	-0.130  	-0.005  	-0.054  	0.141   
6     	28.517  	0.164   	0.987   	2.497   	-0.039  	-0.010  	-0.009  	0.041   
7     	31.015  	-0.002  	0.999   	2.300   	0.000   	0.000   	0.000   	0.000   
7     	31.040  	-0.002  	0.998   	2.300   	-0.010  	-0.008  	0.008   	0.015   
7     	31.060  	-0.002  	0.998   	2.300   	-0.008  	-0.004  	0.009   	0.013   
7     	31.082  	-0.002  	0.999   	2.300   	0.006   	0.016   	-0.002  	0.017   
7     	31.104  	-0.002  	0.999   	2.300   	0.021   	0.029   	-0.021  	0.041   
7     	31.127  	-0.001  	1.000   	2.300   	0.017   	0.015   	-0.005  	0.023   
7     	31.149  	-0.002  	0.999   	2.300   	-0.013  	-0.005  	0.005   	0.015   
7     	31.172  	-0.002  	0.999   	2.300   	-0.015  	-0.006  	0.010   	0.019   
7     	31.196  	-0.002  	0.999   	2.300   	0.004   	-0.010  	0.008   	0.013   
7     	31.219  	-0.002  	0.999   	2.300   	0.014   	0.008   	-0.002  	0.017   
7     	31.242  	-0.002  	0.999   	2.300   	-0.005  	-0.003  	0.011   	0.013   
