Trial 	TargetX 	TargetY 	TargetZ 	PenaltyX	PenaltyY	PenaltyZ	StartX  	StartY  	StartZ  	ScaleX  	ScaleY  	ScaleZ  	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX    	EndY    	EndZ    	StartTime 	EndTime   	Score     	Result         	TargetSeed     
1     	-0.200  	0.800   	2.500   	-0.200  	0.300   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.001   	0.999   	2.297   	-0.001  	0.996   	2.297   	-0.213  	0.814   	2.489   	11.298    	12.055    	300       	Hit            	705465167      
2     	0.000   	0.800   	2.500   	0.000   	0.800   	2.550   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000   	1.000   	2.302   	-0.002  	1.000   	2.302   	-0.002  	1.000   	2.302   	15.415    	15.437    	300       	Neutral        	705465168      
3     	-0.200  	0.800   	2.500   	0.300   	0.800   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.001   	1.001   	2.302   	0.000   	0.999   	2.302   	0.000   	0.999   	2.302   	18.290    	18.312    	300       	Neutral        	705465169      
4     	-0.200  	1.000   	2.500   	-0.200  	0.500   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000   	0.997   	2.300   	0.000   	0.996   	2.303   	-0.190  	1.020   	2.503   	21.168    	21.775    	600       	Hit            	705465170      
5     	0.000   	1.200   	2.500   	0.000   	1.700   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000   	0.999   	2.299   	0.001   	1.000   	2.298   	0.001   	1.000   	2.297   	24.821    	24.841    	600       	Neutral        	705465171      
6     	0.200   	1.000   	2.500   	0.700   	1.000   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.001  	0.999   	2.300   	0.003   	0.996   	2.303   	0.164   	0.987   	2.497   	28.029    	28.517    	900       	Hit            	705465172      
7     	0.200   	1.000   	2.500   	0.200   	1.000   	2.450   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.002  	0.999   	2.300   	0.000   	0.998   	2.301   	0.209   	0.998   	2.512   	31.487    	32.218    	1200      	Hit            	705465173      
8     	0.200   	1.200   	2.500   	0.200   	1.200   	2.550   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	-0.001  	0.999   	2.299   	0.002   	1.001   	2.299   	0.193   	1.200   	2.479   	35.426    	36.128    	1500      	Hit            	705465174      
9     	0.200   	1.200   	2.500   	0.700   	1.200   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000   	1.000   	2.299   	0.002   	0.999   	2.300   	0.179   	1.201   	2.499   	39.394    	39.995    	1800      	Hit            	705465175      
10    	0.000   	1.200   	2.500   	0.000   	0.700   	2.500   	0.000   	1.000   	2.300   	0.050   	0.050   	0.050   	0.000   	1.001   	2.299   	-0.001  	1.002   	2.300   	0.005   	1.211   	2.510   	43.245    	43.897    	2100      	Hit            	705465176      
