Trial       	TargetX     	TargetY     	TargetZ     	PenaltyX    	PenaltyY    	PenaltyZ    	StartX      	StartY      	StartZ      	ScaleX      	ScaleY      	ScaleZ      	CtrlStartX  	CtrlStartY  	CtrlStartZ  	MoveStartX  	MoveStartY  	MoveStartZ  	EndX        	EndY        	EndZ        	StartTime   	EndTime     	Score       	Result      	TargetSeed  	PenaltySeed
1           	0.200       	0.800       	2.500       	-0.300      	0.800       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.302       	-0.001      	0.999       	2.302       	0.000       	0.999       	2.302       	13.831      	13.853      	0           	Neutral     	-902757574  	-902744015
2           	0.000       	0.800       	2.500       	0.000       	0.300       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.999       	2.301       	0.001       	0.998       	2.302       	0.009       	0.821       	2.492       	17.445      	18.125      	300         	Hit         	-902757573  	-902744014
3           	0.200       	1.000       	2.500       	0.700       	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.002       	0.998       	2.301       	0.002       	0.999       	2.300       	0.185       	1.021       	2.486       	21.327      	21.844      	600         	Hit         	-902757572  	-902744013
4           	0.000       	1.200       	2.500       	0.000       	1.200       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	1.001       	2.301       	0.002       	1.001       	2.302       	0.008       	1.191       	2.510       	24.689      	25.199      	400         	Hit Both    	-902757571  	-902744012
5           	0.000       	1.000       	2.500       	0.000       	0.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.999       	2.300       	-0.002      	0.998       	2.302       	0.002       	1.020       	2.487       	28.206      	28.834      	700         	Hit         	-902757570  	-902744011
6           	-0.200      	1.200       	2.500       	0.300       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	0.999       	2.300       	-0.004      	0.999       	2.301       	-0.201      	1.191       	2.503       	31.963      	32.594      	1000        	Hit         	-902757569  	-902744010
7           	0.200       	1.200       	2.500       	0.200       	1.200       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.997       	2.300       	0.004       	1.000       	2.302       	0.182       	1.196       	2.477       	35.702      	36.207      	1300        	Hit         	-902757568  	-902744009
8           	0.200       	0.800       	2.500       	0.700       	0.800       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.302       	0.002       	0.998       	2.302       	0.173       	0.816       	2.498       	38.959      	39.630      	1600        	Hit         	-902757567  	-902744008
9           	-0.200      	1.000       	2.500       	-0.200      	0.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.999       	2.303       	0.000       	0.998       	2.307       	-0.200      	1.021       	2.496       	42.758      	43.303      	1900        	Hit         	-902757566  	-902744007
10          	0.000       	1.000       	2.500       	-0.500      	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.995       	2.305       	-0.002      	0.997       	2.305       	0.016       	1.010       	2.491       	46.806      	47.310      	2200        	Hit         	-902757565  	-902744006
