Trial       	Time        	PosX        	PosY        	PosZ        	VelX        	VelY        	VelZ        	Speed
1           	5.099       	0.002       	0.998       	2.302       	0.000       	0.000       	0.000       	0.000
1           	5.127       	0.001       	0.998       	2.302       	-0.019      	0.000       	-0.011      	0.022
1           	5.149       	0.001       	0.997       	2.302       	-0.001      	-0.013      	-0.001      	0.013
1           	5.171       	0.001       	0.997       	2.302       	0.003       	-0.010      	-0.008      	0.013
1           	5.194       	0.002       	0.997       	2.302       	0.007       	-0.006      	0.002       	0.010
1           	5.216       	0.001       	0.997       	2.302       	-0.007      	-0.012      	-0.001      	0.014
1           	5.238       	0.002       	0.997       	2.302       	0.018       	-0.007      	0.002       	0.020
1           	5.259       	0.002       	0.996       	2.302       	-0.001      	-0.014      	0.002       	0.014
1           	5.278       	0.002       	0.996       	2.302       	-0.011      	-0.039      	0.005       	0.041
1           	5.300       	0.001       	0.995       	2.302       	-0.027      	-0.025      	-0.003      	0.037
1           	5.323       	0.001       	0.995       	2.302       	0.009       	-0.001      	-0.008      	0.012
1           	5.346       	0.002       	0.995       	2.301       	0.017       	0.009       	-0.011      	0.022
1           	5.368       	0.001       	0.995       	2.302       	-0.008      	-0.003      	0.008       	0.012
1           	5.390       	0.002       	0.994       	2.302       	0.025       	-0.028      	0.042       	0.057
1           	5.413       	0.002       	0.993       	2.304       	0.004       	-0.049      	0.066       	0.082
1           	5.435       	0.003       	0.990       	2.308       	0.065       	-0.157      	0.204       	0.265
1           	5.458       	0.004       	0.984       	2.314       	0.038       	-0.246      	0.233       	0.342
1           	5.479       	0.004       	0.975       	2.323       	-0.012      	-0.435      	0.409       	0.597
1           	5.499       	0.003       	0.963       	2.333       	-0.046      	-0.582      	0.545       	0.799
1           	5.518       	0.002       	0.952       	2.344       	-0.032      	-0.573      	0.544       	0.791
1           	5.540       	0.003       	0.933       	2.362       	0.018       	-0.877      	0.807       	1.192
1           	5.562       	0.005       	0.913       	2.378       	0.108       	-0.915      	0.764       	1.197
1           	5.584       	0.008       	0.892       	2.394       	0.128       	-0.949      	0.720       	1.198
1           	5.607       	0.010       	0.870       	2.408       	0.074       	-0.966      	0.615       	1.148
1           	5.629       	0.010       	0.854       	2.417       	-0.008      	-0.736      	0.406       	0.840
1           	5.651       	0.008       	0.840       	2.425       	-0.057      	-0.620      	0.352       	0.715
1           	5.674       	0.008       	0.833       	2.431       	0.005       	-0.336      	0.260       	0.425
1           	5.696       	0.007       	0.830       	2.435       	-0.079      	-0.106      	0.204       	0.243
1           	5.716       	0.003       	0.828       	2.440       	-0.158      	-0.105      	0.243       	0.309
1           	5.737       	-0.001      	0.829       	2.445       	-0.194      	0.042       	0.225       	0.301
1           	5.759       	-0.001      	0.826       	2.451       	0.002       	-0.124      	0.273       	0.300
1           	5.781       	0.003       	0.823       	2.456       	0.181       	-0.162      	0.254       	0.352
1           	5.804       	0.006       	0.822       	2.461       	0.101       	-0.011      	0.189       	0.215
1           	5.826       	0.008       	0.828       	2.463       	0.087       	0.259       	0.102       	0.292
1           	5.848       	0.007       	0.836       	2.462       	-0.015      	0.350       	-0.027      	0.351
1           	5.871       	0.005       	0.838       	2.463       	-0.088      	0.109       	0.026       	0.142
1           	5.893       	0.005       	0.837       	2.465       	-0.025      	-0.079      	0.104       	0.132
1           	5.915       	0.005       	0.834       	2.468       	0.013       	-0.113      	0.110       	0.158
1           	5.938       	0.007       	0.829       	2.471       	0.078       	-0.209      	0.137       	0.262
1           	5.958       	0.008       	0.827       	2.473       	0.049       	-0.129      	0.125       	0.186
1           	5.978       	0.008       	0.825       	2.475       	0.014       	-0.080      	0.085       	0.117
1           	5.999       	0.008       	0.826       	2.477       	-0.002      	0.016       	0.087       	0.088
1           	6.022       	0.009       	0.826       	2.478       	0.020       	0.024       	0.052       	0.061
1           	6.044       	0.009       	0.827       	2.478       	0.008       	0.022       	0.006       	0.024
2           	9.930       	0.002       	0.999       	2.299       	0.000       	0.000       	0.000       	0.000
2           	9.953       	0.002       	0.999       	2.299       	0.019       	0.007       	0.021       	0.029
2           	9.972       	0.002       	1.000       	2.299       	-0.023      	0.008       	0.000       	0.024
2           	9.989       	0.002       	0.999       	2.299       	-0.007      	-0.010      	0.006       	0.014
2           	10.006      	0.002       	0.999       	2.299       	-0.007      	-0.012      	-0.012      	0.018
2           	10.025      	0.001       	0.999       	2.299       	-0.004      	-0.013      	0.001       	0.013
2           	10.046      	0.001       	0.999       	2.299       	-0.013      	-0.012      	0.001       	0.017
2           	10.066      	0.001       	0.998       	2.299       	-0.012      	-0.016      	0.001       	0.019
2           	10.086      	0.001       	0.998       	2.299       	-0.010      	-0.017      	-0.005      	0.020
2           	10.106      	0.001       	0.998       	2.299       	0.018       	0.001       	0.006       	0.019
2           	10.126      	0.002       	0.998       	2.299       	0.028       	0.023       	0.011       	0.038
2           	10.145      	0.002       	0.999       	2.300       	0.037       	0.010       	0.028       	0.047
2           	10.165      	0.003       	0.999       	2.300       	0.010       	-0.001      	0.011       	0.016
2           	10.183      	0.002       	0.999       	2.301       	-0.010      	-0.004      	0.031       	0.033
2           	10.201      	0.002       	1.000       	2.301       	-0.037      	0.053       	0.028       	0.070
2           	10.220      	0.001       	1.003       	2.303       	-0.015      	0.162       	0.079       	0.181
2           	10.239      	0.002       	1.008       	2.305       	0.018       	0.286       	0.139       	0.319
2           	10.260      	0.003       	1.019       	2.311       	0.046       	0.536       	0.259       	0.597
2           	10.280      	0.005       	1.035       	2.318       	0.132       	0.761       	0.359       	0.851
2           	10.300      	0.008       	1.051       	2.326       	0.143       	0.826       	0.393       	0.925
2           	10.321      	0.010       	1.068       	2.334       	0.060       	0.825       	0.416       	0.926
2           	10.341      	0.010       	1.085       	2.344       	0.013       	0.855       	0.489       	0.985
2           	10.361      	0.009       	1.103       	2.355       	-0.043      	0.875       	0.538       	1.028
2           	10.379      	0.008       	1.118       	2.366       	-0.041      	0.820       	0.602       	1.018
2           	10.397      	0.008       	1.131       	2.377       	-0.035      	0.702       	0.582       	0.913
2           	10.418      	0.007       	1.143       	2.389       	-0.025      	0.600       	0.633       	0.872
2           	10.438      	0.007       	1.153       	2.401       	-0.003      	0.503       	0.560       	0.752
2           	10.459      	0.006       	1.160       	2.409       	-0.052      	0.346       	0.417       	0.545
2           	10.479      	0.005       	1.167       	2.416       	-0.060      	0.363       	0.324       	0.490
2           	10.499      	0.003       	1.172       	2.422       	-0.097      	0.205       	0.314       	0.387
2           	10.519      	0.000       	1.175       	2.429       	-0.124      	0.187       	0.309       	0.382
2           	10.539      	-0.003      	1.176       	2.434       	-0.174      	0.035       	0.288       	0.338
