Trial       	TargetX     	TargetY     	TargetZ     	PenaltyX    	PenaltyY    	PenaltyZ    	StartX      	StartY      	StartZ      	ScaleX      	ScaleY      	ScaleZ      	CtrlStartX  	CtrlStartY  	CtrlStartZ  	MoveStartX  	MoveStartY  	MoveStartZ  	EndX        	EndY        	EndZ        	StartTime   	EndTime     	Score       	Result      	TargetSeed  	TargetRandVals	PenaltySeed 	PenaltyRandVals
1           	0.000       	0.800       	2.500       	0.000       	0.800       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.002       	0.998       	2.302       	0.002       	0.994       	2.302       	0.009       	0.827       	2.478       	5.390       	6.044       	300         	Hit         	-1118035437 	None        	-1117791477 	None
2           	0.000       	1.200       	2.500       	0.500       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.002       	0.999       	2.299       	0.002       	1.000       	2.301       	-0.013      	1.201       	2.481       	10.201      	10.828      	600         	Hit         	-1118035436 	None        	-1117791476 	None
3           	0.200       	1.200       	2.500       	0.700       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.001       	0.997       	2.303       	0.002       	0.999       	2.302       	0.185       	1.195       	2.510       	16.021      	16.932      	900         	Hit         	-1118035435 	None        	-1117791475 	None
4           	0.200       	1.000       	2.500       	0.200       	1.500       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.002       	0.998       	2.300       	0.004       	0.998       	2.301       	0.183       	0.991       	2.508       	20.663      	21.249      	1200        	Hit         	-1118035434 	None        	-1117791474 	None
5           	0.000       	1.200       	2.500       	0.500       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	0.996       	2.299       	-0.001      	0.997       	2.299       	0.000       	0.998       	2.299       	24.046      	24.067      	1200        	Neutral     	-1118035433 	None        	-1117791473 	None
6           	0.200       	1.000       	2.500       	0.700       	1.000       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.001      	1.001       	2.298       	0.001       	0.997       	2.300       	0.163       	1.013       	2.491       	27.001      	27.782      	1500        	Hit         	-1118035432 	None        	-1117791472 	None
7           	0.000       	1.200       	2.500       	0.000       	1.700       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.002       	0.997       	2.301       	0.005       	1.001       	2.302       	0.011       	1.175       	2.491       	30.616      	31.207      	1800        	Hit         	-1118035431 	None        	-1117791471 	None
8           	0.000       	1.200       	2.500       	0.500       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.002      	0.997       	2.300       	-0.001      	0.997       	2.303       	-0.011      	1.194       	2.491       	34.954      	35.530      	2100        	Hit         	-1118035430 	None        	-1117791470 	None
9           	-0.200      	1.200       	2.500       	0.300       	1.200       	2.500       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	0.000       	0.998       	2.299       	0.000       	0.999       	2.299       	-0.192      	1.207       	2.486       	38.611      	39.458      	1900        	Hit Both    	-1118035429 	None        	-1117791469 	None
10          	0.000       	1.200       	2.500       	0.000       	1.200       	2.550       	0.000       	1.000       	2.300       	0.050       	0.050       	0.050       	-0.003      	0.998       	2.300       	-0.001      	0.998       	2.303       	-0.008      	1.198       	2.476       	42.718      	43.611      	2200        	Hit         	-1118035428 	None        	-1117791468 	None
