Trial	Time	PosX	PosY	PosZ	VelX	VelY	VelZ	Speed
1	8.998336	0.002919674	0.9987431	2.297876	0	0	0	0
1	9.030204	0.002744451	0.9990237	2.29777	-0.00549853	0.008804007	-0.003321844	0.01089858
1	9.052309	0.002126396	0.9988618	2.297766	-0.02795986	-0.007320782	-0.0001725709	0.0289029
1	9.074367	0.001609996	0.9986255	2.297697	-0.02341121	-0.01071694	-0.003156173	0.02594029
1	9.09739	0.001275688	0.9986881	2.297367	-0.01452009	0.002720858	-0.01433175	0.02058239
1	9.12073	0.0007476956	0.9985873	2.297319	-0.02262132	-0.004320861	-0.002053175	0.02312162
1	9.14043	0.0004644096	0.9983158	2.297482	-0.01437993	-0.01378161	0.008290146	0.0215741
1	9.161319	0.0004720986	0.9980088	2.297923	0.0003681078	-0.01469578	0.02112768	0.02573869
1	9.181255	0.0007890314	0.9977177	2.298419	0.01589695	-0.01459868	0.02485034	0.03291465
1	9.203512	0.001354456	0.9977942	2.298572	0.02540503	0.003433311	0.00689876	0.026548
1	9.225811	0.001622483	0.9978877	2.298282	0.01201937	0.004193783	-0.01302238	0.01821086
1	9.24921	0.001579523	0.9977152	2.298305	-0.001835978	-0.007371932	0.0009883586	0.007661139
1	9.271636	0.001119435	0.9975459	2.298195	-0.02051648	-0.007548492	-0.004890572	0.02240142
1	9.29486	-4.470348E-08	0.9971187	2.298478	-0.04820232	-0.01839627	0.01216495	0.05300823
1	9.317565	-0.002000555	0.9966784	2.29947	-0.08810998	-0.01939244	0.04371503	0.1002519
1	9.340308	-0.006520033	0.9964032	2.301691	-0.1987169	-0.01210003	0.09762841	0.2217343
1	9.362974	-0.01441127	0.9957866	2.305231	-0.3481546	-0.02720168	0.156173	0.3825462
1	9.386501	-0.02625123	0.9944879	2.309921	-0.5032519	-0.05520173	0.1993535	0.5441061
1	9.406281	-0.03641745	0.9933739	2.314031	-0.513991	-0.05631989	0.207789	0.5572566
1	9.426197	-0.0486449	0.9924408	2.318961	-0.6139231	-0.0468502	0.2475534	0.6636108
1	9.449339	-0.06232226	0.9913701	2.325063	-0.5910265	-0.04626876	0.2636938	0.6488355
1	9.471631	-0.0756135	0.9895849	2.33206	-0.5962363	-0.08008374	0.3138643	0.678544
1	9.495544	-0.08936971	0.9871457	2.34085	-0.5752297	-0.1019951	0.3675532	0.6902084
1	9.51753	-0.1021135	0.9854753	2.34938	-0.5796339	-0.07597654	0.3879588	0.7016124
1	9.540403	-0.1142483	0.9858936	2.35831	-0.5305313	0.01828825	0.3904274	0.6589624
1	9.563257	-0.1238597	0.9895785	2.367103	-0.4205625	0.161241	0.3847689	0.5923838
1	9.586044	-0.1311224	0.9921098	2.376738	-0.3187186	0.1110808	0.4228115	0.5410084
1	9.608656	-0.1388108	0.9948991	2.386529	-0.3400248	0.1233595	0.4330301	0.5642247
1	9.632034	-0.1452982	0.9988908	2.396569	-0.2774976	0.1707452	0.4294368	0.5390499
1	9.651968	-0.1499059	1.003327	2.404193	-0.2311424	0.2225535	0.38246	0.4992319
1	9.6717	-0.1547615	1.006142	2.410953	-0.2460938	0.1426715	0.3426315	0.4453242
1	9.691242	-0.1606525	1.008559	2.41739	-0.3014391	0.1236371	0.3293656	0.4632854
1	9.714419	-0.1668387	1.011295	2.424521	-0.2669118	0.1180577	0.3076814	0.4240841
1	9.737174	-0.1703891	1.014961	2.430912	-0.156027	0.1611348	0.2808622	0.3594335
1	9.760422	-0.1735046	1.017797	2.438544	-0.1340152	0.1219968	0.3282852	0.374986
1	9.783832	-0.1765732	1.019246	2.445807	-0.1310775	0.06186024	0.3102789	0.3424631
1	9.805543	-0.1793043	1.019997	2.453415	-0.1257937	0.03461859	0.3504137	0.3739148
1	9.829134	-0.1822492	1.018482	2.46031	-0.1248292	-0.06421539	0.292274	0.3242376
1	9.851605	-0.1863733	1.016135	2.465739	-0.1835311	-0.1044604	0.2415676	0.3208591
1	9.874394	-0.1904323	1.015073	2.47085	-0.1781072	-0.04661264	0.2243014	0.2901828
1	9.89728	-0.1933268	1.016284	2.473191	-0.126483	0.05292426	0.1022543	0.1710405
1	9.917378	-0.1957575	1.016356	2.476917	-0.1209397	0.003594339	0.1854228	0.2214068
1	9.936803	-0.1989271	1.015965	2.480075	-0.163172	-0.02012935	0.162569	0.2312119
1	9.959243	-0.2012552	1.01611	2.483729	-0.1037472	0.00644386	0.1628336	0.1931833
1	9.981582	-0.2026577	1.016793	2.48642	-0.06278386	0.03059413	0.1204447	0.1392291
1	10.00382	-0.2041868	1.017064	2.489365	-0.0687648	0.01219638	0.1324607	0.1497438
1	10.02553	-0.2057478	1.017001	2.491445	-0.07189623	-0.002920814	0.09578294	0.1197997
1	10.049	-0.2059776	1.017205	2.492246	-0.009787072	0.008705263	0.03414048	0.03656694
2	13.2476	-0.0005736202	1.000533	2.300108	0	0	0	0
2	13.2738	-0.001062691	1.000562	2.29982	-0.01866833	0.001128484	-0.01098452	0.02168962
2	13.29527	-0.001450479	1.000506	2.299719	-0.01806075	-0.002603902	-0.004730329	0.01885065
2	13.31778	-0.001000464	1.00074	2.299637	0.01999454	0.01036538	-0.003644038	0.02281451
2	13.33957	-0.0005670041	1.000937	2.299288	0.01989443	0.009076933	-0.01599816	0.02709465
2	13.36181	-0.0002185255	1.001031	2.299493	0.01566928	0.004218498	0.009208869	0.01865812
2	13.38468	-0.0001242608	1.001136	2.299359	0.00412153	0.004591929	-0.005848064	0.008501333
2	13.40737	0.0003150105	1.001198	2.299479	0.01935713	0.002731628	0.005305662	0.02025612
2	13.42968	0.0002562404	1.001197	2.299214	-0.002634336	-6.412176E-05	-0.01190527	0.01219341
2	13.4532	-3.71635E-05	1.001057	2.29883	-0.01247503	-0.005945436	-0.01634108	0.02140106
2	13.47316	-0.0001977533	1.000893	2.298878	-0.008046509	-0.008230928	0.002425078	0.01176331
2	13.49243	-0.0007095635	1.001095	2.298799	-0.02654934	0.01048771	-0.004106038	0.02883954
2	13.51457	-0.0001675189	1.002232	2.299352	0.02448923	0.05137514	0.02497934	0.0621538
2	13.53665	0.001351893	1.00519	2.300255	0.06882111	0.1339786	0.04092847	0.1560825
2	13.55877	0.005555525	1.011524	2.304029	0.1899655	0.28622	0.1705576	0.3835344
2	13.58181	0.01151429	1.019014	2.308625	0.2586371	0.3251374	0.1994557	0.4608579
2	13.60421	0.02281286	1.032689	2.317755	0.5044544	0.6105234	0.407633	0.8907175
2	13.62675	0.03377543	1.047387	2.327937	0.4863696	0.6520927	0.451734	0.9305073
2	13.64904	0.0449324	1.063172	2.341055	0.5006018	0.708267	0.588625	1.0482
2	13.67217	0.0569631	1.079157	2.356317	0.5199814	0.6908758	0.6596267	1.087565
2	13.69464	0.07219432	1.09779	2.372762	0.6779254	0.8293406	0.7319671	1.297368
2	13.7174	0.08815455	1.116217	2.385133	0.7013082	0.8097115	0.5435861	1.201229
2	13.73672	0.1015926	1.131843	2.393331	0.6957051	0.8090016	0.4244104	1.148309
2	13.75661	0.115674	1.146885	2.401947	0.7079569	0.7562252	0.4331527	1.122809
2	13.7788	0.1289621	1.161473	2.410116	0.5986107	0.6571918	0.3680106	0.9621162
2	13.80066	0.1403878	1.172229	2.418911	0.5228335	0.4921896	0.4024665	0.8231553
2	13.82367	0.1510182	1.182689	2.427595	0.4620224	0.4545824	0.377431	0.7500426
2	13.84583	0.1611331	1.19272	2.435192	0.4564401	0.4526664	0.3427974	0.728529
2	13.86858	0.1681022	1.19988	2.443001	0.3063473	0.3147473	0.343275	0.5574515
