Participant: IP
Session Start: 7/29/2025 1:52:51 PM
Trial          TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              0.200000003    0.800000012    2.5            -0.300000012   0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00204265118  0.996566832    2.30107355     0.0393086374   0.986836493    2.33102775     0.20339334     0.833879352    2.48303318     9.00764942     9.56202793     300            Hit            1031313976     0.20931913     0.795430303    2.53579211     0.213653624    0.786321938    2.48497844     1031328933     -0.246676922   0.336393178    2.54145145     -0.144327715   1.20520949     2.46532583
2              0.200000003    1.20000005     2.5            0.200000003    0.700000048    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0129768699  0.982932866    2.26835585     0              0              0              0              0              0              11.3513784     11.3513784     300            Too Early      1031313978     0.211673155    1.17574692     2.48937297     0.183410332    1.1902976      2.54166627     1031328934     0.504349053    0.204799771    2.54204297     0.438574612    1.02960265     2.48760629
3              -0.200000003   0.800000012    2.5            -0.200000003   0.800000012    2.45000005     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00200101733 0.998006523    2.30066586     0              0              0              0              0              0              14.4167261     14.4167261     300            Invalid Start  1031313979     -0.179482251   0.790776074    2.47825193     -0.213477179   0.823433042    2.51492882     1031328935     0.146038219    1.02970636     2.47620416     -0.139046207   0.635178685    2.49324107
4              0              1.20000005     2.5            0              1.70000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0009866505860.999448359    2.29942417     -0.00185877085 1.02829504     2.31447363     0.0067088306   1.18590987     2.48311162     17.7407532     18.3846836     600            Hit            1031313979     0.0309160091   1.1803534      2.51986527     -0.00339151477 1.18423843     2.47758603     1031328936     -0.0809879899  1.63217807     2.50421643     0.303275704    1.6978972      2.46447134
5              0              0.800000012    2.5            0              1.29999995     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00100442767 0.999457538    2.30154514     0.000810056925 0.96430856     2.33873177     0.00183963776  0.777002335    2.48508048     22.1393986     22.6867657     900            Hit            1031313980     -0.0102315964  0.780355215    2.46504402     -0.00676783035 0.820389628    2.53145647     1031328936     -0.0809879899  1.23217797     2.50421643     0.303275704    1.2978971      2.46447134
6              0              0.800000012    2.5            0              1.29999995     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000319391489 0.999450386    2.30049896     0.00401869416  0.973462522    2.32354712     -0.00722387433 0.774888039    2.4893229      26.167038      26.7143917     1200           Hit            1031313981     -5.99056475E-050.781605959    2.52679253     -0.00974734686 0.778406203    2.45725346     1031328936     -0.0809879899  1.23217797     2.50421643     0.303275704    1.2978971      2.46447134
7              -0.200000003   1              2.5            -0.200000003   0.5            2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000496834517 1.00079989     2.29901743     -0.0271735489  1.00442922     2.3210392      -0.172083229   1.01850712     2.49055648     30.1521931     30.6569824     1500           Hit            1031313982     -0.238209054   1.02827215     2.49868941     -0.221067488   0.957353413    2.49618649     1031328934     0.104349062    0.00479972363  2.54204297     0.0385746062   0.829602599    2.48760629
8              -0.200000003   0.800000012    2.5            0.300000012    0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00123409927 0.998972118    2.29966593     -0.0241261125  0.980782211    2.32298183     -0.206168592   0.800149083    2.49777555     34.2563057     34.8477821     1800           Hit            1031313983     -0.206918135   0.766428411    2.5309608      -0.200897485   0.75959301     2.52159643     1031328932     0.534395754    0.511646926    2.48965669     0.692851722    0.552657962    2.53224397
9              0              1.20000005     2.5            0              1.20000005     2.45000005     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00104023516 1.0012145      2.30039954     0              0              0              0              0              0              38.1558075     38.1558075     1800           Invalid Start  1031313985     -0.0301806182  1.2253834      2.51565766     0.0158022866   1.20995307     2.45495772     1031328931     0.000856101513 1.36392832     2.46801639     0.0395620465   0.77910614     2.41364026
10             -0.200000003   1.20000005     2.5            -0.200000003   1.20000005     2.45000005     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00204823911  0.998727202    2.30056977     -0.0296538472  1.01306856     2.31923771     -0.171759903   1.17468762     2.49335194     41.2393112     42.1319122     1600           Hit Both       1031313985     -0.229276806   1.18882358     2.47915101     -0.218796372   1.20580864     2.48724055     1031328931     -0.199143901   1.36392832     2.46801639     -0.160437956   0.77910614     2.41364026
11             0              0.800000012    2.5            -0.5           0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0003569275140.99917376     2.29927063     -0.00153341889 0.964577973    2.33345509     -0.00172001123 0.799431026    2.4915626      45.8967896     46.4341469     1400           Hit Both       1031313986     0.0460907742   0.797204077    2.5070858      -0.0271770004  0.830590963    2.48321223     1031328933     -0.44667691    0.336393178    2.54145145     -0.344327688   1.20520949     2.46532583
12             0.200000003    1              2.5            -0.300000012   1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0010265708  0.99921602     2.30106282     0.0253497809   0.992307127    2.33112812     0.227252349    0.985592008    2.48977804     49.8936386     50.4517441     1700           Hit            1031313987     0.241938025    1.0160656      2.49325657     0.200414419    0.993700147    2.46039915     1031328933     -0.246676922   0.536393166    2.54145145     -0.144327715   1.40520954     2.46532583
13             -0.200000003   1.20000005     2.5            -0.200000003   1.20000005     2.45000005     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0006175935270.99580282     2.30281067     -0.0256570876  1.01452601     2.31154966     -0.193561792   1.1800096      2.49320292     53.4183769     54.2026749     1500           Hit Both       1031313988     -0.195723176   1.22992098     2.52002716     -0.225839123   1.20346451     2.46316791     1031328931     -0.199143901   1.36392832     2.46801639     -0.160437956   0.77910614     2.41364026
14             0              1.20000005     2.5            0              1.70000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00139774382 0.998970687    2.30058146     -0.00679177046 1.03498805     2.32088757     -0.0248814225  1.17951608     2.5091269      58.4469299     59.0075417     1800           Hit            1031313989     -0.0359053835  1.19453931     2.48542166     -0.0295673255  1.20946348     2.52240872     1031328936     -0.0809879899  1.63217807     2.50421643     0.303275704    1.6978972      2.46447134
15             -0.200000003   0.800000012    2.5            -0.699999988   0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00183172524  1.00049913     2.30136251     -0.0152598023  0.977923334    2.31393075     -0.17696178    0.788587391    2.48190928     62.673584      63.2566986     2100           Hit            1031313990     -0.211637259   0.810494661    2.48584127     -0.168768823   0.81067735     2.48235607     1031328933     -0.646676898   0.336393178    2.54145145     -0.544327676   1.20520949     2.46532583
