Participant: IP
Session Start: 8/4/2025 3:37:50 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0369764864  0.967414737    2.30171537     0              0              0              0              0              0              3.85121799     3.85121799     0              Too Early      -674119364     -0.237261996   0.795235336    2.40334129     -0.183798999   0.840629935    2.39287615     -1             0              0              0              0              0              0
2              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0007369965311.00018477     2.29721737     0              0              0              0              0              0              7.83022785     7.83022785     0              Invalid Start  -674119363     -0.188056841   1.00985551     2.50487328     -0.194843531   1.00377226     2.54132843     -1             0              0              0              0              0              0
3              6              -0.200000003   1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000225290656 0.999991179    2.29716468     -0.0245925486  1.01999676     2.30835724     -0.199082077   1.18909454     2.40356588     11.2517395     11.9203987     300            Hit            -674119363     -0.199058473   1.16594112     2.41642165     -0.187101334   1.22530186     2.411695       -1             0              0              0              0              0              0
4              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00234180689  1.00000262     2.29822969     -0.0264765024  0.974962115    2.30269456     -0.202504128   0.774980843    2.42424679     15.2220783     15.8212175     600            Hit            -674119362     -0.160696134   0.807200015    2.38138533     -0.181958243   0.84469986     2.41297936     -1             0              0              0              0              0              0
5              3              -0.200000003   1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0002088695760.999551654    2.29901099     -0.0356919169  0.995389879    2.31435609     -0.189406663   0.999097347    2.51305342     19.0980663     19.6711426     900            Hit            -674119361     -0.234707862   1.00249982     2.55945253     -0.199799672   1.01696229     2.54732323     -1             0              0              0              0              0              0
6              5              0.200000003    1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00223822892 0.99733007     2.30026245     0.0276892483   1.00233829     2.32400799     0.179592162    0.993973672    2.48624611     23.1406803     23.5644608     1200           Hit            -674119360     0.166596919    0.979525328    2.51916242     0.195830539    1.02285838     2.50045824     -1             0              0              0              0              0              0
7              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00139255822  1.00021911     2.29817343     -0.0294980109  0.970782995    2.31091404     -0.187149823   0.794673085    2.4107914      26.5217609     27.1162777     1500           Hit            -674119359     -0.204291523   0.805224836    2.38747907     -0.2218263     0.78231132     2.42238879     -1             0              0              0              0              0              0
8              5              0.200000003    1              2.52360678     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000998571515 1.00040007     2.29946303     0.0231707096   1.00733566     2.31884408     0.186769247    0.984997988    2.49203968     30.5486584     30.9878273     1800           Hit            -674119358     0.221344665    0.959450245    2.53751659     0.191640571    0.954329371    2.52222776     -1             0              0              0              0              0              0
9              0              -0.200000003   0.800000012    2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0004431009290.998801589    2.30022669     0              0              0              0              0              0              34.0153999     34.0153999     1800           Invalid Start  -674119356     -0.167124167   0.813003361    2.37357664     -0.17551066    0.80902797     2.37117338     -1             0              0              0              0              0              0
10             8              0.200000003    1.20000005     2.39999986     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0006205290560.999944031    2.30030107     0.0216393918   1.02165127     2.30715084     0.200305581    1.18102288     2.38573313     37.1397095     37.5798111     2100           Hit            -674119356     0.163737878    1.18929398     2.42605281     0.177255541    1.23672748     2.3904016      -1             0              0              0              0              0              0
