Participant: IP
Session Start: 9/10/2025 12:23:16 PM
Trial          Time           PosX           PosY           PosZ           VelX           VelY           VelZ           Speed
1              5.72585011     -0.00129316747 0.999201298    2.29892731     0              0              0              0
1              5.74283075     -0.00120647252 0.999118626    2.29914784     0.00510549964  -0.00486856513 0.0129875205   0.014779876
1              5.75911427     -0.00107312202 0.999019742    2.29938221     0.00818920042  -0.00607258221 0.0143926414   0.01763767
1              5.77579403     -0.00120958686 0.99897784     2.29951525     -0.00818144344 -0.00251214439 0.00797596946  0.0116988448
1              5.79229116     -0.0009365975860.998957634    2.29961419     0.0165477134   -0.0012248198  0.00599764287  0.0176436603
1              5.80911541     -0.0008584558960.99890995     2.29970527     0.0046445732   -0.00283421692 0.00541335437  0.00767523609
1              5.82635117     -0.0006803423170.998847842    2.29981303     0.0103340521   -0.00360347424 0.00625247741  0.0126044089
1              5.8450799      -0.0005420744420.998836935    2.30004668     0.00738271233  -0.0005824060060.0124755828   0.0145080602
1              5.86183643     -0.0005328655240.998885095    2.29997921     0.000549572869 0.00287414179  -0.00402664393 0.0049776081
1              5.87878227     -0.0004338324070.998917222    2.29999876     0.00584397186  0.00189581758  0.00115367002  0.00625116657
1              5.89535809     -0.0004073977470.998965383    2.29976583     0.00159478397  0.00290549151  -0.0140527971  0.0144383628
1              5.91222191     -0.0002294629810.998923302    2.29974008     0.010551285    -0.00249533774 -0.0015268923  0.0109493257
1              5.92613745     -0.0003227144480.9988662      2.29956007     -0.00670136232 -0.00410348689 -0.0129358349  0.0151354782
1              5.93987513     -0.0006584823130.998692155    2.2994206      -0.0244408119  -0.012668916   -0.0101524871  0.0293415692
1              5.95635128     -0.0006715804340.998636603    2.29943943     -0.000794972118-0.00337162241 0.00114316808  0.00364782824
1              5.97255039     -0.0008071661  0.998594522    2.29939723     -0.00837010518 -0.00259777741 -0.00260513648 0.00914296694
1              5.98928165     -0.0009125769140.998789966    2.29936695     -0.00630017882 0.0116812475   -0.00180972065 0.0133947339
1              6.00632572     -0.00151614845 0.999241769    2.29927707     -0.0354123414  0.0265078936   -0.00527360197 0.0445478745
1              6.02296877     -0.00236952305 0.999750137    2.29934168     -0.051275596   0.0305456389   0.00388222211  0.0598104894
1              6.03963661     -0.00384014845 1.0007906      2.29965734     -0.0882309899  0.0624228977   0.0189385694   0.109726913
1              6.05625677     -0.00643727183 1.00272298     2.30053329     -0.156261191   0.116265714    0.0527032986   0.201774418
1              6.0728755      -0.0101228058  1.00590849     2.30243921     -0.221771628   0.191683456    0.114685841    0.314766645
1              6.08984184     -0.0139327645  1.00988686     2.30485964     -0.224563017   0.234489456    0.142662451    0.354635626
1              6.10651398     -0.0183034241  1.0170114      2.30962491     -0.262152553   0.427330732    0.285821438    0.577086985
1              6.12336588     -0.0233179629  1.02630782     2.31614065     -0.297565192   0.551653922    0.386647284    0.736453116
1              6.14021349     -0.0292367637  1.03453958     2.32263613     -0.351316243   0.488604158    0.385545373    0.714704394
1              6.15428257     -0.0366670489  1.04323256     2.33087683     -0.528116703   0.617864311    0.585717916    1.00186276
1              6.1680274      -0.0455309749  1.05181122     2.34139657     -0.644897759   0.624143004    0.76536727     1.17950606
1              6.18186712     -0.0535208881  1.05854356     2.35227585     -0.577314198   0.486448109    0.78608638     1.08988774
1              6.19851875     -0.0639277399  1.06641471     2.36799121     -0.624972343   0.472693563    0.943769157    1.22667432
1              6.2150197      -0.0731588602  1.07292843     2.38189101     -0.559438109   0.394753844    0.84237659     1.08554125
1              6.23129749     -0.0816520452  1.07961226     2.39600968     -0.521755338   0.410602391    0.867341518    1.09229314
1              6.24819231     -0.0884883702  1.08714986     2.40735126     -0.404640764   0.44614929     0.671305478    0.901905954
1              6.26493549     -0.0938878655  1.09453154     2.41530848     -0.322488844   0.440876156    0.47525087     0.72404021
1              6.2814641      -0.0990555584  1.10016692     2.42175364     -0.312657267   0.340953469    0.389947534    0.605031312
1              6.29810762     -0.103527188   1.1032511      2.42656136     -0.268672884   0.185309663    0.288865894    0.435853511
1              6.31481409     -0.106034279   1.10325718     2.43104124     -0.150063172   0.000363901956 0.2681458      0.307280421
1              6.33164883     -0.108102113   1.10404646     2.43484235     -0.122832388   0.0468846709   0.225791365    0.261280894
1              6.34838676     -0.108133376   1.10328519     2.43645239     -0.0018677864  -0.045482114   0.0961918905   0.106418945
1              6.36508846     -0.109167665   1.10275269     2.43834972     -0.0619264655  -0.0318830758  0.113599956    0.133253023
1              6.37919903     -0.109059483   1.10125184     2.44000864     0.0076669124   -0.106365204   0.11756777     0.15872781
1              6.39629602     -0.108054399   1.0995059      2.4426446      0.0587867685   -0.102119029   0.154175609    0.194047153
1              6.41018343     -0.106383771   1.09858811     2.44545436     0.120299034    -0.0660886094  0.202326074    0.244490087
1              6.42673779     -0.103547096   1.09823573     2.44745612     0.171355754    -0.0212864727  0.120920993    0.210802734
1              6.44539404     -0.100588769   1.09917331     2.44636774     0.158568203    0.0502549298   -0.0583378896  0.176274627
1              6.46210718     -0.101062119   1.10050452     2.44401503     -0.0283224508  0.0796516538   -0.140772372   0.164205387
1              6.47892666     -0.102459043   1.10039914     2.44129276     -0.0830523744  -0.00626529567 -0.161848739   0.182021886
1              6.49555159     -0.104199767   1.10011005     2.44038248     -0.104707085   -0.0173887368  -0.0547548011  0.119432114
