Participant: IP
Session Start: 10/17/2025 3:14:53 AM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              14             0              0.899999976    2.47320509     0              0.399999976    2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000285670161 0.998411775    2.29876637     -0.0008437335490.97443217     2.33500361     -0.00124505162 0.906449437    2.45594406     4.99614811     5.44253731     300            Hit            1608958551     0.00484741991  0.889897108    2.48123145     0.0275917519   0.909504473    2.46700644     1608958555     -0.358175874   0.554684639    2.47417593     0.128222689    0.00514817238  2.51544881
2              32             -0.100000001   1              2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000767216086 0.999503195    2.30162215     0              0              0              0              0              0              8.97950459     8.97950459     300            Invalid Start  1608958553     -0.120738      1.00009573     2.48433566     -0.0749369264  1.0050379      2.47851229     1608958553     -0.60073489    1.01709986     2.46155882     -0.303599834   0.701240778    2.47092319
3              10             0              0.899999976    2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000618636608 0.998494506    2.29817915     0.00331416726  0.982285202    2.32335091     -0.00268787146 0.910415232    2.45854473     12.4996061     12.7946997     600            Hit            1608958553     -0.00770802377 0.919625878    2.45273471     0.0071023386   0.904564798    2.49172401     -1             0              0              0              0              0              0
4              61             -0.100000001   1.10000002     2.44142127     -0.100000001   0.600000024    2.44142127     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00181765854  0.998518109    2.30349684     -0.0229855478  1.02467823     2.32173681     -0.109162837   1.10312819     2.41566682     16.1952419     16.5108395     900            Hit            1608958554     -0.0868045464  1.116328       2.44292378     -0.119142756   1.1054939      2.42071223     1608958552     0.221200019    1.00301206     2.42259383     0.14675653     0.654209793    2.42481184
5              22             0.100000001    0.899999976    2.44142127     -0.400000006   0.899999976    2.44142127     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00116492808  1.00101912     2.29922557     0.0262895674   0.979387045    2.32000732     0.105454743    0.898219287    2.43801236     19.6237411     19.9613743     1200           Hit            1608958555     0.126980051    0.902431965    2.43870139     0.104398705    0.88163048     2.43416119     1608958553     -0.400734872   0.917099774    2.429775       -0.103599817   0.601240754    2.43913937
6              31             -0.100000001   1              2.47320509     -0.100000001   0.5            2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00235538185  0.99847573     2.29830217     -0.0235885382  1.00429893     2.32305002     -0.107664406   1.00983179     2.4703095      23.1360512     23.3905678     1500           Hit            1608958556     -0.101723708   0.988276899    2.48882127     -0.0812327787  1.01695204     2.47094584     1608958552     0.221200019    0.903012037    2.45437765     0.14675653     0.554209769    2.45659566
7              23             0.100000001    0.899999976    2.44142127     0.100000001    0.399999976    2.44142127     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000356957316 0.99745369     2.30189729     0.0219713151   0.976210475    2.32961178     0.101634771    0.912652194    2.43897581     27.0576668     27.4907093     1800           Hit            1608958557     0.0951087922   0.920299709    2.43289685     0.103542663    0.880698144    2.42610502     1608958554     -0.0904380903  -0.0399887562  2.47540164     0.117208518    0.0660828352   2.39443111
8              12             0              0.899999976    2.47320509     -0.5           0.899999976    2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00294359028  0.996179342    2.3021524      0.00741568208  0.981413484    2.32857847     0.0144613981   0.900020123    2.47059488     31.0481167     31.4518738     2100           Hit            1608958558     0.0192707218   0.898835301    2.45851421     0.0218065176   0.913294435    2.46759439     1608958553     -0.500734866   0.917099774    2.46155882     -0.203599811   0.601240754    2.47092319
9              61             -0.100000001   1.10000002     2.44142127     -0.100000001   0.600000024    2.44142127     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -3.97711992E-050.998749793    2.30097818     -0.0263025463  1.02030146     2.31330681     -0.110264093   1.10231292     2.43928909     34.8082314     35.3163414     2400           Hit            1608958559     -0.123078533   1.10932398     2.44958234     -0.0764160603  1.09547794     2.44345927     1608958552     0.221200019    1.00301206     2.42259383     0.14675653     0.654209793    2.42481184
10             54             0.100000001    1              2.47320509     0.100000001    0.5            2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00103141367  0.998141706    2.29952049     0.0160090774   1.005463       2.32584333     0.0864365399   1.00737917     2.45982027     39.2229195     39.6355858     2700           Hit            1608958560     0.094519116    0.988212228    2.44772744     0.108703382    1.01517117     2.45044684     1608958555     -0.25817588    0.654684663    2.47417593     0.228222698    0.105148196    2.51544881
11             53             0.100000001    1              2.47320509     0.100000001    0.5            2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00267209113  0.998886406    2.3056922      0.0254256427   1.01099634     2.3384366      0.0946802199   1.01036477     2.46431136     43.1273689     43.5354156     3000           Hit            1608958561     0.0976907462   0.995509326    2.48364186     0.0813659057   0.994797647    2.46821213     1608958554     -0.0904380903  0.0600112677   2.50718546     0.117208518    0.166082859    2.42621493
12             41             0              1              2.5            0              0.5            2.5            0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00215809047  0.995647252    2.30223274     -0.00577121973 1.00178885     2.33538628     -0.0004287064081.01108861     2.48553777     46.8517227     47.2392044     3300           Hit            1608958562     -0.0116266496  0.974949956    2.49123263     -0.00127249083 1.02245378     2.50524187     1608958552     0.321200013    0.903012037    2.48117256     0.246756539    0.554209769    2.48339057
13             75             0              1.10000002     2.47320509     0              1.60000002     2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00221703947  0.997635007    2.30391502     -0.00824531913 1.02176285     2.33451319     -0.00221449137 1.08919704     2.48689699     50.6801453     51.079567      3600           Hit            1608958563     -0.00678410009 1.11739624     2.4877975      -0.0231644642  1.10407066     2.48237109     1608958556     -0.485692263   1.35257101     2.46103144     -0.372132301   1.59008884     2.44221854
14             76             0              1.10000002     2.47320509     0              0.600000024    2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00279265642  0.999048769    2.30006385     -0.00455147028 1.01351404     2.33703279     -0.00110086799 1.03521979     2.49410105     54.456028      55.0689468     3100           Missed         1608958564     0.0148150539   1.12227178     2.48527193     -0.0004234265941.10457337     2.44558072     1608958557     0.226765022    0.821014404    2.45340562     -0.495560765   0.777250886    2.43666196
15             34             -0.100000001   1              2.47320509     -0.100000001   0.5            2.47320509     0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00244091451  1.00120115     2.29782057     -0.0283777118  1.01016343     2.31620026     -0.0990695953  1.01293242     2.46571875     58.0111923     58.353775      3400           Hit            1608958565     -0.103426903   0.992652237    2.46262956     -0.104971781   0.988032997    2.47368479     1608958555     -0.458175868   0.654684663    2.47417593     0.0282226875   0.105148196    2.51544881
