Participant: LL
Session Start: 10/17/2025 3:27:17 AM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              7              0              1.10000002     2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   9.25064087E-05 1.00104547     2.29797673     0.000599145889 1.02882206     2.32462692     0.00841763616  1.10801041     2.46107054     5.38418913     5.86197901     300            Hit            438800014      0.00242706295  1.12946928     2.47089219     -0.0118791014  1.11252487     2.48382974     -1             0              0              0              0              0              0
2              5              0.100000001    1              2.47320509     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.00014090538 0.999810755    2.29912448     0.0249622166   1.00860715     2.32988667     0.111832708    1.00099874     2.46579957     9.45281792     9.8652668      600            Hit            438800015      0.0980865285   0.988430262    2.48469329     0.116784625    0.985991538    2.48374724     -1             0              0              0              0              0              0
3              0              -0.100000001   0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000598832965 0.998389482    2.29980326     -0.018764466   0.974956572    2.32468081     -0.0934658349  0.8898893      2.44742203     13.1081419     13.4056997     900            Hit            438800016      -0.0891758725  0.885952353    2.42234564     -0.0779715255  0.89173907     2.43080306     -1             0              0              0              0              0              0
4              2              0.100000001    0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0005902498960.999054492    2.30007696     0.0191262513   0.980768383    2.32275867     0.0961089432   0.895363092    2.43713999     16.4734249     16.8359718     1200           Hit            438800017      0.10247121     0.87796098     2.45130873     0.081690982    0.919027328    2.43736315     -1             0              0              0              0              0              0
5              6              -0.100000001   1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0010523349  0.997474849    2.30059505     -0.0256887972  1.02286279     2.31886411     -0.0916147232  1.09808135     2.44175243     19.7312012     20.1746521     1500           Hit            438800018      -0.115456857   1.10438871     2.42234349     -0.11508771    1.09419417     2.43778753     -1             0              0              0              0              0              0
6              0              -0.100000001   0.899999976    2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   8.7171793E-06  0.996460974    2.30190873     0              0              0              0              0              0              23.4199848     23.4199848     1500           Invalid Start  438800020      -0.0872482583  0.924829721    2.43435931     -0.0789353997  0.903545082    2.43625474     -1             0              0              0              0              0              0
7              6              -0.100000001   1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.00340466201  0.998074591    2.30042267     -0.0196113586  1.020051       2.3155241      -0.0926181376  1.08662188     2.43011713     26.2813435     26.7659111     1800           Hit            438800020      -0.0883775055  1.1138413      2.45448351     -0.0899332985  1.07517028     2.44459248     -1             0              0              0              0              0              0
8              4              0              1              2.5            0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000634342432 1.00756669     2.34482574     0              0              0              0              0              0              29.9439297     29.9439297     1800           Too Early      438800022      -0.00325735309 1.02797818     2.49251294     0.0147361699   1.01907456     2.51460981     -1             0              0              0              0              0              0
9              4              0              1              2.5            0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   -0.0001325905320.996506333    2.30210829     -0.0035687983  1.00602245     2.33121252     0.000249624252 0.993896663    2.4906292      35.3368645     35.7513657     2100           Hit            438800022      0.0194080248   1.02047455     2.50761819     0.0132605443   1.00520635     2.50691032     -1             0              0              0              0              0              0
10             8              0.100000001    1.10000002     2.44142127     0              0              0              0              1              2.29999995     0.0500000007   0.0500000007   0.0500000007   0.000702753663 0.999769926    2.3010354      0.0141926408   1.02396536     2.31780601     0.104349464    1.10094535     2.43828249     39.1112747     39.6076431     2400           Hit            438800023      0.0933851153   1.09390163     2.42147875     0.0879536569   1.09790277     2.45241618     -1             0              0              0              0              0              0
