Participant: ME
Session Start: 7/30/2025 12:29:39 PM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              9              -0.200000003   1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00428649783 0.993722856    2.31024885     0              0              0              0              0              0              8.35420609     8.35420609     0              Invalid Start  -909041955     -0.175989643   1.01481307     2.4735508      -0.201517686   0.999093652    2.50223827     -1             0              0              0              0              0              0
2              15             0.200000003    1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00220677257 1.00796723     2.30308795     0              0              0              0              0              0              14.26085       14.26085       0              Too Slow       -909041954     0.189115033    1.03250253     2.51601052     0.172334269    1.00843143     2.47493386     -1             0              0              0              0              0              0
3              25             0.200000003    1.20000005     2.5            -0.300000012   1.20000005     2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00286830962  1.00104225     2.28336477     -0.00112047791 0.998068571    2.25112009     -0.0125460774  0.82587713     2.1545279      17.1671543     18.2578144     0              Neutral        -909041954     0.19917345     1.17473531     2.52618742     0.199874192    1.16890609     2.49999452     -909035572     0.0146487355   0.92703557     2.49983549     -0.4900527     1.54135644     2.51380539
4              14             0              1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0159138739  1.02132535     2.34248877     0              0              0              0              0              0              22.02841       22.02841       0              Too Early      -909041952     -0.0326127224  1.01027775     2.49376893     0.00709508732  0.999483109    2.52481699     -909035571     0.48041445     1.40652025     2.53325629     0.712911844    0.672552347    2.52643633
5              16             0.200000003    1              2.5            -0.300000012   1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00523135066 1.00192249     2.3108809      0.0245216489   1.0111841      2.32762027     0.221430406    1.01473379     2.44175816     24.9765549     25.5546398     0              Neutral        -909041952     0.190150931    0.989629447    2.52978253     0.218300551    1.02674735     2.46356535     -909035572     0.0146487355   0.727035522    2.49983549     -0.4900527     1.3413564      2.51380539
6              21             0              1.20000005     2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00414657593 0.998946011    2.31281018     -0.00807926059 1.02364004     2.33119917     0.0152035654   1.18253291     2.48850179     28.8556194     29.3896751     300            Hit            -909041951     -0.0186586659  1.20664108     2.47561908     0.0361788869   1.22981024     2.49028063     -1             0              0              0              0              0              0
7              12             0              1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00202813745 1.00417256     2.31206036     -0.00692030787 1.01993656     2.35302615     -0.00280106068 1.01467705     2.49045753     32.8869896     33.3067741     600            Hit            -909041950     0.0190894064   0.984685719    2.50780344     0.0339608751   0.993998408    2.47888279     -1             0              0              0              0              0              0
8              17             0.200000003    1              2.5            0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00492462516 1.01249647     2.30233431     0              0              0              0              0              0              35.6528893     35.6528893     600            Invalid Start  -909041948     0.2371604      0.989527822    2.46939778     0.232207879    1.01276481     2.51058626     -909035571     0.680414438    1.40652025     2.53325629     0.912911832    0.672552347    2.52643633
9              7              0.200000003    0.800000012    2.5            -0.300000012   0.800000012    2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00576525927 1.01169121     2.30103874     0.0202842802   0.995407939    2.31249118     0.228553876    0.823014379    2.45190859     38.5616722     39.0552979     600            Neutral        -909041948     0.217170775    0.825115442    2.4905889      0.218326122    0.796568692    2.4537518      -909035572     0.0146487355   0.527035534    2.49983549     -0.4900527     1.14135647     2.51380539
10             16             0.200000003    1              2.5            -0.300000012   1              2.5            0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00301864743 1.00352192     2.30862045     0.0275741369   1.01122367     2.31738567     0.22110182     1.01476896     2.47006989     42.5877075     43.1822929     900            Hit            -909041947     0.190675467    0.973421156    2.53922606     0.232792646    0.970229983    2.50495958     -909035572     0.0146487355   0.727035522    2.49983549     -0.4900527     1.3413564      2.51380539
