Participant: ME
Session Start: 7/30/2025 3:52:08 PM
Trial          Time           PosX           PosY           PosZ           VelX           VelY           VelZ           Speed
1              3.59280968     0.00236858428  0.998186827    2.29966092     0              0              0              0
1              3.62158227     0.0021148473   0.997745931    2.29957438     -0.00881873257 -0.0153235057  -0.00300793978 0.0179339778
1              3.64100289     0.00173097849  0.997320414    2.2994616      -0.0197659619  -0.0219105165  -0.00580679299 0.0300746206
1              3.66005135     0.00198917091  0.997150898    2.29945803     0.0135545461   -0.00889920443 -0.0001877469330.0162159428
1              3.68332219     0.00216750801  0.997011006    2.29961681     0.00766352424  -0.00601146091 0.00682340516  0.0118922712
1              3.70555258     0.00262495875  0.99658376     2.30002189     0.020577712    -0.0192190018  0.0182215869   0.0335386135
1              3.72778416     0.00309024751  0.996574223    2.30009723     0.0209291633   -0.0004289724170.00338888215  0.021206094
1              3.7512486      0.00341619551  0.996739864    2.30012989     0.0138912303   0.00705929054  0.00139204436  0.015644094
1              3.77284908     0.00365106761  0.996865034    2.30001068     0.0108734062   0.00579473516  -0.00551879499 0.0135006299
1              3.79596329     0.0036213994   0.996736407    2.29978704     -0.00128354912 -0.00556483958 -0.00967529137 0.0112350434
1              3.81935668     0.0036316514   0.996536076    2.29969573     0.000438243209 -0.00856357813 -0.00390342204 0.00942144543
1              3.8414259      0.00324952602  0.99654001     2.29939294     -0.0173148718  0.000178253234 -0.013720098   0.0220924802
1              3.86349368     0.00305661559  0.997012377    2.29885578     -0.00874171592 0.0214052517   -0.0243412144  0.0335722677
1              3.88563609     0.00207082927  0.997890949    2.29874396     -0.044520501   0.0396784656   -0.0050499863  0.0598494597
1              3.90579391     -0.0005129575730.999288499    2.29952741     -0.12817803    0.0693304911   0.0388655253   0.150820598
1              3.9249599      -0.00463809073 1.00093424     2.30112743     -0.215229586   0.0858669877   0.0834817067   0.246304914
1              3.94781113     -0.0124717951  1.00391412     2.30514669     -0.342813671   0.130403414    0.175888374    0.406771421
1              3.97026658     -0.0233340263  1.00930476     2.3117075      -0.483722508   0.240058959    0.292169064    0.613985777
1              3.9922657      -0.0341770649  1.01614106     2.31887364     -0.492887795   0.310754806    0.325748771    0.667547166
1              4.01465273     -0.0471029282  1.02703786     2.32744312     -0.577379942   0.486744672    0.382786453    0.846648335
1              4.03745079     -0.0609068871  1.03878796     2.33633018     -0.605492592   0.515402853    0.389818937    0.885562062
1              4.05975676     -0.0751441121  1.04958951     2.34551835     -0.638268828   0.484244287    0.411914945    0.900862694
1              4.08318233     -0.0903243423  1.05859601     2.35590363     -0.648021579   0.384474188    0.443332046    0.874240041
1              4.10589933     -0.107407242   1.06740701     2.36725998     -0.751987457   0.387859166    0.499905497    0.982764125
1              4.12883186     -0.122105896   1.07603848     2.37580252     -0.640941799   0.376379251    0.372501403    0.831399441
1              4.15187883     -0.137264073   1.08669591     2.38287926     -0.657715678   0.462427586    0.307060897    0.860648334
1              4.17091751     -0.148534864   1.09760416     2.38721728     -0.591999948   0.572957218    0.227855444    0.854787707
1              4.19033432     -0.159973562   1.10800636     2.3924067      -0.589113414   0.53573209     0.267264366    0.839936733
1              4.21026707     -0.171748161   1.11747932     2.39821982     -0.590714753   0.475245118    0.29163596     0.812313616
1              4.23267937     -0.183659345   1.12780666     2.40572071     -0.531447947   0.46078068     0.334671259    0.778948426
1              4.25515652     -0.18996048    1.1405282      2.41622806     -0.280339509   0.565985322    0.467475146    0.78578788
1              4.27765369     -0.193362832   1.1539185      2.42817974     -0.151234478   0.595198631    0.531252146    0.812011182
1              4.3001442      -0.197671294   1.16554713     2.43891907     -0.191566378   0.517041624    0.477500737    0.729408443
1              4.32278204     -0.202409029   1.17445564     2.44854307     -0.209283322   0.393521935    0.425127953    0.615948677
1              4.34504747     -0.208550364   1.18026865     2.45540047     -0.275825381   0.261079013    0.307985753    0.488975585
1              4.36673546     -0.21434769    1.18471956     2.46067882     -0.267305732   0.205224887    0.243376479    0.415694267
1              4.38998652     -0.220142573   1.18859446     2.46453428     -0.249229401   0.166653678    0.165817976    0.342613995
1              4.41196299     -0.221829802   1.19101441     2.47171354     -0.0767752677  0.110116787    0.326683402    0.353188604
1              4.43290758     -0.218955368   1.19235373     2.47993469     0.137239859    0.0639456585   0.392518789    0.420707524
1              4.45543337     -0.217295736   1.18953669     2.48647952     0.0736766011   -0.125057593   0.290546834    0.324784696
1              4.47392321     -0.219113827   1.18704903     2.48934007     -0.0983288586  -0.134541541   0.154708579    0.227386758
1              4.49563074     -0.221081406   1.18428683     2.49118114     -0.0906405225  -0.127246276   0.0848125443   0.17776525
1              4.51746798     -0.221470445   1.18508732     2.48864031     -0.0178156123  0.0366575271   -0.116354205   0.123286135
1              4.539289       -0.219720036   1.18774974     2.48683548     0.0802156478   0.122010164    -0.0827094913  0.167815045
1              4.5618062      -0.216408342   1.19103193     2.48694801     0.147075906    0.145765588    0.00499773817  0.207132578
1              4.58302021     -0.214579225   1.19227934     2.48759031     0.0862217844   0.0588007979   0.0302770175   0.108666591
1              4.60440826     -0.214969158   1.19204247     2.48724675     -0.0182314198  -0.0110748485  -0.0160632674  0.0267032869
3              11.637063      0.000499874353 0.997871697    2.29954934     0              0              0              0
3              11.6519098     0.00025972724  0.997893035    2.29943419     -0.0161744636  0.00143719488  -0.00775603484 0.0179954134
3              11.665988      0.000474274158 0.997944891    2.29957366     0.015239872    0.00368348067  0.00990729313  0.0185465943
3              11.6833401     0.000285327435 0.998165309    2.29951668     -0.0108890459  0.0127027417   -0.00328388903 0.0170503631
3              11.7004938     0.000803083181 0.998494864    2.29966307     0.0301843844   0.0192125086   0.00853426009  0.0367838442
3              11.7179871     0.00134155154  0.999119937    2.29989552     0.030781405    0.0357321873   0.0132884085   0.0489986315
3              11.7353849     0.00232858956  1.00037932     2.30051422     0.0567308888   0.0723843649   0.0355601162   0.0986022949
3              11.7520971     0.0050984323   1.00364983     2.30194116     0.165737763    0.195695773    0.085382849    0.270288855
3              11.7695208     0.00916057825  1.0081538      2.30341411     0.233144462    0.258502424    0.0845390931   0.358227164
3              11.7868452     0.0160098821   1.01371682     2.30620217     0.395353615    0.321107149    0.160932034    0.534147382
3              11.804389      0.0250648558   1.0209161      2.3103838      0.516144097    0.410367787    0.238357425    0.701156676
3              11.8216763     0.0336823165   1.02767575     2.31578708     0.49849084     0.391022414    0.312561423    0.706460416
3              11.8387556     0.041511327    1.03579748     2.32145715     0.458370298    0.475508273    0.33196941     0.739198983
3              11.853364      0.0473642349   1.04215312     2.32609797     0.400675535    0.435091555    0.317698836    0.67140013
3              11.8682737     0.0540836304   1.04881632     2.33264041     0.450648576    0.446879953    0.438781023    0.771566331
3              11.8851185     0.062838912    1.05760813     2.34014606     0.519786358    0.521954656    0.445598125    0.860913575
3              11.9024162     0.0714362562   1.06629479     2.34789705     0.497010887    0.502174318    0.448083192    0.836646557
3              11.9194183     0.0792498589   1.07494533     2.35427856     0.459553421    0.508777559    0.37532565     0.781609416
3              11.9366074     0.0863638967   1.08297336     2.36024904     0.413878769    0.467052788    0.347349018    0.714202523
3              11.9540329     0.0937816501   1.09142971     2.36592603     0.425696015    0.485299796    0.325795382    0.723101377
3              11.9713917     0.100910783    1.09958398     2.3711412      0.410676152    0.469729692    0.300421536    0.692498386
3              11.9888563     0.1079209      1.10670722     2.3761878      0.401403844    0.407880872    0.288971931    0.641090214
3              12.0056944     0.113955349    1.11370122     2.38085938     0.358374238    0.415360659    0.27743572     0.614757776
3              12.0231791     0.119991958    1.11987221     2.38403273     0.345252931    0.352938473    0.181494072    0.526027799
3              12.0403366     0.124445468    1.1248138      2.38846779     0.259569407    0.288016349    0.258494198    0.465992421
3              12.0548029     0.128066391    1.12875187     2.39271402     0.25029707     0.272220582    0.293521911    0.472131103
3              12.0694866     0.13141045     1.13233757     2.39758873     0.227734879    0.244190693    0.331974       0.470849246
3              12.0864716     0.136028826    1.13671839     2.40266562     0.271905929    0.257919967    0.298900515    0.479371518
3              12.1037331     0.141819999    1.14250171     2.40612936     0.335506171    0.335051239    0.200668857    0.514870584
3              12.1211081     0.147857487    1.14837456     2.41086388     0.34748736     0.338011354    0.272494853    0.556104839
3              12.1383839     0.152826726    1.15419018     2.41586733     0.287641615    0.336634189    0.289622009    0.529094696
3              12.1556101     0.156591654    1.15915596     2.42161703     0.218548059    0.288255781    0.333761096    0.492190123
3              12.1725473     0.159068808    1.16362739     2.42744017     0.146258697    0.264006257    0.343815565    0.457493216
3              12.1897583     0.160657495    1.16772628     2.43384552     0.0923086479   0.238160893    0.372174889    0.451393008
3              12.2068491     0.163324848    1.17246234     2.43939161     0.156068578    0.277110398    0.324505627    0.454369307
3              12.224021      0.165925726    1.17622662     2.44516826     0.151462197    0.219212413    0.336402923    0.429140776
3              12.2414083     0.168057323    1.17775702     2.45152378     0.122595005    0.088018775    0.365526795    0.395457566
3              12.2557373     0.169313833    1.17879832     2.45675969     0.0876851454   0.0726662725   0.365386128    0.382721961
3              12.2702398     0.170722365    1.17953217     2.46109581     0.0971267596   0.0506035276   0.299001426    0.318427652
3              12.2873344     0.173159376    1.18142629     2.46497154     0.142559409    0.110801384    0.226721287    0.289832145
3              12.3043337     0.176305681    1.18407714     2.46674132     0.185082257    0.155937344    0.104107834    0.263458431
3              12.3213387     0.17978321     1.18642986     2.46743917     0.204497963    0.138352662    0.0410375185   0.250289738
3              12.3385649     0.182415083    1.18812764     2.46966505     0.152786687    0.0985602215   0.129217565    0.223058447
3              12.3559723     0.183360726    1.18767846     2.47160482     0.0543244854   -0.0258041508  0.111434489    0.126627997
3              12.3730345     0.183332235    1.18692446     2.47398806     -0.00166986207 -0.0441919565  0.139681518    0.146514997
3              12.3904085     0.182269096    1.18608892     2.47595835     -0.0611892231  -0.0480896235  0.113400668    0.137537062
3              12.407464      0.1814726      1.18566084     2.47754169     -0.0466997474  -0.0250989739  0.0928333551   0.106905833
3              12.4246559     0.180937722    1.18515003     2.47870898     -0.031112887   -0.0297130458  0.0678996816   0.0803818628
