Participant: ME
Session Start: 10/17/2025 4:49:48 AM
Trial          ConditionID    TargetX        TargetY        TargetZ        PenaltyX       PenaltyY       PenaltyZ       StartX         StartY         StartZ         ScaleX         ScaleY         ScaleZ         CtrlStartX     CtrlStartY     CtrlStartZ     MoveStartX     MoveStartY     MoveStartZ     EndX           EndY           EndZ           StartTime      EndTime        Score          Result         TargetSeed     TargetFirstX   TargetFirstY   TargetFirstZ   TargetLastX    TargetLastY    TargetLastZ    PenaltySeed    PenaltyFirstX  PenaltyFirstY  PenaltyFirstZ  PenaltyLastX   PenaltyLastY   PenaltyLastZ
1              21             0.100000001    0.899999976    2.44142151     0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.00539776683 0.981443703    2.26149893     0              0              0              0              0              0              2.77165866     2.77165866     0              Too Early      -1861317135    0.092786938    0.915131152    2.45943642     0.107217133    0.919829965    2.43413281     -1861317135    0.466049522    1.22079802     2.43623543     0.0370401517   1.42515421     2.45333624
2              9              -0.100000001   1              2.47320533     0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0009445697070.999649286    2.29524302     0              0              0              0              0              0              8.62085724     8.62085724     0              Invalid Start  -1861317134    -0.0944817662  1.02137089     2.46818423     -0.123036854   1.01118398     2.4821167      -1             0              0              0              0              0              0
3              21             0.100000001    0.899999976    2.44142151     0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0132844299   0.961884856    2.28406525     0              0              0              0              0              0              10.5243149     10.5243149     0              Too Early      -1861317133    0.0905014724   0.90194428     2.41814923     0.0873994827   0.910966516    2.42779589     -1861317135    0.466049522    1.22079802     2.43623543     0.0370401517   1.42515421     2.45333624
4              1              -0.100000001   0.899999976    2.44142151     -0.100000001   1.39999998     2.44142151     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0001077055930.999560595    2.29985166     -0.0258571506  0.981626153    2.31507111     -0.113470256   0.884007633    2.43553352     14.9346743     15.2218857     300            Hit            -1861317133    -0.101805307   0.878428698    2.44670439     -0.109261744   0.894196451    2.46575332     -1861317135    0.266049534    1.22079802     2.43623543     -0.162959844   1.42515421     2.45333624
5              12             0              1              2.50000024     0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000718966126 0.995976031    2.30580854     -0.010930419   0.999518216    2.33840513     -0.0133395493  0.980986178    2.49481106     18.7672081     19.1638336     600            Hit            -1861317132    0.0138653461   1.00330675     2.4853127      -0.0004101831580.993113637    2.49950171     -1             0              0              0              0              0              0
6              5              0              0.899999976    2.47320533     0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   -0.0008554458620.991880774    2.30736113     0              0              0              0              0              0              22.3430634     22.3430634     600            Invalid Start  -1861317130    0.0191853158   0.898652375    2.48706603     0.0069934749   0.900279045    2.46148705     -1861317134    -0.110910356   0.109782577    2.48024964     -0.0947033763  0.644929528    2.52233243
7              13             0              1              2.50000024     0              1.5            2.50000024     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.000222578645 0.998665571    2.30295324     -0.0136372745  1.01016212     2.33308172     -0.00135776401 0.989706397    2.49076128     25.58395       25.9945011     900            Hit            -1861317130    0.0218648687   1.00025916     2.49129057     0.00284643075  0.994284153    2.50286913     -1861317135    0.366049528    1.32079792     2.49481416     -0.0629598498  1.52515411     2.51191497
8              9              -0.100000001   1              2.47320533     0              0              0              0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.0013756752   0.998299122    2.30280447     -0.0217366219  1.00174224     2.32586336     -0.0996699929  0.989439785    2.45719051     29.2610455     30.8119869     1200           Hit            -1861317129    -0.100049287   1.0160377      2.49417901     -0.110557429   1.00439155     2.44699693     -1             0              0              0              0              0              0
9              10             -0.100000001   1              2.47320533     -0.100000001   1.5            2.47320533     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00130152702  0.999475896    2.29801822     -0.0272141099  0.997831523    2.32930779     -0.100255162   0.984346926    2.47114849     34.0801277     34.5317955     1500           Hit            -1861317128    -0.110592619   1.0162102      2.4749639      -0.103742957   1.00340247     2.47687721     -1861317135    0.266049534    1.32079792     2.46801925     -0.162959844   1.52515411     2.48512006
10             14             0              1              2.50000024     0              0.5            2.50000024     0              1              2.30000019     0.0500000007   0.0500000007   0.0500000007   0.00202949345  0.999495506    2.29820228     -0.00870791078 1.00364327     2.33115864     -0.00223773718 1.00592256     2.48419714     37.8956223     38.3637199     1800           Hit            -1861317127    -0.0133113898  0.997473896    2.4770453      0.00574773969  0.977899849    2.48623514     -1861317134    -0.110910356   0.2097826      2.50704455     -0.0947033763  0.744929552    2.54912734
