Trial,Time,PosX,PosY,PosZ,VelX,VelY,VelZ,Speed
1,10.2698,0.0003565252,0.9998667,2.29757,0,0,0,0
1,10.29644,0.0003219694,0.9997487,2.297429,-0.0012975,-0.004429068,-0.005326519,0.007047833
1,10.31605,0.000245735,0.9993676,2.2974,-0.0038858,-0.01942596,-0.001470467,0.01986529
1,10.3378,0.0003615618,0.9990857,2.297658,0.005326518,-0.01296236,0.01187417,0.01836819
1,10.35762,0.000255093,0.9990711,2.297561,-0.005372626,-0.000739911,-0.004908678,0.007314896
1,10.37772,0.0004458874,0.9990717,2.297625,0.009492829,3.262141E-05,0.003214691,0.01002243
1,10.39615,0.000276655,0.9991898,2.297315,-0.009179159,0.006404478,-0.01685015,0.02022874
1,10.41375,0.0003322661,0.9992636,2.297482,0.003160532,0.004197105,0.009512083,0.01086666
1,10.43373,4.172325E-07,0.9992816,2.297771,-0.01660589,0.0009007598,0.01443602,0.02202194
1,10.4541,-0.0003481507,0.9994351,2.297844,-0.01711343,0.007532483,0.003605291,0.01904221
1,10.47451,-0.0004646331,1.000101,2.297333,-0.005706927,0.03260767,-0.02503251,0.04150248
1,10.4952,-0.0002313405,1.000227,2.297564,0.01127682,0.006125324,0.01114429,0.01699651
1,10.51563,-0.0001711547,1.000741,2.297224,0.002945981,0.02513164,-0.01664162,0.03028567
1,10.53596,0.0002318919,1.001028,2.297263,0.01982258,0.01411795,0.001946494,0.02441393
1,10.55671,0.001565576,1.001638,2.297266,0.06428383,0.02942482,0.0001493937,0.07069833
1,10.57711,0.00482972,1.004117,2.298324,0.1600094,0.121531,0.0518568,0.2075137
1,10.59781,0.01112004,1.009209,2.300595,0.3038668,0.2459348,0.1096908,0.4060185
1,10.61903,0.02653995,1.019156,2.307139,0.7264704,0.46867,0.3083094,0.9178591
1,10.63694,0.04011129,1.027271,2.313579,0.7578874,0.4531628,0.3596357,0.9534609
1,10.655,0.05619258,1.035972,2.323094,0.8904467,0.481793,0.5268898,1.141329
1,10.67651,0.07260513,1.045557,2.335414,0.7631475,0.4456657,0.5728546,1.053174
1,10.69837,0.08874923,1.05464,2.350259,0.7382454,0.4153426,0.6788021,1.08549
1,10.71934,0.1025688,1.062686,2.364344,0.6592907,0.3838517,0.6719893,1.016649
1,10.74043,0.1176029,1.072643,2.380166,0.7125629,0.4719249,0.7498705,1.136998
1,10.76245,0.1287618,1.08546,2.392668,0.5069586,0.5823066,0.5679872,0.958487
1,10.78386,0.1382141,1.09885,2.403724,0.4413407,0.6252014,0.5162404,0.9231265
1,10.8061,0.1438203,1.111397,2.415369,0.252151,0.5643189,0.5237473,0.8101525
1,10.82767,0.1464914,1.122559,2.427207,0.1238018,0.5173464,0.5486684,0.7642062
1,10.84981,0.1496288,1.134233,2.43871,0.1417456,0.5274266,0.5196819,0.7538832
1,10.87132,0.1527302,1.146928,2.449631,0.1441844,0.59018,0.5077292,0.7917642
1,10.89055,0.1581752,1.157689,2.459601,0.2831154,0.5595443,0.5184059,0.8136269
1,10.90892,0.1634462,1.168564,2.468032,0.2868635,0.5918489,0.4588636,0.8019549
1,10.93077,0.1683761,1.180806,2.476408,0.2256891,0.5604128,0.3834535,0.715566
1,10.95193,0.1720706,1.19035,2.48505,0.1745574,0.450936,0.408293,0.6328639
1,10.97343,0.1767552,1.195133,2.494231,0.2178595,0.2224388,0.4269596,0.5284281
1,10.99605,0.1844764,1.199264,2.503509,0.3414395,0.1826795,0.4103042,0.5641828
1,11.01719,0.1904297,1.202862,2.509432,0.2815843,0.1701798,0.2801409,0.4321224
1,11.03853,0.1920377,1.20644,2.510555,0.07535003,0.1676782,0.05263406,0.191217
1,11.06063,0.1935772,1.208054,2.509695,0.06965471,0.07300609,-0.03893011,0.1081537
1,11.08258,0.1942889,1.209993,2.50847,0.03242804,0.08838123,-0.05580315,0.1094386
1,11.10415,0.1928751,1.210729,2.506354,-0.06553648,0.03408411,-0.09808576,0.1227908
1,11.12572,0.1927072,1.209841,2.504958,-0.007789655,-0.04116708,-0.06475509,0.07712735
1,11.14531,0.1930782,1.208411,2.504577,0.01893883,-0.07298404,-0.0194324,0.07786506
1,11.16499,0.1931166,1.205929,2.503457,0.001952418,-0.1261604,-0.05692761,0.1384233
1,11.18616,0.1922331,1.205821,2.501456,-0.04173252,-0.005072904,-0.09449901,0.1034282
1,11.20772,0.1915908,1.20786,2.497502,-0.02979348,0.09455833,-0.1834321,0.2085096
1,11.22897,0.189512,1.208112,2.49628,-0.09781093,0.01186343,-0.05747175,0.1140646
1,11.24997,0.1871554,1.20699,2.496959,-0.112234,-0.05342813,0.03231462,0.1284339
1,11.27157,0.187155,1.206071,2.498502,-1.862602E-05,-0.04253907,0.07146873,0.08317062
1,11.29344,0.1883826,1.205155,2.500548,0.05614155,-0.04189678,0.09356312,0.1168814
1,11.31865,0.1914389,1.204602,2.501335,0.1212075,-0.02195016,0.03118313,0.1270648
1,11.34056,0.1941156,1.204758,2.501297,0.1221754,0.007149782,-0.001741195,0.1223969
1,11.36335,0.1962041,1.20564,2.499801,0.09163136,0.03867191,-0.06560732,0.1191476
1,11.38532,0.1972667,1.206228,2.498425,0.04836208,0.02680226,-0.06263265,0.083547
1,11.40504,0.1962164,1.205665,2.497907,-0.05328426,-0.02856906,-0.02627095,0.06592091
1,11.42474,0.194252,1.20448,2.498157,-0.0996816,-0.06014848,0.0126552,0.1171086
1,11.44683,0.192433,1.202972,2.498274,-0.08237337,-0.06827661,0.005333435,0.1071238
1,11.46775,0.191499,1.201575,2.49881,-0.04463057,-0.06678814,0.0255988,0.08430802
1,11.48912,0.1905471,1.201675,2.497629,-0.04455582,0.00470411,-0.0552998,0.07117175
1,11.51038,0.1902967,1.202922,2.496011,-0.01177968,0.05865869,-0.07608078,0.09678785
1,11.53203,0.1903689,1.204448,2.494173,0.003337416,0.07045672,-0.08491587,0.1103902
1,11.55411,0.1918052,1.205614,2.493464,0.06504492,0.0528263,-0.03211148,0.08973632
1,11.57533,0.1933137,1.205655,2.49427,0.07106639,0.00191504,0.03797508,0.08059904
1,11.59787,0.1945408,1.205251,2.494725,0.05444154,-0.01792482,0.02020443,0.06077334
1,11.62022,0.1951808,1.204646,2.495802,0.0286471,-0.02707653,0.04818822,0.06225672
1,11.64215,0.1948659,1.204612,2.495951,-0.01436248,-0.001532868,0.006805499,0.01596701
2,15.56732,-0.0004143715,0.998771,2.296574,0,0,0,0
2,15.59237,-0.0001825392,0.9989856,2.29617,0.009253783,0.008567393,-0.01610223,0.02045274
2,15.61462,-0.0003864318,0.9991123,2.296173,-0.00916326,0.005694976,0.0001071491,0.01078933
2,15.6374,-0.001013607,0.9990022,2.296245,-0.02753557,-0.004836013,0.003171671,0.02813635
2,15.65941,-0.001854002,0.9987544,2.296392,-0.03818696,-0.01125878,0.006684309,0.04036935
2,15.68131,-0.001937345,0.9989706,2.296282,-0.003804468,0.009871346,-0.00504995,0.0117226
2,15.70437,-0.0008395165,0.9995834,2.2963,0.0476149,0.02657552,0.0007962315,0.05453505
2,15.72778,-0.0004894733,0.9998121,2.296207,0.0149501,0.009767747,-0.003950885,0.01829
3,19.20416,0.0003590584,0.9984642,2.298738,0,0,0,0
3,19.22828,0.0005013645,0.9984875,2.298667,0.005898013,0.0009634451,-0.002934802,0.006657916
3,19.24811,0.0006554425,0.9985132,2.298561,0.007773434,0.001299081,-0.005328636,0.009513582
3,19.26878,0.0003760755,0.9984697,2.298774,-0.0135142,-0.002104837,0.01031082,0.01712825
3,19.2897,0.0002800822,0.9984207,2.298817,-0.004588852,-0.002345002,0.002062918,0.005550876
3,19.30952,0.0009986758,0.9987478,2.298672,0.03624611,0.01649955,-0.007323782,0.04049263
3,19.32746,0.001369342,0.9992144,2.298222,0.02066064,0.0260104,-0.02510341,0.04163633
3,19.34542,0.001300111,0.9994128,2.298175,-0.003856482,0.01105315,-0.002616365,0.01199541
