Trial,TargetX,TargetY,TargetZ,PenaltyX,PenaltyY,PenaltyZ,ControllerStartX,ControllerStartY,ControllerStartZ,MovementStartX,MovementStartY,MovementStartZ,EndX,EndY,EndZ,StartTime,EndTime,ScoreAfterTrial,Result
1,0.2,1.2,2.5,0.7,1.2,2.5,0.0003565252,0.9998667,2.29757,0.001565576,1.001638,2.297266,0.1948659,1.204612,2.495951,10.55671,11.64215,300,Hit
2,0,0.8,2.5,0,0.8,2.55,-0.0004143715,0.998771,2.296574,-0.0008395165,0.9995834,2.2963,-0.0004894733,0.9998121,2.296207,15.70437,15.72778,300,Neutral
3,0,1,2.5,0,0.5,2.5,0.0003590584,0.9984642,2.298738,0.0005547255,0.9990571,2.300509,-0.02072972,1.022791,2.499568,19.46692,20.19987,600,Hit
4,0.2,1,2.5,0.7,1,2.5,-0.00130026,0.9990296,2.298768,3.319979E-05,0.9997056,2.297893,0.0005961359,0.9997978,2.29725,23.98129,24.00015,600,Neutral
5,-0.2,0.8,2.5,-0.7,0.8,2.5,0.001278117,0.9988263,2.297981,0.0001603961,0.9991157,2.300235,-0.1987001,0.8350823,2.516757,29.46107,30.14003,900,Hit
6,0,0.8,2.5,0,0.8,2.45,0.001263738,0.9977526,2.299049,0.002174079,0.9939153,2.299705,0.01625484,0.8158954,2.482756,33.71445,34.26627,700,Hit Both
7,-0.2,1.2,2.5,0.3,1.2,2.5,-0.0004199296,0.9975689,2.296178,-0.0008111149,0.9989207,2.297438,-0.20781,1.19162,2.491424,37.9241,38.67672,1000,Hit
8,0.2,0.8,2.5,0.2,0.3,2.5,0.0001904666,0.9958287,2.299563,0.001583204,0.9961044,2.301721,0.1613216,0.8123567,2.502579,42.23318,42.98414,1300,Hit
9,0.2,0.8,2.5,0.2,1.3,2.5,-0.0006152838,0.9984497,2.296196,0.002176732,0.9991531,2.295899,0.1985817,0.8048859,2.492969,46.14979,46.86664,1100,Hit Both
10,-0.2,1,2.5,-0.2,1,2.45,0.003060058,0.9997141,2.304267,0.001251906,1.001009,2.303755,-0.1952217,1.022079,2.487473,50.1959,50.79841,900,Hit Both
1,-0.2,1.2,2.5,-0.2,1.2,2.55,-0.0006323755,0.9994503,2.298516,-0.001495153,0.999186,2.29863,-0.001045063,0.9997841,2.298404,30.81461,30.83731,0,Neutral
2,-0.2,1,2.5,0.3,1,2.5,0.0008117259,0.9979809,2.298713,-0.0004971325,0.998939,2.299218,-0.2177191,1.007619,2.514416,36.7895,37.53283,300,Hit
3,0.2,0.8,2.5,0.2,0.3,2.5,-0.001265809,0.9995825,2.296269,0.00273861,0.9991021,2.296355,0.1939213,0.7991512,2.483791,41.50867,42.19654,100,Hit Both
4,-0.2,0.8,2.5,-0.2,0.8,2.45,-0.001718923,0.9985636,2.296921,-0.006604731,1.002409,2.298041,-0.1650505,1.039787,2.489296,46.39281,47.08652,-400,Missed
5,-0.2,1,2.5,-0.2,1,2.45,-0.0025675,0.9997556,2.296798,-0.001912132,0.9976012,2.296965,-0.1872475,0.998811,2.531565,51.3007,52.106,-100,Hit
6,-0.2,1.2,2.5,-0.2,1.2,2.55,-0.001298264,0.998213,2.297274,-0.003666818,1.001919,2.297912,-0.2007422,1.217535,2.517853,67.57429,68.3172,-300,Hit Both
7,0,0.8,2.5,0,0.8,2.55,0.002105907,0.9977306,2.299638,0.003334835,0.998587,2.299304,0.004715249,0.9995903,2.299216,71.43717,71.47594,-300,Neutral
8,0.2,1.2,2.5,0.7,1.2,2.5,-0.0001679808,0.9971036,2.29885,0.0007026196,1.001104,2.298699,0.18635,1.180882,2.515206,75.05748,75.55209,0,Hit
9,0,1,2.5,-0.5,1,2.5,0.001866892,1.000549,2.296313,0.001599133,0.9992784,2.297616,0.001609936,0.9990865,2.298007,79.03671,79.05482,0,Neutral
10,-0.2,1,2.5,0.3,1,2.5,0.001550764,0.9980115,2.298788,-0.0006446093,0.9997333,2.300295,-0.2210085,1.007183,2.506506,81.95287,82.58998,300,Hit
