Participant: QC
Session Start: 2/24/2026 6:44:21 PM
Trial	Time	PosX	PosY	PosZ	VelX	VelY	VelZ	Speed
7	138.754807	-0.000983580947	0.999896169	2.29664183	0	0	0	0
7	138.781494	-0.000589288771	1.00010109	2.29666281	0.0147732515	0.00767792575	0.000786105229	0.0166678578
7	138.804718	0.000214263797	1.0001967	2.29698014	0.0345892198	0.00411538966	0.0136598097	0.0374157839
7	138.828323	0.000511027873	1.00026226	2.29706335	0.0125718191	0.00277753547	0.00352494488	0.0133488039
7	138.852158	0.000301152468	1.00029993	2.29684854	-0.00880456902	0.00158031529	-0.00901179854	0.0126976511
7	138.873154	0.000161893666	1.00020659	2.29690409	-0.00663272943	-0.00444571348	0.00264585251	0.00841177721
7	138.894272	0.000192321837	1.00001824	2.2973094	0.00144092564	-0.00891934335	0.0191935245	0.0212137308
7	138.916656	0.000579610467	1.00008142	2.29762197	0.0173059739	0.0028232364	0.0139670298	0.022417523
7	138.940659	0.00106142461	1.00005901	2.29776716	0.0200780146	-0.000933918927	0.00605060253	0.0209906809
7	138.963943	0.00129457563	1.0002948	2.29789376	0.0100099612	0.0101235183	0.00543537736	0.0152390376
7	138.987274	0.00156636536	1.00038874	2.29815912	0.0116466498	0.00402535591	0.0113711199	0.0167675372
7	139.010803	0.00237886608	1.00027716	2.2993772	0.0345418677	-0.00474359933	0.0517842956	0.062428005
7	139.033707	0.00486473739	1.00035918	2.30322528	0.108534843	0.0035808743	0.168009624	0.200049669
7	139.057632	0.0107522458	1.002334	2.31018019	0.246067464	0.0825373307	0.290679276	0.389687121
7	139.08168	0.0206434131	1.00589991	2.32095242	0.41142568	0.148324847	0.448073655	0.626132071
7	139.105011	0.0385331661	1.01073098	2.34120893	0.766671956	0.207037523	0.868100584	1.17654109
7	139.128967	0.0563537702	1.01313961	2.3633399	0.743985236	0.100556664	0.923936844	1.19049776
7	139.14975	0.0752691254	1.01378	2.38841009	0.909746408	0.0308000874	1.20576715	1.51078176
7	139.170425	0.0881584957	1.01238143	2.40761232	0.623666108	-0.067671001	0.929120779	1.12107277
7	139.190598	0.0985873118	1.01068377	2.4238646	0.516848624	-0.0841354355	0.805457473	0.960714817
7	139.213425	0.107745178	1.00824058	2.43798757	0.401217341	-0.10703934	0.618744314	0.745169282
7	139.236633	0.111219846	1.00618947	2.44663072	0.149710149	-0.0883747041	0.372400314	0.410980791
7	139.259827	0.11187721	1.00589418	2.44962573	0.0283400603	-0.0127300611	0.129119933	0.132805005
7	139.283768	0.107922666	1.00650227	2.44795609	-0.165211201	0.0254043695	-0.0697536916	0.181123435
7	139.307327	0.104079656	1.00709224	2.44765139	-0.163144931	0.0250454992	-0.0129351979	0.165562272
7	139.330765	0.0996842459	1.00791383	2.44765282	-0.187510312	0.0350494422	6.1026305E-05	0.190757915
7	139.354446	0.0963874087	1.00801671	2.44781399	-0.139223948	0.00434447546	0.00680617709	0.139457896
7	139.377975	0.0923967287	1.00834262	2.447649	-0.169564351	0.0138482936	-0.00701025547	0.170273274
7	139.400528	0.0895482525	1.00830281	2.44822812	-0.12630479	-0.00176548399	0.025678806	0.128900811
7	139.424042	0.0881973431	1.00781822	2.45018768	-0.0574679002	-0.0206143539	0.0833600909	0.103326745
7	139.44455	0.0893315747	1.00666845	2.4523778	0.0552881919	-0.0560457818	0.106757194	0.132646188
7	139.464706	0.0897179171	1.0061785	2.45407748	0.0191627648	-0.024301758	0.0843052268	0.0898062289
7	139.485672	0.0906305537	1.00664508	2.4547205	0.0435366295	0.022258088	0.0306745339	0.0577216409
7	139.509735	0.0914183483	1.00689054	2.45427895	0.0327505395	0.0102040339	-0.0183563586	0.0389059894
9	144.561676	0.00021058321	0.999881685	2.29863954	0	0	0	0
9	144.585342	0.000355221331	1.0000881	2.29863262	0.006113993	0.00872518774	-0.00029226733	0.0106581068
9	144.609573	0.000511184335	1.00023746	2.29835415	0.00643626833	0.0061641573	-0.0114919962	0.0145426393
9	144.633118	0.00053114444	1.00050998	2.29808211	0.000847552088	0.011571506	-0.0115512582	0.0163722225
9	144.657288	0.000684022903	1.00060606	2.29809403	0.00632584002	0.00397573132	0.000493266911	0.0074877236
9	144.680466	0.000834606588	1.00079536	2.29793572	0.00649801455	0.00816889573	-0.00683141919	0.0124749085
9	144.704681	0.00120070577	1.00097406	2.29777336	0.0151170706	0.00737871323	-0.00670434115	0.0181085449
9	144.724777	0.00102980435	1.00112355	2.29793954	-0.00850171223	0.00743649621	0.00826672744	0.0139971199
9	144.74649	0.000887513161	1.00121331	2.29794383	-0.00655393582	0.00413455954	0.000197668181	0.00775162736
9	144.769104	0.00119214505	1.00112939	2.29800129	0.0134696318	-0.00371076213	0.00254060701	0.0142005431
9	144.792419	0.00106472522	1.00062406	2.29868174	-0.00546676153	-0.0216803681	0.029193569	0.0367721133
9	144.81691	-0.000273838639	0.998826206	2.3006494	-0.0546602495	-0.0734153986	0.0803497359	0.121793449
9	144.84079	-0.00468129665	0.995799482	2.30406618	-0.184522107	-0.12671645	0.143046364	0.265645862
9	144.864319	-0.012121357	0.991133988	2.31058121	-0.316173136	-0.198265046	0.27686286	0.464680016
9	144.888657	-0.0259116217	0.982103884	2.32408333	-0.566628516	-0.371038139	0.554788947	0.875515819
9	144.91217	-0.043510057	0.966903746	2.34582472	-0.748452365	-0.646454036	0.924650133	1.35390604
9	144.935562	-0.0614973977	0.947345793	2.37176657	-0.769090712	-0.836245894	1.10920429	1.5878104
9	144.959381	-0.0811042115	0.925624788	2.39697576	-0.823013425	-0.911758542	1.05817807	1.62123275
9	144.983536	-0.0903598443	0.908560872	2.41842127	-0.383349657	-0.706753016	0.888229966	1.19808567
9	145.004272	-0.0925131962	0.897954345	2.43465018	-0.103839554	-0.511470973	0.782595336	0.940659702
9	145.025558	-0.0928109959	0.894338787	2.44439578	-0.0139875114	-0.169821054	0.457746118	0.488432556
9	145.045868	-0.0949750617	0.894499242	2.44628286	-0.1065659	0.00790137984	0.0929263383	0.141612247
9	145.070435	-0.0984932855	0.895251334	2.44651699	-0.14322041	0.0306162555	0.00953088049	0.146766067
9	145.093948	-0.10083624	0.895613492	2.44761205	-0.0996420905	0.015401992	0.0465709977	0.111061357
9	145.116943	-0.102921478	0.896802306	2.44915938	-0.090682663	0.0516990572	0.0672904253	0.124193959
9	145.140747	-0.10392312	0.899717987	2.45044613	-0.0420615487	0.122437097	0.0540338159	0.14028424
9	145.16571	-0.103668995	0.903853953	2.45109916	0.0101791052	0.165668607	0.0261574462	0.168029502
9	145.188797	-0.10427662	0.905390382	2.45240331	-0.026326891	0.0665697083	0.056505613	0.0912004113
9	145.213181	-0.103858672	0.907462358	2.45283818	0.0171460118	0.0850013793	0.0178404599	0.0885296687
9	145.23587	-0.104450904	0.91073209	2.45134115	-0.0260973219	0.144084215	-0.0659682304	0.160602421
9	145.260132	-0.105062149	0.912285209	2.44997072	-0.0251950957	0.0640183911	-0.0564881191	0.0890171602
9	145.283585	-0.106285445	0.912745416	2.44832802	-0.052135013	0.0196133424	-0.0700095445	0.0894655213
9	145.304947	-0.107684605	0.912110329	2.44735384	-0.0655061752	-0.0297336746	-0.0456093065	0.0851783976
9	145.325729	-0.107854746	0.911356986	2.44768953	-0.00818838086	-0.0362560675	0.0161558799	0.0405285619
10	147.863571	-8.25226307E-05	0.999866188	2.29672575	0	0	0	0
10	147.880554	-0.000164404511	0.99982053	2.29685736	-0.00482250983	-0.00268902094	0.00775112072	0.00951668527
10	147.897766	-0.000374421477	0.999878287	2.29684114	-0.0122020599	0.00335569633	-0.000941949838	0.0126900841
10	147.915222	-0.000323586166	0.999834776	2.29674029	0.00291106314	-0.00249166181	-0.00577519415	0.00693076709
10	147.93219	-0.000295087695	0.999861419	2.29681087	0.00167924527	0.00156992965	0.00415838184	0.00475149276
10	147.9496	-0.000187635422	0.999945879	2.29692698	0.00617431803	0.00485314569	0.00667179143	0.0103047574
10	147.96727	0.000156767666	1.00001097	2.29682326	0.0194992237	0.00368513167	-0.0058719134	0.0206949096
10	147.984711	0.000228442252	1.00013709	2.29671025	0.00410905108	0.00723056262	-0.00647880277	0.0105423061
10	148.00238	0.000392824411	0.999898314	2.29674816	0.00930379052	-0.0135143856	0.00214556884	0.0165469814
10	148.02002	0.000528663397	0.999700129	2.29709673	0.00769660855	-0.0112291463	0.0197497886	0.0239871982
10	148.036819	0.000716768205	0.999529421	2.29781222	0.0111989807	-0.0101632299	0.0425975583	0.0452024378
10	148.056274	0.00104759634	0.999373555	2.29835153	0.016998671	-0.00800874177	0.0277105551	0.0334808826
10	148.072906	0.00163701177	0.999074876	2.29927087	0.0354625173	-0.0179701857	0.0553127453	0.0681176707
10	148.087479	0.00271713734	0.998918056	2.300982	0.0740654096	-0.0107533094	0.117334098	0.139171153
10	148.104767	0.00525582582	0.999237597	2.30457687	0.146874055	0.0184867922	0.207979009	0.255282223
10	148.121841	0.00981412083	1.00055552	2.31043601	0.266935378	0.077177763	0.343113124	0.441517293
10	148.138885	0.0181329176	1.00339723	2.31992602	0.488218099	0.166775897	0.556955099	0.75919044
10	148.156174	0.0296014175	1.00695002	2.33253551	0.663206577	0.205452919	0.729187906	1.00686085
10	148.175858	0.043404974	1.01027524	2.34873819	0.70140022	0.168964624	0.823307276	1.09468997
10	148.19313	0.0566585436	1.01317382	2.36536503	0.767228782	0.167793989	0.962501884	1.24225795
10	148.210449	0.068345435	1.01533377	2.38112068	0.674770534	0.124710046	0.909690261	1.13947546
10	148.227615	0.0776761696	1.0160861	2.3964076	0.543638229	0.0438331254	0.890664637	1.04438853
10	148.244934	0.0848423317	1.01507318	2.4090004	0.413934737	-0.0585087687	0.727389932	0.838964462
10	148.262253	0.091660507	1.01309562	2.42226601	0.393452346	-0.114118032	0.765510559	0.868236184
10	148.276993	0.096656017	1.01171935	2.43044806	0.33894521	-0.0933799669	0.555151761	0.657112718
10	148.291397	0.0999148265	1.00981545	2.437536	0.226345509	-0.132237643	0.492303938	0.557747483
10	148.305527	0.101841338	1.00807965	2.44187975	0.136371851	-0.122872427	0.307480633	0.358105093
10	148.322464	0.103705935	1.00732541	2.44688201	0.110038191	-0.0445108972	0.295205653	0.318176061
10	148.339462	0.104208626	1.00664914	2.44887185	0.0295681264	-0.0397782661	0.117041923	0.12710388
10	148.359039	0.103740729	1.00457382	2.45217681	-0.0239076409	-0.106040284	0.168870181	0.200831413
10	148.376465	0.103236131	1.001701	2.45566583	-0.0289522987	-0.164833933	0.200189203	0.260929465
10	148.393661	0.100897036	0.998952866	2.45769715	-0.13601999	-0.15980576	0.118123032	0.240816042
10	148.411102	0.0984333232	0.997061014	2.45817447	-0.141255811	-0.108468391	0.0273665674	0.180187479
10	148.428558	0.0965141878	0.996852815	2.4572649	-0.109947599	-0.0119277583	-0.0521092452	0.122254319
10	148.446091	0.0954935476	0.996264756	2.45779848	-0.0582351089	-0.0335531607	0.0304447506	0.0737836361
10	148.463623	0.094567351	0.995452464	2.45839357	-0.0528304279	-0.0463332944	0.0339442044	0.0780386925
10	148.480804	0.0942421183	0.995024025	2.45836782	-0.0189240631	-0.0249291975	-0.00149824901	0.0313341618
12	166.163666	0.0013628006	0.998773038	2.29938149	0	0	0	0
12	166.187393	0.001231879	0.998620987	2.29949999	-0.00551911164	-0.00640985835	0.00499521708	0.00982339401
12	166.209412	0.00128181279	0.998637497	2.29973555	0.00226821261	0.000749978994	0.010700061	0.0109635107
12	166.232788	0.0012414977	0.998723209	2.29962564	-0.00172375853	0.00366477878	-0.00469947979	0.00620379392
12	166.255646	0.00148447603	0.998951495	2.29928732	0.0106358593	0.00999272522	-0.0148090618	0.0207914487
12	166.276169	0.0015931204	0.999220014	2.29906416	0.00529396627	0.0130842505	-0.0108740143	0.0178176276
12	166.296646	0.00163070858	0.999428153	2.29886389	0.00183489441	0.0101604778	-0.00977640506	0.0142190102
12	166.318604	0.00163556635	0.999568105	2.29858017	0.000221214359	0.00637314469	-0.0129200043	0.0144080678
12	166.340958	0.00170918554	0.99985379	2.29822588	0.00329458667	0.0127849039	-0.0158550944	0.0206323061
12	166.364883	0.00156632066	1.00004053	2.29771638	-0.00596969202	0.00780309597	-0.0212897733	0.0234473869
12	166.387253	0.00150255859	1.00005448	2.29772615	-0.00285003241	0.000623423781	0.000436929491	0.0029499575
12	166.410385	0.00160391629	0.999972939	2.29794788	0.00438373722	-0.00352658192	0.00958982762	0.0111183962
12	166.433914	0.00176592171	0.999829948	2.29838085	0.00688397605	-0.00607603323	0.0183977932	0.0205617622
12	166.456955	0.00210134685	0.999055982	2.29954457	0.0145551609	-0.0335848518	0.0504975505	0.0623682402
12	166.479706	0.0024400875	0.998300552	2.30093551	0.0148924487	-0.0332118161	0.0611512475	0.0711637884
