Participant: QC
Session Start: 2/24/2026 6:44:21 PM
Trial	ConditionID	TargetIndex	PenaltyIndex	TargetX	TargetY	TargetZ	PenaltyX	PenaltyY	PenaltyZ	StartX	StartY	StartZ	ScaleX	ScaleY	ScaleZ	CtrlStartX	CtrlStartY	CtrlStartZ	MoveStartX	MoveStartY	MoveStartZ	EndX	EndY	EndZ	StartTime	EndTime	Score	Result	TargetSeed	TargetFirstX	TargetFirstY	TargetFirstZ	TargetLastX	TargetLastY	TargetLastZ	PenaltySeed	PenaltyFirstX	PenaltyFirstY	PenaltyFirstZ	PenaltyLastX	PenaltyLastY	PenaltyLastZ
1	6	2	0	0.100000001	0.899999976	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.0483349785	0.97393626	2.33664513	0	0	0	0	0	0	124.38961	124.38961	0	Too Early	-1309816166	0.0997938141	0.904269993	2.44979739	0.10441348	0.897857428	2.43877983	-1	0	0	0	0	0	0
2	6	2	0	0.100000001	0.899999976	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.0282799453	0.9904719	2.26063108	0	0	0	0	0	0	126.240524	126.240524	0	Too Early	-1309816165	0.0971963406	0.896262705	2.43498325	0.0976269022	0.890663385	2.44073224	-1	0	0	0	0	0	0
3	22	7	1	0	1.10000002	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00876516849	0.992396891	2.26520967	0	0	0	0	0	0	128.168228	128.168228	0	Too Early	-1309816164	-0.00486981496	1.09504974	2.47547555	-0.00180669245	1.09881389	2.46886206	-1309670644	0.348423362	1.17580509	2.54908442	0.297509909	1.37008667	2.54984188
4	18	6	0	-0.100000001	1.10000002	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.0315107033	1.03039372	2.32667089	0	0	0	0	0	0	130.924377	130.924377	0	Too Early	-1309816163	-0.107692838	1.10088646	2.44734669	-0.10225866	1.10294843	2.44538331	-1	0	0	0	0	0	0
5	17	5	2	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.0526202768	1.01636636	2.3536427	0	0	0	0	0	0	133.420593	133.420593	0	Too Early	-1309816162	0.101463959	0.991505206	2.47064924	0.0957127139	1.00054264	2.46438932	-1309670643	-0.0994588956	0.552169919	2.42896271	0.465058416	0.986098111	2.4625268
6	17	5	2	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.0523855388	1.01483524	2.35980177	0	0	0	0	0	0	136.160339	136.160339	0	Too Early	-1309816161	0.104418352	1.00400329	2.48019361	0.108725436	1.00447965	2.47401452	-1309670643	-0.0994588956	0.552169919	2.42896271	0.465058416	0.986098111	2.4625268
7	17	5	2	0.100000001	1	2.47320533	0.100000001	1	2.42320538	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.000983580947	0.999896169	2.29664183	0.0206434131	1.00589991	2.32095242	0.0914183483	1.00689054	2.45427895	139.08168	139.509735	-200	Hit Both	-1309816161	0.099125579	0.998404324	2.46944809	0.0939531028	1.00208199	2.48075843	-1309670643	-0.0994588956	0.552169919	2.42896271	0.465058416	0.986098111	2.4625268
8	9	3	0	-0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00170782954	1.00191236	2.30346918	0	0	0	0	0	0	142.102875	142.102875	-200	Invalid Start	-1309816159	-0.0987336859	1.00481248	2.47420573	-0.106390059	0.996383131	2.46711063	-1	0	0	0	0	0	0
9	2	0	2	-0.100000001	0.899999976	2.44142151	-0.100000001	0.899999976	2.39142156	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00021058321	0.999881685	2.29863954	-0.0259116217	0.982103884	2.32408333	-0.107854746	0.911356986	2.44768953	144.888657	145.325729	100	Hit Target	-1309816159	-0.0958558023	0.902462244	2.43635726	-0.105636425	0.903116405	2.43493485	-1309670643	-0.299458891	0.452169895	2.39717889	0.265058428	0.886098087	2.43074298
10	15	5	0	0.100000001	1	2.47320533	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-8.25226307E-05	0.999866188	2.29672575	0.0296014175	1.00695002	2.33253551	0.0942421183	0.995024025	2.45836782	148.156174	148.480804	400	Hit Target	-1309816158	0.107151747	1.0002588	2.47014809	0.104929991	1.00621581	2.47174954	-1	0	0	0	0	0	0
11	12	4	0	0	1	2.50000024	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.00260006636	1.00131297	2.30800486	0	0	0	0	0	0	162.374939	162.374939	400	Invalid Start	-1309816156	-0.00580240414	1.00115633	2.50558114	0.00585182244	0.992090821	2.50015783	-1	0	0	0	0	0	0
12	4	1	1	0	0.899999976	2.47320533	0	0.899999976	2.52320528	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.0013628006	0.998773038	2.29938149	0.00170411915	0.976759493	2.33928037	0.00381872803	0.899744034	2.46773982	166.588196	166.858566	700	Hit Target	-1309816156	-0.000126756015	0.898198307	2.47276545	-0.00884370878	0.901226759	2.47279501	-1309670644	0.348423362	0.975804985	2.54908442	0.297509909	1.17008662	2.54984188
13	24	8	0	0.100000001	1.10000002	2.44142151	0	0	0	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	0.000660941005	1.00355589	2.2948184	0.0217022151	1.02430737	2.31868863	0.0995467976	1.08458757	2.43683743	170.087799	170.426407	1000	Hit Target	-1309816155	0.0973799601	1.10413039	2.44182301	0.0947245359	1.09992731	2.4446373	-1	0	0	0	0	0	0
14	10	3	1	-0.100000001	1	2.47320533	-0.100000001	1	2.52320528	0	1	2.30000019	0.0500000007	0.0500000007	0.0500000007	-0.00013205409	0.996982157	2.30353308	-0.0289676711	1.00208855	2.32370925	-0.101680271	1.00206113	2.46163964	173.427734	173.858017	1300	Hit Target	-1309816154	-0.0963170081	1.00374925	2.46495867	-0.107134484	0.996588886	2.46870899	-1309670644	0.248423368	1.07580495	2.54908442	0.197509915	1.27008665	2.54984188
